Year	BIL01	BIL02	BIL03	BIL04	BIL05	BIL06	BIL07	BIL08	BIL09	BIL10	BIL11B	BIL12	BIL13	BIL14	BIL15	BIL16	BIL17	BIL18	BIL19	BIL20
1836						0,69														
1837						0,52														
1838						0,42														
1839						0,75														
1840						0,66														
1841						0,46														
1842						1,21								1,12						
1843						0,71						0,28		0,66						
1844						0,68						0,27		0,65						
1845		0,61		1,50		1,34						1,06		1,12						1,26
1846		0,38		0,38		0,57						0,57		0,48						0,84
1847		0,31		0,73		0,55						0,46		0,74						0,92
1848		0,17		0,54		0,57						0,38		0,51						0,91
1849		0,84		0,84		0,64						0,59		0,96						1,17
1850		1,09		0,72		0,50						0,40		0,87						0,89
1851		0,65		0,65		0,61						0,39		0,71						0,88
1852		0,91		0,76		0,67						0,49	0,65	0,86						1,21
1853		1,13		0,79		0,66	0,78					0,35	0,39	0,78						1,06
1854	1,04	1,53		0,87	0,60	0,74	1,03					0,41	0,56	1,00		0,59				0,75
1855	0,65	0,98		0,76	0,35	0,54	0,67					0,35	0,50	0,88		0,41				0,57
1856	0,10	0,52		0,56	0,20	0,29	0,29					0,37	0,53	0,41		0,16				0,27
1857	0,13	0,67		0,43	0,12	0,37	0,14					0,37	0,65	0,56		0,23				0,44
1858	0,25	1,03		0,65	0,31	0,61	0,31					0,53	0,94	0,81		0,61				0,81
1859	0,29	0,54		0,29	0,25	0,32	0,29					0,55	0,66	0,31		0,34				0,40
1860	0,39	0,57		0,37	0,33	0,44	0,21					0,63	0,67	0,35		0,44				0,66
1861	0,68	0,75		0,65	0,65	0,82	0,45				0,69	0,85	0,89	0,49		0,75				1,35
1862	0,87	0,44		0,44	0,49	0,53	0,42				0,47	0,43	0,86	0,34		0,76				0,51
1863	0,87	0,49		0,80	0,62	0,77	0,39				0,52	0,53	0,85	0,43		0,77	0,49			0,89
1864	0,55	0,20		0,48	0,27	0,33	0,16				0,30	0,53	0,24	0,14		0,35	0,34			0,36
1865	0,42	0,30		0,67	0,37	0,50	0,22				0,36	0,45	0,40	0,32		0,34	0,35			0,61
1866	0,52	0,40		0,50	0,46	0,68	0,33		0,32	0,43	0,24	0,49	0,29	0,73		0,42	0,44			0,63
1867	0,47	0,56	1,62	0,39	0,43	0,58	0,45		0,41	0,50	0,22	0,64	0,41	0,63		0,36	0,39			0,78
1868	0,41	0,50	1,38	0,30	0,34	0,59	0,55		0,27	0,32	0,38	0,80	0,36	0,51		0,52	0,58			0,56
1869	0,58	0,48	1,28	0,35	0,38	0,48	0,49		0,38	0,32	0,44	0,82	0,39	0,47	2,36	0,29	0,58			0,42
1870	1,01	0,68	1,91	0,65	0,44	0,87	0,75		0,78	0,60	0,42	1,30	0,85	0,65	2,24	0,73	0,86			0,96
1871	0,86	0,33	1,09	0,44	0,34	0,62	0,51		0,67	0,30	0,45	0,68	0,59	0,46	0,62	0,62	0,54			0,60
1872	0,61	0,25	0,73	0,36	0,32	0,68	0,54		0,72	0,21	0,57	0,43	0,77	0,31	0,19	0,51	0,40			0,59
1873	1,16	0,78	1,01	0,63	0,59	0,73	0,73		0,79	0,47	0,89	0,75	1,24	0,29	0,43	0,75	0,56			1,17
1874	1,19	0,48	0,78	0,73	0,26	0,37	0,61		0,78	0,62	0,93	0,54	1,01	0,17	0,49	0,49	0,51		0,98	0,71
1875	1,45	0,34	0,79	0,76	0,40	0,41	0,66		0,86	0,75	0,93	0,71	1,17	0,31	0,77	0,56	0,50		1,02	0,62
1876	1,16	0,61	0,88	0,66	0,36	0,42	0,74		0,66	0,60	1,23	0,64	0,79	0,33	0,89	0,37	0,43		1,11	0,49
1877	0,73	0,45	0,67	0,71	0,35	0,41	0,60		0,69	0,43	0,92	0,56	0,47	0,46	0,74	0,36	0,36		1,06	0,56
1878	0,61	0,50	0,71	0,90	0,32	0,43	0,61		0,82	0,32	0,58	0,61	0,39	0,41	0,74	0,47	0,46		0,96	0,70
1879	0,63	0,63	0,70	0,72	0,25	0,50	0,43		0,76	0,46	0,79	0,62	0,51	0,52	0,72	0,56	0,66		0,94	0,69
1880	1,27	0,80	0,70	1,45	0,47	0,61	0,57		1,07	0,72	1,27	0,86	0,92	0,76	0,91	0,71	0,71		0,99	0,83
1881	0,86	0,63	0,58	1,16	0,56	0,44	0,70		1,15	0,60	0,91	0,81	0,66	0,87	0,83	0,62	0,74		0,85	0,60
1882	0,60	0,62	0,61	0,77	0,27	0,33	0,48		0,77	0,57	0,73	0,62	0,59	0,60	0,69	0,48	0,51		0,88	0,56
1883	0,64	0,36	0,62	0,54	0,32	0,44	0,44		0,61	0,50	0,56	0,68	0,72	0,59	0,68	0,43	0,46		0,67	0,49
1884	0,75	0,44	0,82	0,72	0,35	0,51	0,53	0,93	0,56	0,52	0,76	0,89	0,79	0,64	0,67	0,44	0,41		0,71	0,49
1885	0,75	0,53	0,94	0,77	0,35	0,55	0,57	0,38	0,89	0,54	0,63	0,73	0,76	0,68	0,66	0,51	0,27		0,93	0,59
1886	0,51	0,17	0,46	0,21	0,13	0,26	0,31	0,43	0,49	0,46	0,37	0,49	0,45	0,25	0,45	0,27	0,33		0,60	0,30
1887	0,89	0,41	0,47	0,32	0,21	0,33	0,30	0,50	0,52	0,66	0,53	0,52	0,59	0,40	0,46	0,29	0,38		0,66	0,37
1888	1,35	0,49	1,00	0,62	0,59	0,56	0,54	0,25	0,98	0,99	0,70	0,70	1,09	0,78	0,68	0,58	0,49		0,80	0,83
1889	0,83	0,35	0,94	0,39	0,38	0,43	0,42	0,61	0,84	0,65	0,61	0,36	0,82	0,80	0,63	0,34	0,50		0,75	0,48
1890	0,40	0,19	0,56	0,27	0,20	0,21	0,32	0,33	0,42	0,41	0,29	0,29	0,41	0,47	0,49	0,28	0,32		0,38	0,28
1891	1,02	0,42	0,92	0,59	0,65	0,58	0,70	0,98	0,84	0,72	0,50	0,80	1,07	0,82	0,93	0,58	0,45		0,92	1,04
1892	0,80	0,19	0,64	0,64	0,24	0,37	0,51	0,62	0,59	0,76	0,39	0,54	0,71	0,53	0,69	0,29	0,23		0,46	0,55
1893	0,55	0,12	0,29	0,34	0,10	0,15	0,30	0,26	0,28	0,32	0,26	0,25	0,32	0,13	0,41	0,10	0,25		0,14	0,28
1894	1,07	0,42	0,78	1,71	0,36	0,45	0,70	1,14	0,78	0,98	0,76	0,74	1,06	0,59	0,92	0,38	0,42		0,94	0,66
1895	0,74	0,30	0,52	0,58	0,23	0,36	0,40	0,75	0,62	0,60	0,56	0,73	0,50	0,46	0,57	0,35	0,46		0,71	0,34
1896	0,51	0,16	0,50	0,46	0,15	0,20	0,24	0,45	0,45	0,38	0,46	0,49	0,26	0,25	0,33	0,27	0,25		0,36	0,18
1897	0,64	0,31	0,65	0,61	0,25	0,28	0,37	0,63	0,36	0,46	0,51	0,44	0,27	0,43	0,42	0,42	0,32		0,58	0,36
1898	0,79	0,41	0,84	0,74	0,34	0,31	0,55	0,64	0,59	0,79	0,55	0,49	0,44	0,58	0,69	0,56	0,59		0,75	0,36
1899	0,37	0,21	0,38	0,40	0,16	0,09	0,23	0,27	0,45	0,54	0,32	0,31	0,23	0,34	0,25	0,31	0,31		0,41	0,16
1900	0,97	0,48	0,87	0,60	0,39	0,23	0,40	0,44	0,72	0,70	0,74	0,50	0,65	0,52	0,67	0,60	0,65		0,72	0,50
1901	0,90	0,44	0,88	0,67	0,42	0,27	0,44	0,60	0,63	0,96	0,67	0,56	0,58	0,54	0,58	0,69	0,57		0,85	0,51
1902	1,66	0,65	1,00	1,48	0,57	0,32	0,82	0,87	0,91	1,11	0,80	0,65	1,02	0,85	0,98	0,91	0,76		1,22	0,86
1903	1,20	0,50	0,90	0,78	0,42	0,27	0,46	0,76	0,59	0,69	0,53	0,55	1,09	0,64	0,85	0,49	0,44		0,92	0,64
1904	0,87	0,64	0,73	0,91	0,48	0,32	0,47	0,96	1,06	0,64	0,74	0,70	0,83	0,88	0,77	0,63	0,81		0,85	0,59
1905	0,27	0,17	0,30	0,30	0,17	0,14	0,18	0,28	0,38	0,29	0,28	0,30	0,22	0,39	0,27	0,16	0,29		0,33	0,10
1906	0,57	0,38	0,54	0,46	0,38	0,28	0,36	0,68	0,42	0,57	0,51	0,49	0,52	0,58	0,59	0,39	0,31		0,52	0,43
1907	1,06	0,60	0,77	1,63	0,54	0,41	0,53	1,13	0,83	0,73	0,74	0,61	0,88	0,63	0,77	0,72	0,46		0,81	0,70
1908	0,64	0,53	0,74	0,95	0,32	0,23	0,41	0,70	0,61	0,63	0,63	0,35	0,64	0,43	0,45	0,46	0,50		0,80	0,40
1909	0,45	0,23	0,34	0,23	0,23	0,10	0,22	0,56	0,32	0,52	0,35	0,24	0,23	0,36	0,19	0,19	0,22		0,44	0,26
1910	0,62	0,27	0,55	0,44	0,38	0,11	0,34	0,48	0,40	0,50	0,39	0,56	0,32	0,39	0,45	0,33	0,41		0,54	0,47
1911	1,10	0,74	0,97	0,46	0,54	0,32	0,47	1,14	0,71	0,60	0,71	0,71	0,62	0,64	0,70	0,52	0,65		0,86	0,69
1912	0,92	0,60	0,65	0,82	0,45	0,23	0,51	0,58	0,91	0,56	0,68	0,50	0,42	0,81	0,51	0,57	0,50		0,72	0,51
1913	0,53	0,43	0,48	0,38	0,29	0,14	0,30	0,46	0,46	0,52	0,50	0,25	0,28	0,65	0,36	0,32	0,30		0,39	0,38
1914	1,17	0,86	0,96	0,95	0,57	0,42	0,58	0,99	0,94	0,68	0,84	0,70	0,64	0,95	0,64	0,60	0,56		0,73	0,73
1915	0,97	0,57	0,52	1,15	0,40	0,27	0,45	0,75	0,57	0,63	0,48	0,56	0,47	0,66	0,52	0,33	0,29		0,62	0,60
1916	1,06	0,87	0,84	1,15	0,46	0,30	0,52	0,96	0,76	0,55	0,86	0,56	0,76	0,82	0,82	0,69	0,44		0,70	0,72
1917	0,75	0,59	0,79	0,60	0,32	0,20	0,36	0,91	0,73	0,88	0,63	0,53	0,56	0,87	0,75	0,50	0,41		0,75	0,65
1918	0,98	0,70	0,90	0,65	0,45	0,31	0,48	0,95	1,01	0,86	0,81	0,61	0,86	0,99	0,74	0,69	0,48		0,82	0,79
1919	0,64	0,39	0,69	0,86	0,30	0,17	0,32	0,59	0,60	0,53	0,40	0,36	0,42	0,64	0,61	0,21	0,13		0,47	0,61
1920	0,66	0,38	0,66	0,69	0,32	0,19	0,38	0,75	0,71	0,31	0,48	0,47	0,40	0,53	0,40	0,42	0,29		0,46	0,34
1921	0,62	0,18	0,28	0,17	0,11	0,05	0,22	0,47	0,32	0,37	0,21	0,22	0,21	0,22	0,09	0,12	0,11		0,25	0,14
1922	0,79	0,41	0,38	0,45	0,27	0,19	0,45	0,86	0,65	0,48	0,37	0,36	0,47	0,51	0,43	0,30	0,34		0,41	0,34
1923	1,50	0,57	0,76	1,10	0,49	0,33	0,54	1,78	1,16	0,60	0,70	0,49	0,72	0,64	0,71	0,43	0,73		0,59	0,38
1924	1,28	0,57	0,70	1,24	0,58	0,35	0,44	1,20	1,13	0,53	0,71	0,46	0,64	0,51	0,55	0,67	0,56		0,73	0,37
1925	1,45	0,56	0,73	1,56	0,41	0,31	0,53	1,28	1,01	0,48	0,62	0,63	0,65	0,42	0,62	0,61	0,61		0,73	0,39
1926	0,91	0,41	0,61	0,81	0,30	0,24	0,42	0,92	0,98	0,57	0,60	0,33	0,49	0,37	0,75	0,41	0,48		0,58	0,32
1927	0,97	0,42	0,62	0,76	0,30	0,25	0,43	1,08	0,62	0,48	0,50	0,33	0,49	0,38	0,60	0,46	0,48		0,65	0,41
1928	1,18	0,31	0,80	0,70	0,35	0,33	0,54	1,16	0,59	0,67	0,51	0,32	0,62	0,40	0,85	0,45	0,42		0,67	0,50
1929	1,51	0,52	1,12	1,11	0,60	0,48	0,69	1,63	0,88	1,04	0,85	0,58	1,06	0,76	1,12	0,71	0,64		1,04	0,71
1930	1,16	0,41	1,08	0,84	0,58	0,52	0,55	1,19	0,82	0,69	0,71	0,57	1,05	0,62	0,79	0,53	0,36		1,06	0,68
1931	1,56	0,47	1,02	0,89	0,85	0,45	0,62	1,90	1,35	0,64	0,93	0,70	0,96	0,66	1,35	0,68	0,66		0,92	0,58
1932	1,74	0,37	0,86	0,96	0,73	0,56	0,58	1,48	1,36	0,56	0,74	1,19	1,21	0,73	0,94	0,70	0,68		0,95	0,73
1933	1,40	0,36	0,81	0,93	0,59	0,42	0,52	0,91	0,90	0,44	0,62	1,08	0,82	0,73	0,85	0,59	0,40		0,74	0,62
1934	0,72	0,25	0,37	0,50	0,30	0,26	0,33	0,65	0,55	0,40	0,49	0,72	0,55	0,45	0,42	0,40	0,21		0,41	0,27
1935	1,10	0,62	0,99	1,04	0,62	0,51	0,69	1,25	1,13	0,53	0,89	1,01	0,69	0,61	0,77	0,73	0,65		0,68	0,44
1936	0,60	0,20	0,37	0,65	0,24	0,26	0,32	0,74	0,87	0,26	0,61	0,33	0,19	0,29	0,23	0,31	0,30		0,22	0,19
1937	0,98	0,45	0,49	0,94	0,53	0,51	0,49	1,27	1,03	0,44	0,75	0,57	0,44	0,41	0,73	0,67	0,46		0,40	0,28
1938	1,00	0,41	0,46	1,00	0,35	0,32	0,50	1,19	0,91	0,38	0,69	0,44	0,42	0,35	0,50	0,69	0,40		0,36	0,41
1939	1,12	0,58	0,72	1,14	0,53	0,59	0,62	1,64	1,02	0,65	0,78	0,94	0,91	0,80	0,92	0,73	0,44	1,17	0,75	0,95
1940	1,02	0,68	0,91	1,29	0,60	0,62	0,88	1,74	1,15	0,98	1,00	0,68	1,40	0,88	1,26	0,95	0,45	1,63	0,92	1,02
1941	1,34	0,68	0,96	1,23	0,83	0,74	1,03	1,77	1,47	0,82	1,17	0,69	1,34	0,96	1,25	1,20	0,61	1,71	1,02	0,98
1942	0,85	0,44	0,60	0,70	0,43	0,49	0,65	1,04	1,16	0,63	0,82	0,53	0,62	0,72	0,49	0,67	0,36	0,84	0,48	0,43
