Year	MONCHO01	MONCHO02	MONCHO03	MONCHO04	MONCHO05	MONCHO06	MONCHO07	MONCHO08	MONCHO11	MONCHO12	MONCHO13	MONCHO14	MONCHO16	MONCHO17	MONCHO19	MONCHO20	MONCHO24	MONCHO26	MONCHO31	MONCHO40
1509					0,28															
1510					0,21															
1511					0,07															
1512				0,14	0,10															
1513				0,23	0,27															
1514				0,22	0,23															
1515				0,19	0,26															
1516				0,14	0,26															
1517				0,21	0,24															
1518				0,20	0,26															
1519			0,36	0,20	0,31															
1520			0,34	0,19	0,20															
1521			0,24	0,08	0,05															
1522			0,29	0,11	0,12															
1523			0,20	0,10	0,08															
1524			0,18	0,17	0,19															
1525			0,19	0,23	0,26															
1526			0,16	0,36	0,19															
1527			0,20	0,56	0,24															
1528			0,11	0,32	0,14															
1529			0,11	0,17	0,00															
1530			0,12	0,08	0,10															
1531			0,17	0,13	0,10															
1532			0,31	0,19	0,14															
1533			0,26	0,21	0,21															
1534			0,19	0,11	0,20															
1535			0,29	0,15	0,14															
1536			0,46	0,17	0,11															
1537			0,41	0,13	0,16															
1538			0,34	0,14	0,09															
1539			0,44	0,13	0,12															
1540			0,29	0,15	0,10															
1541			0,06	0,05	0,08															
1542			0,06	0,00	0,03															
1543			0,08	0,07	0,07															
1544			0,14	0,09	0,14															
1545			0,15	0,07	0,07															
1546			0,13	0,09	0,07															
1547			0,26	0,16	0,20															
1548			0,36	0,13	0,12								0,14							
1549			0,39	0,15	0,13								0,23							
1550			0,35	0,15	0,10								0,26							
1551			0,29	0,12	0,06								0,19							
1552			0,41	0,29	0,15								0,27							
1553			0,27	0,21	0,10								0,16							
1554			0,23	0,14	0,08								0,15							
1555			0,29	0,25	0,20								0,23							
1556			0,21	0,15	0,12								0,19							
1557			0,03	0,03	0,00								0,06							
1558			0,25	0,22	0,21								0,24							
1559			0,18	0,16	0,08								0,15							
1560			0,24	0,14	0,08								0,14							
1561			0,34	0,23	0,13								0,26							
1562			0,30	0,21	0,07								0,18							
1563			0,42	0,36	0,16								0,29							
1564			0,46	0,26	0,07								0,20							
1565			0,42	0,27	0,09								0,18							
1566			0,34	0,17	0,06								0,12							
1567			0,57	0,24	0,08								0,17							
1568			0,87	0,42	0,15								0,43							
1569			0,72	0,27	0,10								0,32							
1570			0,47	0,31	0,07								0,18							
1571			0,51	0,18	0,09								0,19							
1572			0,05	0,12	0,05								0,06							
1573			0,34	0,33	0,14								0,32							
1574			0,22	0,25	0,09								0,23							
1575			0,36	0,70	0,31								0,44							
1576			0,12	0,35	0,07								0,09							
1577			0,21	0,34	0,12								0,18							
1578			0,16	0,30	0,09								0,16							
1579			0,32	0,33	0,14								0,27							
1580			0,07	0,03	0,00								0,02							
1581			0,22	0,23	0,11								0,21							
1582			0,17	0,25	0,09								0,13							
1583			0,13	0,23	0,04								0,12							
1584			0,22	0,33	0,12								0,21							
1585			0,08	0,18	0,03								0,04	0,01						
1586			0,20	0,27	0,14								0,18	0,10						
1587			0,15	0,24	0,07								0,16	0,10						
1588			0,23	0,29	0,13							0,15	0,21	0,12						
1589			0,10	0,18	0,05							0,05	0,07	0,05						
1590			0,21	0,29	0,09							0,11	0,16	0,10						
1591			0,22	0,33	0,15							0,09	0,22	0,14						
1592			0,22	0,29	0,15							0,12	0,25	0,13						
1593			0,22	0,30	0,10							0,13	0,21	0,12						
1594			0,19	0,23	0,07							0,09	0,16	0,09						
1595			0,39	0,38	0,12							0,13	0,21	0,16						
1596			0,35	0,36	0,10							0,12	0,16	0,14						
1597			0,17	0,24	0,03							0,06	0,07	0,06						
1598			0,34	0,38	0,14							0,10	0,21	0,12						
1599			0,24	0,29	0,10							0,11	0,12	0,10						
1600			0,27	0,28	0,12							0,11	0,16	0,15						
1601			0,22	0,21	0,05							0,07	0,09	0,09						
1602			0,21	0,22	0,10							0,09	0,12	0,10						
1603			0,28	0,29	0,11							0,10	0,17	0,18						
1604			0,27	0,28	0,12							0,11	0,11	0,16						
1605			0,23	0,08	0,01							0,05	0,04	0,04						
1606			0,39	0,24	0,14							0,16	0,13	0,17						
1607			0,31	0,22	0,07							0,08	0,11	0,13						
1608			0,35	0,23	0,08							0,12	0,08	0,15						
1609			0,22	0,18	0,05							0,07	0,06	0,07	0,14					
1610			0,27	0,22	0,15							0,11	0,08	0,19	0,52					
1611			0,17	0,16	0,11							0,07	0,04	0,06	0,57					
1612			0,31	0,26	0,13							0,05	0,06	0,10	0,80					
1613			0,33	0,26	0,17							0,10	0,08	0,12	0,74					
1614			0,15	0,14	0,05							0,10	0,04	0,07	0,40					
1615			0,26	0,14	0,11							0,15	0,07	0,12	0,51					
1616			0,16	0,14	0,08							0,13	0,07	0,08	0,34					
1617			0,13	0,10	0,04							0,14	0,05	0,06	0,48					
1618			0,15	0,11	0,10							0,10	0,04	0,06	0,35					
1619			0,09	0,07	0,04							0,08	0,02	0,03	0,30					
1620			0,06	0,05	0,03							0,03	0,03	0,01	0,07					
1621			0,19	0,16	0,15							0,15	0,10	0,12	0,25					
1622			0,14	0,09	0,05							0,07	0,05	0,03	0,16					
1623			0,27	0,16	0,12							0,14	0,08	0,09	0,23					
1624			0,39	0,16	0,10							0,15	0,07	0,07	0,27					
1625			0,32	0,14	0,12							0,16	0,07	0,08	0,36					
1626			0,26	0,16	0,10							0,15	0,10	0,08	0,33					
1627			0,16	0,10	0,04							0,13	0,05	0,04	0,19					
1628			0,12	0,06	0,04							0,05	0,05	0,04	0,14					
1629			0,28	0,11	0,06							0,11	0,04	0,05	0,20					
1630			0,44	0,17	0,12							0,14	0,09	0,08	0,30					
1631			0,33	0,16	0,08							0,16	0,09	0,07	0,36					
1632			0,17	0,10	0,02							0,08	0,05	0,01	0,18					
1633			0,22	0,12	0,03							0,12	0,09	0,05	0,22					
1634			0,13	0,08	0,06							0,15	0,05	0,02	0,16					
1635			0,18	0,11	0,03							0,13	0,05	0,03	0,13					
1636			0,23	0,14	0,03							0,11	0,06	0,03	0,14					
1637			0,21	0,11	0,03							0,10	0,05	0,03	0,12					
1638			0,44	0,17	0,05							0,14	0,09	0,05	0,24					
1639			0,38	0,14	0,11							0,07	0,11	0,05	0,29					
1640			0,34	0,14	0,07							0,12	0,16	0,05	0,32					
1641			0,21	0,10	0,10							0,12	0,12	0,03	0,20					
1642			0,04	0,02	0,06							0,02	0,02	0,05	0,06					
1643			0,04	0,02	0,01							0,01	0,01	0,05	0,06					
1644			0,20	0,13	0,12							0,08	0,06	0,04	0,23					
1645			0,02	0,00	0,01							0,04	0,01	0,01	0,04					
1646			0,17	0,15	0,08							0,07	0,09	0,02	0,18					
1647			0,20	0,12	0,10							0,13	0,13	0,05	0,19					
1648			0,15	0,08	0,05							0,10	0,11	0,03	0,16					
1649			0,26	0,13	0,11							0,09	0,13	0,02	0,18					
1650			0,22	0,10	0,09							0,11	0,06	0,05	0,16					
1651			0,23	0,07	0,04							0,11	0,07	0,03	0,13					
1652			0,14	0,08	0,07							0,14	0,08	0,01	0,14					
1653			0,16	0,13	0,09							0,09	0,14	0,01	0,17					
1654			0,28	0,13	0,10							0,15	0,19	0,05	0,20					
1655			0,29	0,14	0,11							0,27	0,22	0,07	0,52					
1656			0,14	0,08	0,06							0,28	0,11	0,03	0,24					
1657			0,18	0,18	0,10							0,35	0,17	0,08	0,33					
1658			0,22	0,20	0,12							0,52	0,18	0,05	0,33					
1659			0,20	0,12	0,11							0,38	0,13	0,05	0,27					
1660			0,17	0,12	0,10							0,36	0,15	0,03	0,30					
1661			0,04	0,04	0,01							0,24	0,05	0,01	0,10					
1662			0,09	0,03	0,05							0,21	0,12	0,04	0,21					
1663			0,18	0,15	0,12							0,35	0,13	0,06	0,29					
1664			0,28	0,18	0,16							0,53	0,19	0,14	0,47					
1665			0,15	0,12	0,07							0,37	0,16	0,09	0,47					
1666	0,53		0,15	0,11	0,09							0,48	0,13	0,08	0,34					
1667	0,61		0,19	0,15	0,11							0,45	0,21	0,07	0,44					
1668	0,54		0,12	0,09	0,04							0,34	0,17	0,05	0,26					
1669	0,49		0,11	0,09	0,08							0,33	0,14	0,05	0,21					
1670	0,63		0,16	0,12	0,13							0,40	0,21	0,08	0,39					
1671	0,45		0,15	0,10	0,04							0,31	0,14	0,08	0,25					
1672	0,81		0,26	0,15	0,15							0,40	0,26	0,14	0,41					
1673	0,67		3,10	0,15	0,16							0,45	0,23	0,08	0,32					
