Year	xan02	xan04	xan06	xan08	xan09	xan11	xan12	xan13	xan15	xan19	xan20	xan22	xan23	xan24	xan26	xan27	xan28	xan29	xan30	xan32	xan33	xan34	xan35	xan36	xan38	xan39	xan42	xan43	xan44	xan45	xan49
1687	1,12																														
1688	0,96																														
1689	0,85																														
1690	0,74																														
1691	0,62																														
1692	0,74																														
1693	1,01																														
1694	0,65								0,51																						
1695	1,49								0,34																						
1696	0,43								0,68																						
1697	0,44								0,19																						
1698	0,45								0,22																						
1699	0,37								0,28																						
1700	0,37								0,17																						
1701	0,35								0,22																						
1702	0,30								0,26																						
1703	0,34								0,13																						
1704	0,44								0,04																						
1705	0,80								0,13																						
1706	0,66								0,29																						
1707	0,83								0,26																						
1708	0,42								0,27																						
1709	0,68								0,15																						
1710	0,44								0,31																						
1711	0,64								0,53																						
1712	0,65								0,42																						
1713	0,64								0,21																						
1714	0,48								0,51																						
1715	0,72								0,54																						
1716	0,68								0,57																						
1717	0,94								0,61																						
1718	0,67								0,45																						
1719	1,10								0,73																						
1720	1,08								0,69																						
1721	1,40								1,08																						
1722	1,08								0,71																						
1723	1,16								0,93																						
1724	1,06								0,92																						
1725	0,81								0,93																						
1726	0,81								0,75																						
1727	1,00								1,20																						
1728	0,93								1,03																						
1729	1,27								1,08																						
1730	1,13								1,10																						
1731	1,20								1,04																						
1732	0,59								0,54																						
1733	1,19								0,88																						
1734	0,62								0,83																						
1735	0,91								1,12																						
1736	0,53								0,92																						
1737	0,60								1,02																						
1738	0,45								0,62																						
1739	0,84								0,85																						
1740	1,14								1,16																						
1741	0,86								1,20																						
1742	0,18								0,26																						
1743	1,10								0,97		1,22																				
1744	0,60								0,89		1,17																				
1745	0,24							0,54	0,39		0,60																				
1746	0,14							0,47	0,30		0,96																				
1747	0,43				1,40			0,88	0,81		1,31																				
1748	0,28				1,39			0,88	0,82		1,06																				
1749	0,12				0,84			0,58	0,56		0,63																				
1750	0,09				0,64			0,57	0,57		0,66																				
1751	0,24				0,72			0,64	0,69		0,75																				
1752	0,13				0,63			0,52	0,45		0,76																				
1753	0,33				1,04			0,65	0,57		0,86																				
1754	0,44				1,18			0,68	0,70		0,92																				
1755	0,31				1,08			0,75	0,86		0,92																				
1756	0,59				1,21			0,69	0,79		0,80																				
1757	0,76				1,29			1,14	0,77		0,97																				
1758	0,60				1,11			0,82	0,78		1,10																				
1759	0,35				0,66			0,35	0,66		0,98																				
1760	0,52				0,81			0,37	0,67		0,82																				
1761	0,81				1,46			1,02	1,08		1,41																				
1762	0,98				1,65			1,18	1,19		1,17																				
1763	0,54				1,13			0,66	0,73		0,95																				
1764	0,34				0,98			0,99	0,69		1,26																				
1765	0,22				0,97			0,81	0,46		1,28																				
1766	0,46				1,43			1,03	0,75		1,49																				
1767	0,80				1,57			1,10	0,78		1,27																				
1768	0,44				1,23			0,57	0,40		1,21																				
1769	0,89				1,83			1,00	0,55		1,29																				
1770	0,35				0,97			0,52	0,45		1,02																				
1771	0,76				1,48			0,82	0,68		0,91																				
1772	0,42				1,09			0,64	0,39		0,77																				
1773	0,47				1,11			0,47	0,46		0,61																				
1774	0,52				0,94			0,64	0,46		0,71																				
1775	1,13				1,59			0,86	0,77		1,35																				
1776	0,74				1,34			0,89	0,43	0,67	1,03																				
1777	0,85				1,65			1,11	0,73	0,93	0,64																				
1778	0,78				1,30			0,72	0,56	0,41	0,94																				
1779	0,46				1,49			0,70	0,51	0,41	0,89																				
1780	0,27				1,06			0,62	0,27	0,32	0,78																				
