Year	pub03x	pub05x	pub06x	pub07x	pub10x	pub20x	pub21x	pub25x	pub27x	pub28x	pub29x	pub30x	pub34x	pub37x	pub39x	pub40x	pub42x	pub43x	pub44x	pub46x	pub50x	pub52x	pub57x	pub582x	pub59x	puub32x
1811													0,58													
1812													0,36													
1813													0,39													
1814													0,23													
1815													0,26													
1816													0,20													
1817													0,13													
1818													0,15													
1819													0,12													
1820													0,11													
1821													0,08													
1822													0,29													
1823													0,46													
1824													0,39													
1825													0,33													
1826													0,32													
1827													0,35													
1828													0,10													
1829													0,41													
1830													0,30													
1831													0,07													
1832													0,31													
1833													0,15													
1834													0,10													
1835													0,14													
1836													0,14													
1837													0,16													
1838													0,16													
1839													0,32													
1840													0,35													
1841													0,29													
1842													0,62													
1843													0,56													
1844													0,75													
1845													0,81													
1846													0,99													
1847								1,94					1,04	1,82												
1848								0,83					0,80	1,75												
1849								1,41		2,68			0,90	1,64												
1850						1,78		2,03		1,99			0,95	1,64												
1851						1,34		2,27		2,31			1,06	1,66												
1852						1,13		1,44		1,53			0,65	0,97												
1853						1,56		1,61		1,90			0,98	1,09												
1854						1,48		1,12		1,39			0,79	0,92									1,06			
1855						0,39		0,29		0,30			0,26	0,58									0,49			
1856						1,06		0,98		1,36			0,75	1,42									0,99			
1857						0,52		0,53		0,95		0,44	0,27	0,70									0,59			
1858						0,54		0,69		1,18		0,49	0,52	0,74									0,64			
1859						0,86		0,69		1,07		0,53	0,42	0,92									0,90			
1860						0,62		0,48		0,54		0,43	0,26	0,39									0,83			
1861						0,71		0,84		0,80		0,74	0,35	0,68									1,06			
1862						0,47		0,46		0,47		0,51	0,32	0,50									0,65			
1863						0,49		0,44		0,27		0,38	0,28	0,30									0,50			
1864						0,29		0,54		0,24		0,54	0,18	0,39									0,67			
1865						0,56		0,55		0,34	0,73	1,17	0,22	0,47									0,82			
1866						0,87		0,71		0,60	0,72	1,10	0,43	0,58									0,89			
1867						0,27		0,19	0,24	0,12	0,31	0,37	0,12	0,10									0,52			
1868						0,78		0,78	0,45	0,65	0,54	1,13	0,39	0,54									0,83			
1869						0,63		0,72	0,18	0,53	0,60	0,94	0,39	0,69									0,71			
1870						1,03		1,17	0,52	1,41	0,78	1,20	0,61	0,93									0,85			
1871						0,95		0,69	0,39	1,07	0,67	0,96	0,61	1,11									0,96			
1872						0,86		0,63	1,01	1,39	0,68	0,86	0,55	1,17									0,68			
1873	0,72					0,49		0,32	0,72	0,59	0,42	0,31	0,30	0,62									0,37			
1874	0,64					0,32		0,24	0,66	0,46	0,18	0,21	0,16	0,50		0,46							0,26		0,22	
1875	0,84					0,35		0,22	0,16	0,45	0,15	0,26	0,18	0,43		0,50							0,25		0,31	
1876	0,62					0,25		0,34	0,08	0,42	0,13	0,30	0,18	0,45		0,62							0,40		0,41	
1877	0,99					0,43		0,35	0,12	0,59	0,28	0,60	0,24	0,72		0,82							0,50		0,44	
1878	0,89					0,34		0,22	0,18	0,33	0,19	0,48	0,20	0,52		0,61							0,59		0,53	
1879	0,77					0,41		0,33	0,25	0,53	0,44	0,71	0,29	0,59		0,86							0,75		0,61	
1880	0,86					0,32		0,31	0,11	0,49	0,49	0,54	0,19	0,50		0,77							0,59		0,59	
1881	0,57					0,16		0,39	0,24	0,41	0,39	0,37	0,16	0,37		0,59							0,59		0,52	
1882	0,23			0,21		0,10		0,12	0,17	0,16	0,17	0,18	0,09	0,19		0,27							0,25		0,73	
1883	0,23			0,09		0,16		0,18	0,10	0,17	0,20	0,19	0,10	0,14		0,23							0,10		0,12	
1884	0,21			0,10		0,12		0,11	0,09	0,14	0,17	0,15	0,05	0,16		0,22							0,16		0,11	
1885	0,45			0,12		0,10		0,17	0,10	0,09	0,13	0,23	0,08	0,22		0,25							0,21		0,13	
1886	0,72			0,30		0,22		0,24	0,24	0,37	0,23	0,37	0,21	0,28		0,37							0,31		0,17	
1887	0,78			0,39		0,22		0,31	0,42	0,32	0,23	0,36	0,20	0,22		0,41							0,43		0,20	
1888	0,57			0,38		0,15		0,15	0,23	0,11	0,20	0,20	0,13	0,17		0,28							0,25		0,24	
1889	0,50			0,20		0,13		0,12	0,14	0,07	0,15	0,28	0,11	0,18		0,24							0,16		0,20	
1890	1,44		0,39	0,72		0,43		0,28	0,61	0,31	0,49	0,87	0,23	0,54		0,54							0,41		0,48	
1891	0,42		0,16	0,25		0,17		0,10	0,13	0,09	0,15	0,23	0,07	0,16		0,34							0,17		0,18	
1892	0,58		0,22	0,35		0,25	0,18	0,24	0,41	0,24	0,31	0,39	0,19	0,29		0,45							0,37		0,28	
