	TRWi
1966	0.98
1967	0.916
1968	0.818
1969	0.728
1970	1.035
1971	0.825
1972	0.928
1973	1.06
1974	0.856
1975	0.914
1976	0.901
1977	0.876
1978	0.776
1979	1.173
1980	0.921
1981	0.95
1982	0.876
1983	1.01
1984	0.864
1985	0.833
1986	0.46
1987	0.541
1988	0.607
1989	0.747
1990	0.732
1991	0.537
1992	0.394
1993	0.504
1994	0.498
1995	0.571
1996	0.518
1997	0.677
1998	0.713
1999	0.767
2000	0.897
2001	0.846
2002	0.702
2003	0.846
2004	1.088
2005	0.911
2006	1.084
2007	1.024
2008	1.29
2009	1.228
2010	1.437
2011	1.426
2012	1.132
2013	1.105
2014	1.267
2015	1.146
2016	1.35
2017	1.55
2018	1.324
2019	1.131
2020	1.319
2021	1.453
