	TRWi
1966	0.843
1967	0.847
1968	1.342
1969	1.446
1970	1.259
1971	1.031
1972	0.719
1973	1.049
1974	1.107
1975	0.816
1976	1.109
1977	1.022
1978	0.685
1979	1.052
1980	1.172
1981	0.864
1982	0.465
1983	0.871
1984	0.824
1985	1.379
1986	1.008
1987	0.514
1988	0.936
1989	0.87
1990	0.571
1991	0.947
1992	0.231
1993	0.382
1994	0.704
1995	0.732
1996	0.4
1997	1.176
1998	0.682
1999	1.025
2000	0.839
2001	0.758
2002	0.867
2003	0.694
2004	1.151
2005	1.347
2006	0.895
2007	1.098
2008	0.868
2009	0.704
2010	1.254
2011	1.051
2012	1.08
2013	0.521
2014	0.527
2015	1.082
2016	1.002
2017	1.437
2018	1.301
2019	1.088
2020	0.994
2021	1.048
