	TRWi
1966	1.383
1967	1.397
1968	1.332
1969	1.43
1970	1.378
1971	1.443
1972	0.801
1973	1.469
1974	2.02
1975	1.204
1976	1.355
1977	1.683
1978	0.469
1979	0.517
1980	1.073
1981	0.904
1982	1.021
1983	1.206
1984	0.689
1985	1.208
1986	1.396
1987	1.172
1988	1.038
1989	0.94
1990	1.024
1991	0.987
1992	0.58
1993	1.164
1994	1.117
1995	1.067
1996	0.716
1997	1.203
1998	0.631
1999	1.228
2000	0.654
2001	0.983
2002	0.854
2003	0.789
2004	1.006
2005	1.049
2006	0.919
2007	1.081
2008	0.734
2009	0.716
2010	0.594
2011	0.861
2012	0.875
2013	0.716
2014	0.522
2015	0.836
2016	0.766
2017	0.477
2018	0.723
2019	0.919
2020	0.681
2021	0.785
