	TRWi
1966	0.618
1967	0.758
1968	0.647
1969	0.615
1970	0.849
1971	0.775
1972	0.87
1973	0.891
1974	0.593
1975	0.787
1976	1.012
1977	0.809
1978	0.763
1979	1.041
1980	0.829
1981	0.619
1982	0.887
1983	0.948
1984	0.786
1985	0.928
1986	0.782
1987	0.659
1988	0.783
1989	0.743
1990	0.725
1991	0.69
1992	0.803
1993	0.71
1994	0.631
1995	0.673
1996	0.71
1997	0.889
1998	0.844
1999	0.907
2000	0.861
2001	0.937
2002	1.053
2003	1.299
2004	1.219
2005	1.032
2006	1.248
2007	1.155
2008	1.124
2009	0.992
2010	0.953
2011	1.045
2012	1.039
2013	0.993
2014	1.081
2015	1.048
