	TRWi
1966	1.055
1967	1.206
1968	0.701
1969	1.087
1970	0.938
1971	0.327
1972	0.804
1973	0.38
1974	0
1975	0.604
1976	0.795
1977	0.283
1978	0.693
1979	1.027
1980	0.158
1981	0.673
1982	0.69
1983	0.65
1984	0.998
1985	0.385
1986	0.873
1987	0.484
1988	0.877
1989	0
1990	1.018
1991	1.106
1992	0.729
1993	0.384
1994	0.936
1995	0.471
1996	0.826
1997	0.53
1998	0.864
1999	0.351
2000	0.406
2001	0.997
2002	0.89
2003	0.823
2004	0.763
2005	0.471
2006	0.634
2007	0.538
2008	0.685
2009	0.879
2010	0.678
2011	0.492
2012	1.052
2013	0.82
2014	0.819
2015	0.665
2016	0.784
2017	0.682
2018	1.167
2019	1.32
2020	0.709
2021	0.93
