	TRWi
1966	0.718
1967	1.01
1968	0.52
1969	0.794
1970	0.56
1971	0.455
1972	0.553
1973	0.294
1974	0.574
1975	0.232
1976	0.706
1977	0.681
1978	0.732
1979	0.836
1980	0.457
1981	0.792
1982	0.864
1983	1.077
1984	1.084
1985	0.706
1986	0.281
1987	0.78
1988	0.793
1989	1.004
1990	0.944
1991	1.263
1992	0.83
1993	1.401
1994	1.222
1995	0.576
1996	1.061
1997	0.283
1998	1.037
1999	0.673
2000	0.622
2001	0.475
2002	0.685
2003	1.035
2004	1.09
2005	0.791
2006	1.188
2007	1.423
2008	1.772
2009	0.971
2010	0.877
2011	1.126
2012	1.555
2013	1.368
2014	1.215
2015	1.212
2016	1.023
2017	0.952
2018	1.145
2019	0.772
2020	0.534
2021	0.955
