Year,1,2,3,4,5,6,7,8,9,10,11,12
1966,-18.7,-21.4,-16,-5,3.8,10.4,13.9,11.5,4.3,-2,-2.4,-9.1
1967,-15,-8.8,-1.9,0.4,4.3,10.7,14.7,15.3,8.5,2,0.2,-15.4
1968,-20.7,-14,-7.5,-3.2,3,11.2,10.9,10.8,4.6,-3.9,-5.3,-5.8
1969,-15.8,-18.8,-9.8,-2.8,2,8.7,13.3,11.5,6.2,2,-4.4,-11
1970,-11.8,-18.5,-5,-4.3,3.7,13.7,15.8,13.6,7.7,1.8,-6.2,-8.8
1971,-11.8,-15.3,-11.6,-4.4,2.9,9.2,13.4,12,5.6,-1,-9.7,-10.8
1972,-11.9,-11.6,-6.9,-1.5,3.6,13.1,18.1,14.5,6.6,1.3,-7.1,-2.4
1973,-10,-11.8,-7.2,-0.7,5.1,12.9,17.7,11.4,4,-2.3,-9,-14.1
1974,-9.8,-8.1,-4.3,-0.7,3.2,13.2,16.8,13.4,9.6,1.6,-5.3,-2.3
1975,-10,-8.9,-2.6,-0.8,6,10,13,10.5,8.1,0.3,-3.3,-9.9
1976,-15.9,-12.4,-9.8,-1,5.3,9,13.6,12.3,4.4,-2.2,-6.5,-8.3
1977,-12.2,-12.8,-7.8,-1.5,4.6,10.4,14.7,11.5,5.7,-1.1,-3,-9
1978,-13.9,-15.9,-7.2,-3.3,4.3,10,12.7,10.7,6.4,-0.2,-7.2,-17.8
1979,-16.8,-14.2,-7,-5.7,5.5,10.6,15.1,12.4,7.8,-1.1,-4.6,-7.1
1980,-13.5,-16.3,-10.4,-1.2,4.2,13.8,14.2,11.2,7.2,0.1,-9.8,-13
1981,-10.1,-17,-11.6,-1.9,4.4,9,14.1,12,6.7,2.6,-4.4,-14.2
1982,-18.3,-8.1,-5.6,-0.3,4.4,6.7,14.8,10.8,6.9,0.3,-2.5,-6.9
1983,-10,-12.6,-7.2,0.8,5,10.3,15.3,10.7,7.9,1.5,-10.5,-13.3
1984,-11.6,-7.6,-8.4,-0.4,8.7,12.3,13.3,11,6,0.5,-7.4,-6.3
1985,-23.2,-20.6,-5.6,-3.5,2.4,11.2,14.6,13,8,1.7,-4.5,-17.9
1986,-15.8,-14,-2.8,-1.7,3.9,13.1,13.8,10.4,4.7,2.3,-1.4,-16.3
1987,-17.6,-15.3,-9.4,-2.2,4.6,10.5,12.4,9.5,7,6.1,-7.6,-13.9
1988,-12.9,-11,-8.2,-3,5.2,12.4,16.6,12.8,7.9,1.5,-9.6,-13.9
1989,-9.3,-8.3,-1.2,1.1,7,13.7,14.3,12.7,7.5,-0.3,-4,-10.8
1990,-15.9,-2.2,-4.9,0.3,4.6,9.9,14.1,12.4,5.7,1.4,-8.8,-6.4
1991,-12.3,-11.7,-10,0.1,3.5,10.8,13,11,6,0.1,-8,-5
1992,-10,-6.2,-2.3,-5,6.9,11.8,12,10.3,9.2,-5.7,-8.3,-4
1993,-8.6,-8.8,-6.1,-2.6,5.3,9.4,14.5,12.1,3.3,-1.6,-6.4,-10.4
1994,-13,-12.8,-6.2,1.2,3.1,11.5,14.2,12.2,6.1,0.6,-6.3,-5.6
1995,-7.7,-7.9,-3,-0.3,4.8,12.5,12.7,11.4,6.5,1.2,-9.2,-14.7
1996,-9,-12.4,-6.4,-1.9,2.7,9.1,12.3,13.5,5.7,2.3,-2.5,-9.4
1997,-13.4,-11.3,-5.3,-3.8,3.5,11.8,14.6,13.6,8.3,0,-5.8,-9.2
1998,-12,-21.3,-9.7,-4,3.8,9.8,16.3,11.1,7,1.2,-8.1,-10.7
1999,-16.5,-13.3,-7,0,1.5,13.3,14.7,10.7,8.2,3.4,-4.2,-10.3
2000,-10.8,-10,-4.7,0.5,5.4,12.2,16,12.8,7.4,5.2,-1.7,-8
2001,-5.8,-13.1,-10.9,-0.5,4.3,13.1,15.5,11.6,7.7,0.7,-7.3,-11.8
2002,-13.1,-10.1,-6.5,-0.3,5.1,12.5,15.7,11.5,6.2,-1.1,-10.9,-13.6
2003,-17.7,-6.6,-3.3,-1.1,6.7,9.1,17.1,13.3,7.7,1.8,-2.5,-9.5
2004,-10.9,-12.4,-5.4,-1.4,4.7,10.7,16.9,12.5,7.8,1.2,-6.2,-6.7
2005,-6.9,-10.1,-9.3,-0.2,5.1,12.4,15.8,14.5,8.3,3.7,0.8,-7.9
2006,-10,-13.6,-9.9,0.7,5.9,13.9,13.5,12.9,7.5,0.1,-5.2,-4.8
2007,-10.4,-18.3,-1.5,0.5,5.5,11,14.4,14.2,7.2,4.7,-3.8,-2.4
2008,-9,-7.6,-7.1,-1.2,3.6,11.2,13.7,10.5,6,2.9,-3.3,-3
2009,-10,-11.2,-6.9,-1.7,6.6,10.7,13.5,13.4,9.4,-0.7,-1.5,-9.1
