Year,1,2,3,4,5,6,7,8,9,10,11,12
1966,-21.2,-23.8,-16.3,-3.9,4.6,13,14.5,10.5,3.6,-2.5,-3.4,-10.6
1967,-20.5,-8.9,-3.3,-0.7,4.9,10.7,13.9,13.9,7.6,0.2,-0.7,-20.2
1968,-19,-16.1,-8.7,-2.3,2,11.9,11.2,10.5,3.1,-6.5,-6.8,-6.3
1969,-14.4,-18,-11.4,-3.2,2.5,10.9,14.1,13.4,5,1.1,-6.6,-10.3
1970,-15.5,-20.4,-6,-5.1,4.4,14.8,15.4,12.5,6.4,0.3,-9.5,-10.9
1971,-12.9,-16,-14.2,-4.3,4.1,11.1,13.3,11.8,4.6,-1.6,-12.7,-10.2
1972,-10.9,-12.4,-6.7,-1.8,3.6,14,17.5,12.6,6.1,-0.4,-9.1,-3.2
1973,-8.8,-12.2,-6.1,-1.5,4.4,13.2,18.1,10.8,3.4,-4.6,-11.2,-17.6
1974,-10.1,-7.5,-5,-1.1,3.5,13.2,15.3,12.3,9,0.1,-5.9,-4.7
1975,-12.3,-8.9,-3.1,-1.8,6.6,9.7,12.6,10,7.3,0,-5,-13.4
1976,-19.2,-11.3,-10.4,-1.9,6.8,9.4,13.1,12,3.4,-2.9,-9.3,-12.1
1977,-13.8,-14.9,-8.7,-3.3,3.4,9.7,13.7,10.3,4.4,-2.4,-5.4,-11.5
1978,-15.3,-16,-8.1,-3.5,5.5,11.1,13.2,9.9,5.7,-1.5,-8.5,-20.8
1979,-18.3,-14.9,-7,-3.6,5.8,12.2,14.8,12.6,6.2,-3.1,-5.4,-10
1980,-17.4,-16.8,-10.6,-0.4,4.6,15,14.4,10.8,6.6,-2.2,-12.8,-15.4
1981,-12.7,-15.4,-15,-3,5.6,8.6,14.3,10.4,5.9,0.8,-6.8,-21.5
1982,-20.4,-9.4,-5.7,-1,4.3,7.3,14.8,10.7,5.7,-0.6,-3.6,-8.4
1983,-10.5,-12.6,-7.3,0.6,6.4,11,14.5,10.2,7.8,0,-15,-15.8
1984,-14.7,-6.9,-10.1,-0.9,9.1,11.8,12.7,10.5,4.7,-0.4,-8.3,-7.6
1985,-24.4,-25.1,-6.9,-4,2.8,11.7,14.6,12.1,6,1,-8.1,-21.3
1986,-19,-14.8,-3.9,-2.7,5.7,14.5,13.9,9,2.8,1.8,-2.9,-19.2
1987,-22.6,-15.6,-9.9,-2.6,4.4,10.9,12.4,9,6,5.5,-8.8,-17
1988,-13.1,-13,-7.5,-4.1,5.5,13,16.5,11.6,7.5,-0.2,-11.4,-16
1989,-9,-8.9,-2.5,1.5,7.3,13.4,13.7,11.9,6.8,-1,-4.7,-13
1990,-16.8,-3.1,-6,0.1,5.1,10.7,13.9,12,5,0.2,-10.4,-6.1
1991,-11.9,-17.3,-9.6,-0.9,3.3,10.2,14.3,12.7,4.2,0.6,-3.7,-8.6
1992,-8.5,-6.7,-3.7,-4.4,7.4,13.5,11.7,9.2,8.3,-8.7,-9.7,-4.6
1993,-9.7,-9.8,-7.2,-2.3,5.6,8,14.6,11.1,2.5,-4.1,-5.4,-10.4
1994,-16.3,-14.4,-7.4,1.5,3.8,11.1,14.7,12.4,5.4,-0.7,-7.3,-5.6
1995,-9.7,-7.8,-3.8,-1.8,3.7,13.3,12.5,11.5,5.6,0.1,-12.2,-16.8
1996,-8.8,-14.4,-6.6,-2.5,2,10.2,12.9,14.3,5.2,1.9,-4.7,-12.8
1997,-13.1,-12.4,-6.6,-5.6,3.4,12.9,15.9,13.5,7.5,-1.5,-7.9,-10
1998,-12.4,-19.4,-11,-4.2,4.1,10,15.4,10.6,6,0.3,-10,-12.8
1999,-18.5,-14,-7.2,0.1,3.2,14.6,14.7,9.6,8.6,1.8,-3.4,-14.9
2000,-12.2,-10.4,-6.1,-0.4,6.4,11.4,15.5,11.9,6.9,4.4,-2.3,-10.3
2001,-6.8,-15.5,-12.7,-1.7,4.2,13.5,14.9,11.5,8.1,0.1,-8,-14.1
2002,-14.4,-9.7,-8,2,7.2,13.8,15.6,13.4,5.3,-2.5,-12.3,-16.5
2003,-20.9,-7.6,-3.6,-1.8,6.8,10.7,18.4,11.9,6.6,-0.2,-4.1,-11.6
2004,-11.3,-12.7,-6.3,-0.4,5.4,10.6,16.2,12,7.4,0.1,-8.4,-7.6
2005,-8.4,-9.9,-10.4,0.3,4.4,13,16.3,13.6,7.4,2.5,-1,-10
2006,-10.9,-15.2,-11.5,1.6,6.5,13.4,14.5,14.6,6.9,-1.7,-6,-4.8
2007,-13.4,-19.1,-2.4,-0.1,5.4,11.9,14,13.1,5.8,3.8,-5.9,-3.6
2008,-9,-9.5,-9,-1.2,4.5,10.8,13.4,10.2,5.3,1.2,-6.1,-4.1
2009,-11.4,-12.3,-7,-1.6,7.9,11.2,13.7,13.8,6.1,-2.7,-2.2,-12.1
2010,-14.6,-17.5,-10.3,1.2,8.1,10.9,15.8,11.4,6.9,2,-11.4,-15.2
2011,-13.4,-19,-6,2.6,6.5,10.8,16.6,12.5,8.7,2.9,-2.1,-3.7
2012,-12.5,-15.8,-5.4,-2.2,5.9,10.7,10.7,12.1,8.2,-0.1,-4.1,-14.5
2013,-11.5,-9.4,-13.2,-0.9,9.5,14.2,15.7,13.9,9.1,0.4,-5.9,-8.2
2014,-15.1,-4,-3.9,-0.2,5.4,10.6,18.3,13.4,7.6,-1,-5.7,-5.7
2015,-14.1,-14.1,-2.3,0.9,6.3,10.2,12,13.5,9.5,0.6,-2.5,-8.9
