Year,1,2,3,4,5,6,7,8,9,10,11,12
1945,-24.6,-22.7,-24,-6.4,2.6,14.2,15,13.1,8,-2.3,-25.3,-26.6
1946,-27.5,-25.8,-19.4,-6.7,-1.1,6.8,15.1,11.6,2.2,-6,-19.2,-29.8
1947,-34,-32.5,-17.3,-7.8,-0.8,7.8,13.7,12.7,3.8,0.9,-22.3,-25
1948,-27.8,-27.4,-18,-10.3,-1.8,6.6,16.6,10.7,7.6,-3.4,-13.8,-28.4
1949,-19.9,-22.9,-19.7,-6.1,-1.9,6.4,13.8,12.5,4.8,-3.1,-26.8,-32.5
1950,-33,-27.2,-20.4,-10.2,-0.5,9.9,14.5,11.5,6,-5.3,-21.5,-24.8
1951,-28.9,-32.8,-23,-6.7,-1.2,6.3,14.8,9.5,7.6,-2,-22,-18.1
1952,-29.3,-23.3,-26.8,-11.1,-3.9,8,13,9.7,7,-9.8,-28.2,-32.4
1953,-24.1,-23.1,-17.6,-5.7,-1.7,11,19.5,10.1,4,-6.1,-22,-17.2
1954,-29.6,-32.7,-18.2,-9.2,-1.4,12.1,14.4,13.5,3.2,-3.9,-18.1,-22.7
1955,-16.8,-32.8,-25.2,-8.6,-2.4,9.5,16.3,10.9,4.1,-3.8,-19.9,-35.3
1956,-28.7,-25.2,-17.8,-10.8,-3,9,19.2,11.6,4.1,-8.4,-15.9,-24.4
1957,-26.2,-28.3,-22.3,-13.2,-2.3,11.3,16.7,13.2,3.6,-8.4,-29.7,-28.3
1958,-25.5,-28.2,-24.5,-18,-3.3,6.5,16.7,7.9,2.2,-8.4,-22,-33.8
1959,-26.8,-25.1,-15.2,-14.7,-4.2,11.4,14.9,13.8,7.3,-7,-19,-29.4
1960,-34.2,-33.4,-22.4,-15,1.3,11.1,14.9,9.1,5.3,-9,-26.6,-21.6
1961,-34.2,-24.6,-10.4,-7.6,-3.1,5.4,14.8,12.3,5.3,-9.6,-22,-27
1962,-19.6,-22.2,-17,-9.5,-2.9,9.9,17.9,12.1,6.6,-8.1,-19.7,-26.1
1963,-23.9,-24.8,-21.1,-14.3,-5,9.1,14.5,13.6,3.2,-3.6,-18.7,-32.2
1964,-26.9,-21.7,-26.8,-15.2,-5,5.4,15.7,11.5,8.1,-8.4,-23.6,-25
1965,-30,-29.4,-16.2,-11.6,-4.1,4.9,18.1,12.9,4.6,-5.7,-28,-28.6
1966,-32.2,-38,-22.6,-15.4,-2.1,7.3,14.1,10.4,5.8,-11.8,-25.2,-22.9
1967,-30,-27.2,-14.9,-7.8,-3.6,9.6,19.8,10.5,3.9,-0.5,-17.6,-17.4
1968,-28.9,-19,-10.6,-11.5,-3.9,3.9,13.8,10,2.6,-6.5,-31.6,-35.4
1969,-37.2,-39.6,-22.5,-15,-3.1,8.3,17.4,9.5,2.6,-9.2,-12,-23.3
1970,-29,-27.7,-18.7,-13.7,-6.1,4.8,15.3,9.1,5.8,-8.8,-20.2,-25.5
1971,-28.8,-32.5,-20.9,-15.2,-0.3,7.6,12.7,14.4,4.6,-7.7,-13,-22.1
1972,-34.4,-26.3,-18.4,-9.7,-4.5,12.8,13.8,10.9,1.9,-6.6,-25.3,-29.9
1973,-31.1,-20.1,-16.1,-9.9,-2.5,5.6,15.1,15.1,4.4,-6.5,-15.4,-24
1974,-39.2,-32,-21.4,-10.1,-3.5,5,12.9,11.6,4,-13.6,-31.6,-18.8
1975,-23.7,-21.4,-19.1,-11,-1.8,9.5,15.6,12.4,6.3,-6.9,-23.5,-22.4
1976,-23.9,-28.4,-21.6,-8.6,-2.4,9.9,15.1,11.7,5.6,-12.4,-18.8,-31.6
1977,-32.5,-33.6,-24,-8.5,-0.5,10.2,13.6,11.1,4.2,-14.6,-10.1,-28.2
1978,-29.1,-26.3,-20.8,-12.4,-1.8,7.3,16.3,11.1,3.9,-1.8,-12.2,-29.2
1979,-38.2,-39.4,-25.2,-10.3,-3.4,10.9,17.8,11.5,5.6,-9,-21,-26.3
1980,-28.5,-23.9,-24.8,-8.5,-4,7.3,15.6,12.7,5.7,-3.3,-24.5,-24.3
1981,-16,-25.9,-19,-8,-4.3,9,14.4,14.9,5.3,-11.2,-15.4,-20
1982,-30.7,-21.9,-23.9,-6.2,-0.1,10.4,16,11.7,3.5,-13.2,-21.8,-20.2
1983,-21.6,-22.2,-16.1,-13.7,-3.7,10.2,14.4,11.3,7.2,-2.8,-12.3,-21.6
1984,-20.1,-23.8,-18,-18.7,-0.6,13,17.9,12.7,7.5,-7.7,-29.2,-28.6
1985,-29,-32.5,-21.6,-10.5,-1.1,14.1,13.2,12.7,6,-2.9,-18.4,-24.5
1986,-25.6,-22.8,-19.4,-13.2,-1.8,7.8,17.6,12.8,3.4,-3.8,-11.8,-29.6
1987,-33.4,-25.4,-22.9,-11.9,-1.1,3.8,16.8,13.1,6.5,-6.6,-25.9,-24.2
1988,-26,-31.9,-17.8,-18,0.4,9.4,14.2,11.8,5.6,-6.3,-17.4,-15.4
1989,-29,-20,-16.4,-15.1,-0.2,5.1,13.2,11.2,2,-6.5,-20,-23.9
1990,-34,-25.8,-14.4,-7.1,-1.3,10.7,19.2,10.9,4.8,-8.1,-24.5,-27.4
1991,-23.1,-29.7,-21.9,-8.3,-1.6,8.9,16.7,11.6,9.1,-6.6,-15.6,-27.5
1992,-24.1,-22.5,-18.9,-17,-0.8,4.3,13.8,14.7,2.3,-11.2,-22.8,-22.5
1993,-19.3,-19,-10.4,-12.7,-2.9,11.9,14.8,12.2,5.9,-6.9,-18.2,-25.6
1994,-32.1,-33.1,-11,-10.5,-3.2,11.1,17.8,11.6,4,-3.2,-20.8,-27.6
1995,-21,-14.6,-15,-3.1,-2.1,7.3,14.3,13.7,3.9,-6.2,-19.1,-25.2
1996,-30.1,-20.6,-14.2,-12.4,-4.4,7.1,17.3,9.2,2.1,-5.8,-16.4,-26.3
