Year,1,2,3,4,5,6,7,8,9,10,11,12
1945,-19.5,-21.1,-21.1,-7.1,1.2,11.6,12.5,14.9,6.9,-3.1,-19.5,-26.8
1946,-22.1,-23.8,-17.8,-6.5,-2.4,5.6,11.9,13.9,4.4,-6.1,-14.2,-19
1947,-19.8,-28.3,-16.5,-6.3,-0.4,8,11,12,5.6,0.4,-14,-19.8
1948,-23.1,-21.4,-19.1,-4.8,2.5,9.9,13,11.4,7.7,-0.8,-7.8,-22
1949,-17,-28.1,-15.1,-4.5,-1.3,5.2,10.8,13.8,3.4,-1.7,-13.3,-22
1950,-27.1,-25.6,-11.7,-4.1,0.1,9.6,13.1,10,6.4,-0.8,-13.2,-16.1
1951,-22.9,-24.6,-18.4,-1.2,-0.9,7,14.7,11.1,6.6,-0.5,-12.3,-16
1952,-21.5,-21,-24.3,-9.5,-3.3,7.6,15.2,10.5,6.7,-6.4,-19.1,-24
1953,-25,-22.3,-19.4,-2,1.6,10.8,16.3,14.7,3,-3.2,-19.1,-11.8
1954,-20.2,-23.8,-15.7,-5.6,0.4,10,17.3,11,6.3,-0.8,-14.7,-17.2
1955,-16,-28.9,-22.1,-4.6,2.4,10.7,15.3,9.9,4.9,-0.1,-17.5,-27.4
1956,-21.5,-23.8,-11,-14.6,1.3,9.9,15.6,12.5,2.4,-6.7,-19.3,-17.9
1957,-20.7,-22.2,-26.1,-7.9,1.6,9.3,15.6,14.9,7.2,-5.4,-23.4,-24.5
1958,-22,-24,-24.1,-13.4,-5.2,7,13.5,9.7,1.5,-3.1,-11.6,-29.6
1959,-20.5,-22.6,-12.8,-15,0.3,9.6,15.3,12.3,5.8,-6.4,-12.9,-19.3
1960,-28.3,-28,-24.4,-8.4,-2.1,8.6,12.9,8.9,5.3,-7.8,-16.2,-19.6
1961,-20.2,-18.6,-9,-10,-3,8.1,15.5,11.7,4.7,-3.9,-14.5,-21.8
1962,-19.8,-16.8,-17.5,-5.7,1.8,8.9,16.9,10.3,7.6,-6.9,-12.7,-23.2
1963,-25,-20.2,-26.4,-8.8,-0.2,9.9,14.5,11.3,4,-1.9,-16.9,-26.2
1964,-29.6,-24.6,-21,-17.4,-3.6,7,16,10.1,5.4,-3.1,-22.5,-18.2
1965,-23.2,-25.5,-16.1,-9,-3.3,8.4,15.1,11.7,4,-6.6,-23.8,-21.2
1966,-21.9,-34.4,-23.7,-13.5,-1.4,5.7,14.2,10.6,4.8,-9.4,-11.9,-19.1
1967,-25.6,-20.6,-9,-1.8,-1.2,8.8,15.6,11.6,4.7,-0.4,-6.7,-18
1968,-28.8,-20.7,-10,-12.3,-1.1,5.2,10.9,10.5,2.6,-5.8,-25.6,-29.9
1969,-29.8,-26.6,-19.1,-11.7,-6.1,5.6,14.8,8.4,3.9,-6.3,-10.8,-19.7
1970,-29.4,-24.5,-14.3,-12.3,-5.2,4.9,13.3,8.4,6.8,-6.4,-17.3,-21.1
1971,-24.3,-29.8,-18.1,-13.7,-1.5,5,12.9,10.5,5.9,-7.2,-11.9,-19.7
1972,-26.8,-19.7,-17.9,-7.9,-6.1,7,12.1,10.4,2.7,-3.2,-22,-20.4
1973,-27.3,-18.4,-15.8,-6.2,-1,9.2,12.3,12.8,3.2,-4.9,-13.8,-22.6
1974,-25.6,-29.1,-14.2,-9.6,-4.2,5.6,16.4,11.2,6.2,-6,-24.6,-14.3
1975,-23.3,-25,-16.1,-7.2,-2.7,6.5,12.8,10.4,7.5,-6.2,-15.7,-18.7
1976,-26,-23.7,-15.4,-3.8,-0.4,9.2,14.5,13.5,5.3,-10.3,-10.5,-19.2
1977,-27.3,-32.2,-20.9,-4.4,3.9,12.4,14.7,11.3,5.4,-11.8,-8.5,-20
1978,-24,-24.4,-16.6,-15.7,-4.3,3.5,14.3,8.5,3.7,-4.3,-14.2,-25.8
1979,-26.9,-28.8,-22.3,-12,0,5.9,13.5,11.2,7.7,-6.6,-12.5,-23.7
1980,-27.3,-19.4,-16.8,-7.4,-0.7,8.2,11.2,8.3,5.3,-1.4,-17.5,-20.2
1981,-16.2,-17.9,-20.3,-10.4,-3.5,10.2,12.6,14.9,5.7,-1.4,-9.9,-13.5
1982,-27,-23.3,-23.2,-4.6,1.5,9.8,16,9.2,4.4,-9.9,-12.7,-14.5
1983,-19.9,-23.3,-15.3,-11.7,-4.6,7.6,14.6,10.7,6.3,-2,-14.2,-18.2
1984,-17.1,-14.5,-11.5,-15.7,-1.8,7.9,15.6,11.5,5.6,-6.3,-22.3,-17.9
1985,-28,-30.6,-13.1,-10.8,-4.7,9,12,11.1,7.1,-2.3,-16.8,-26.5
1986,-22.5,-26.6,-12.2,-8.1,-2.8,7.7,12.6,9.1,3.1,-1.1,-8.4,-27.2
1987,-25.7,-22.6,-14.9,-13.5,0.2,6.9,16.2,9.9,4.9,0.4,-16.9,-21.7
1988,-19,-24.6,-11.2,-14,-0.4,8.8,15.1,11.9,5.6,-3.3,-15.6,-17.6
1989,-27.2,-20.1,-9.1,-12.5,2.4,11.9,17,12.1,5.3,-2.2,-14.2,-23.6
1990,-30.2,-22.1,-14.3,-4.5,0.7,10.8,19,11.3,4.2,-5.3,-21.7,-18.5
1991,-22.7,-21.9,-20.5,-3,3.9,14.1,14.1,10.2,7.5,-1,-12,-24.1
1992,-27.2,-19.3,-12.7,-17.3,1.8,6.3,13.3,11.3,4.4,-9.8,-22,-16.6
1993,-19.4,-19.5,-10.8,-8.2,-1.5,13.3,16.6,11.7,5.1,-4.2,-10.7,-21.2
1994,-24.3,-30.9,-11,-6.3,-3.7,11.3,15.1,12.1,5.4,-1.6,-19.1,-22.8
1995,-13.2,-13,-11.9,0.8,2.7,7.3,14.8,13.1,6.5,-3.4,-16.3,-24.1
1996,-18.5,-16.4,-9.8,-10.2,1.2,8.5,15.2,8.7,1.9,-1.4,-6.6,-18.1
1997,-26.2,-27.2,-12.5,-2.7,1.5,8.2,9.8,9.8,7.4,-1.8,-16.5,-25.9
1998,-24,-30.4,-13.3,-12.5,-1.8,8.2,16.8,11.9,1.8,-9.6,-25.3,-23.3
1999,-29.2,-20.6,-21.8,-12.7,-4.8,7.2,14.1,11,5,-1,-17.2,-15.7
2000,-30,-20.4,-11.4,-4.4,1.6,11.7,14.7,13.5,5.3,-3.6,-14.4,-25.1
2001,-28.9,-27.4,-18.9,-7.2,3,9.9,13,13.6,6.8,-5,-16.8,-16.4
2002,-26.2,-20,-14,-6,1.2,8.9,14,9.9,3,-2.2,-14.3,-24.1
2003,-25.2,-23.3,-16.2,-6.9,1.9,11.2,14.9,16,5.7,-2.2,-16.7,-16.5
2004,-19.3,-21.7,-17.5,-14.8,-1.8,10.8,16.7,10.2,4.4,-3.8,-11.1,-24.2
2005,-18.7,-20.3,-20.3,-10.9,1.9,10.4,16,11.4,8,1.1,-7,-18.8
2006,-30.1,-22.9,-15.7,-15.7,0,11.4,14.4,10.4,5.4,-7.1,-22.2,-20.7
2007,-14.8,-28.9,-13.1,-3.4,-3.7,8.6,18.7,11.4,6.4,1.7,-11.9,-15
2008,-16.2,-19.2,-17.3,-10,-2.4,8.6,15.3,11.2,6.1,-1.4,-12.7,-12.8
2009,-24.1,-26.2,-15.6,-8.4,-3.3,8.6,13.7,12.1,7.5,-1.4,-19.4,-30.2
2010,-24.5,-32.8,-17,-7.4,0.1,8.7,13.3,10.6,3.2,1,-13.8,-24.3
2011,-23.6,-23.7,-9.3,-3.5,3.5,13.2,11.7,9,7.6,-1,-12.1,-13.9
2012,-19.8,-18.5,-17.1,-4.8,2.1,16.2,16,11,6.9,-0.8,-13.7,-17.5
2013,-27.9,-18,-22.4,-4.7,0.6,11.7,18.5,12.5,4.6,-5.7,-9.8,-20.4
2014,-28.6,-27.2,-9.4,-6.2,0.5,11.2,11.2,11.6,4.2,-6.1,-13,-17.9
2015,-25.3,-19.1,-8.7,-4.3,5.6,13.4,13,10.7,5.7,-5.2,-15.1,-17.2
2016,-23.7,-10.4,-12.8,-2.1,1.2,14,19.4,14.6,9.3,-0.2,-17.7,-26.3
2017,-23.3,-21.3,-4.6,-9.9,-4.1,9.5,16.8,10.9,4.4,-0.8,-10.2,-13.3
2018,-15.7,-23,-21.1,-8.5,-2.8,9.8,16.8,11.7,7.9,-1,-13.3,-15.6
2019,-24.5,-23.9,-10.3,-6.3,0.8,8.1,16.9,11.5,6.2,-1.8,-15.3,-16.8
2020,-17.2,-12.1,-7.5,-2.7,5.4,9.9,15.5,13.5,8.7,-1.4,-8,-18
2021,-29.8,-30,-18.4,-2.1,4.7,11.2,13.8,14,5.6,-1,-14.5,-22.4
