	TRWi
1945	1.462
1946	0.999
1947	0.456
1948	0.871
1949	0.348
1950	1.265
1951	0.987
1952	0.947
1953	1.275
1954	0.945
1955	1.231
1956	1.168
1957	0.893
1958	1.012
1959	1.418
1960	1.025
1961	0.849
1962	0.967
1963	0.998
1964	1.133
1965	1.282
1966	0.697
1967	1.329
1968	0.611
1969	1.072
1970	1.055
1971	0.441
1972	0.995
1973	0.747
1974	0.615
1975	0.991
1976	1.215
1977	0.931
1978	1.063
1979	1.199
1980	0.791
1981	0.78
1982	1.112
1983	1.156
1984	1.287
1985	1.237
1986	1.12
1987	1.222
1988	1.168
1989	0.704
1990	1.255
1991	0.903
1992	0.955
1993	1.123
1994	1.287
1995	0.464
1996	1.392
1997	0.221
1998	1.456
1999	0.396
2000	1.138
2001	1.176
2002	0.943
2003	1.069
2004	1.24
2005	0.797
2006	0.942
2007	0.689
2008	0.87
2009	1.063
2010	0.666
2011	1.207
2012	1.271
2013	0.978
2014	0.987
2015	0.954
2016	1.144
2017	0.715
2018	1.184
2019	1.139
2020	0.603
2021	0.687
