Year,1,2,3,4,5,6,7,8,9,10,11,12
1945,-41,-37.4,-30.2,-7.3,2.4,10.2,12.3,10.4,1,-13.7,-23.8,-29.1
1946,-39.4,-36.7,-30.3,-13.8,1.4,10.1,13.6,7.6,2.1,-12.4,-22.4,-32.9
1947,-35.9,-26.2,-25.6,-13.1,0.3,11.1,10.7,9.4,3.1,-11.5,-28.2,-38.4
1948,-35.9,-24.7,-24.3,-11.9,4.6,11.8,9.8,9.9,1.4,-14.4,-30.2,-32.6
1949,-36.2,-34.1,-26.7,-13.6,-1,8.7,11.3,6.8,0.4,-13.4,-31.1,-28.1
1950,-18.2,-26.7,-31.5,-19.9,-6.8,8.1,11,8.1,-0.3,-12.7,-22.3,-38.8
1951,-34.2,-37.8,-18.8,-14.4,2.7,13.5,13,8.5,3.6,-8.8,-27,-27.1
1952,-37.3,-41.2,-24.1,-14.2,-1.9,11.8,16.2,12.3,4,-9.2,-28.2,-32.3
1953,-30,-36,-28.1,-15.2,2.2,16.3,15.3,10.7,3.4,-8.1,-21.2,-35.9
1954,-30.1,-34.8,-27.7,-5.2,3,10.8,11.9,6.4,1.1,-12.3,-25.5,-37.7
1955,-39.3,-32.2,-28.4,-11,-3,9.5,12.6,9.9,0.6,-17,-26,-19.2
1956,-25.7,-32.2,-27.1,-16.7,0.3,13.5,13.6,7.7,0.8,-12.8,-31.9,-32.4
1957,-29.3,-37.3,-28.5,-15.5,2.6,12.6,11.7,6.7,3.2,-10.8,-21.8,-36.5
1958,-34.7,-34.3,-26.7,-15.6,-2.8,12.8,11.9,11.1,0.7,-13.6,-32.6,-30.7
1959,-26.5,-35.4,-26.5,-13.2,3.2,9.6,13.7,8.4,2.7,-12,-20.5,-34.7
1960,-33.4,-33.7,-16.3,-13.8,-2,13.5,16.6,9.1,3,-11.8,-27,-28
1961,-36.2,-30.3,-31.4,-14.9,4.2,12.4,14.4,7,0.7,-11.2,-22.7,-31.7
1962,-30.9,-31.2,-20.3,-9.2,0.8,10.3,11.8,7.9,-1.8,-13.4,-27.8,-30.6
1963,-28.9,-27.7,-28.6,-15.2,-2.7,9,14.1,6.1,1.8,-14.5,-24.9,-33.6
1964,-45.3,-34.4,-30.4,-16.8,-1.2,16,10.9,9.7,-1.4,-12.4,-26.1,-24.7
1965,-34.1,-34.5,-26,-15.7,-1.5,12.8,10.4,6.7,-2.8,-12.6,-25.9,-39.8
1966,-38.8,-40.4,-23.3,-15,0,11.7,12.5,9.4,3.2,-15.4,-20,-32.2
1967,-38.2,-37.5,-20.9,-16.7,6.1,11.7,10.9,6.8,3.2,-9.4,-32,-32.9
1968,-31.1,-30.3,-22.3,-15.6,0.4,10.9,13.7,10.6,0.9,-14.3,-31.8,-37.1
1969,-24.3,-35.9,-28.7,-12.8,4.1,13.1,14.5,10.5,5.5,-14,-31.9,-34.1
1970,-29.8,-34.6,-26.9,-15.5,2.8,15.3,9.8,7.2,4.3,-14.3,-27.5,-30.2
1971,-30.5,-35.8,-27,-11.3,1.2,11.5,15.2,10,2.6,-13,-28.6,-34
1972,-39.7,-24.9,-25.1,-14.2,2,8,14.8,8.8,2.3,-11.6,-35.2,-28.3
1973,-42,-31.3,-30.9,-11.9,-0.9,14.4,13.7,8.2,0.3,-12.2,-22.9,-29.6
1974,-36.4,-36.1,-23,-13.4,0.3,12.4,14.9,12.4,2.2,-6.3,-26.9,-41
1975,-37.8,-27.9,-28.1,-15.7,-0.4,9.6,13.7,12.4,2.9,-11.1,-25.3,-38
1976,-34.8,-35.1,-30.2,-18.9,-2.2,9,12.8,10.1,3,-14.5,-27.7,-34.8
1977,-33.2,-39.2,-33.6,-12,0.2,12.8,17.5,10.9,3.8,-12.3,-28.9,-31
1978,-30.5,-37.3,-21.6,-14.3,2.4,10.4,12.9,10.3,0.9,-12.5,-24.1,-37.3
