Year,1,2,3,4,5,6,7,8,9,10,11,12
1966,-39.7,-40.2,-34.8,-20.2,-8,2.8,11.4,8.8,0.9,-15.8,-28.3,-20.4
1967,-35.8,-31.3,-26.4,-15.5,-7.5,5.2,16.1,8.2,1.8,-4,-17.4,-21.2
1968,-31.5,-27.8,-20.6,-17.1,-8.3,3.2,11.5,7.7,1.2,-12.8,-34.6,-36.5
1969,-34.8,-38.8,-29,-19.3,-6.9,5.8,16,9.7,-0.3,-12.9,-20.2,-27.6
1970,-33.8,-35.4,-25.6,-20.2,-9.6,3.1,13.5,6.7,1.6,-13.9,-23.5,-27.6
1971,-34.7,-34.2,-24.9,-19.5,-6.1,5,13,14,3.4,-14.1,-20.2,-25.4
1972,-36.7,-32.2,-30.1,-15,-10.8,4.7,11.7,8,-1.1,-12.1,-31.2,-32.3
1973,-34.2,-27.8,-22.4,-19.7,-7.8,3.7,12.1,10.4,1.2,-13.4,-29.2,-33.2
1974,-38.6,-34.2,-22.1,-15.6,-7.2,2.3,9.4,9.9,2,-18.6,-34,-28.8
1975,-31.4,-31.9,-27.5,-18,-4.8,7.3,13.5,9.7,3,-12.6,-26.8,-19.6
1976,-29.6,-34.2,-28.9,-13.1,-7.8,5.8,9.8,6.9,1.6,-16,-28.8,-35.8
1977,-32.7,-35.9,-30.7,-15,-3.1,5.6,11.2,6.9,0.4,-17.6,-28.7,-31.8
1978,-38.4,-30.7,-31.8,-20.4,-8.4,5.6,13.9,10.7,1.1,-9.3,-20.3,-38.3
1979,-42,-44.5,-32.5,-19.9,-9.4,9.5,15.8,8.9,1.1,-15,-28.7,-28.8
1980,-33.8,-28.8,-29.7,-16.3,-6.5,2.2,12.3,11.5,2.2,-7.8,-31.5,-29.9
1981,-20.3,-31.2,-27.6,-15.8,-10.1,4.9,10.7,10.2,-0.2,-13.6,-19.8,-28.9
1982,-36.7,-28.3,-30.9,-15.8,-9.2,3.5,11.1,11.6,1.6,-17.9,-32.4,-29.8
1983,-29.4,-29.3,-24.4,-21.3,-7.2,6.4,10.7,11.2,3.5,-9.6,-18.6,-30.5
1984,-26.3,-31.4,-25.8,-23.9,-7.8,6.3,18.3,8.1,3.2,-11.2,-26.9,-29.2
1985,-34.1,-32,-26.7,-18.5,-8.6,7.9,11.6,8.7,2.7,-10.3,-21,-29.5
1986,-33.5,-28.7,-28.9,-20.4,-7.8,3.4,14.4,8.4,0.8,-9.7,-21.5,-33.1
1987,-40.5,-34.4,-30,-17.6,-6.7,0.9,12.6,9.6,2,-11.1,-27.9,-32.4
1988,-27.6,-30.8,-26.4,-22.9,-5.2,7.7,10.6,8.5,2.9,-12.5,-24.2,-19.3
1989,-31.9,-26.4,-23,-18.7,-4.8,1.1,9.1,6.9,-1,-12.4,-31.4,-26.7
1990,-35.5,-30.5,-18.5,-11.8,-4.5,10.2,12.8,8.5,3,-12.5,-31.5,-32.3
1991,-35.5,-36.8,-28.2,-16.4,-6.7,3.8,14.3,8.8,4.8,-12.7,-22.4,-27.6
