Year	KHA01	KHA02	KHA03	KHA04	KHA05	KHA06	KHA08	KHA09	KHA10	KHA11	KHA12	KHA14	KHA15	KHA16	KHA17	KHA19	KHA20
1630		0,53															
1631		0,15		0,18													
1632		0,29		0,56													
1633		0,26		0,63													
1634		0,21		0,32													
1635		0,31		0,48													
1636		0,27		0,28													
1637		0,42		0,58													
1638		0,15		0,23													
1639		0,25		0,27													
1640		0,40		0,50													
1641		0,42		0,46													
1642		0,00		0,00													
1643		0,27		0,40													
1644		0,21		0,19													
1645		0,25		0,38													
1646		0,33		0,33													
1647		0,25		0,19													
1648		0,07		0,06													
1649		0,27		0,37													
1650		0,25		0,33													
1651		0,27		0,25													
1652		0,37		0,38													
1653		0,18		0,16													
1654		0,33		0,50													
1655		0,35		0,40													
1656		0,30		0,33													
1657		0,12		0,14													
1658		0,27		0,33													
1659		0,43		0,59													
1660		0,18		0,12													
1661		0,43		0,41													
1662		0,34		0,35													
1663		0,22		0,28													
1664		0,37		0,25													
1665		0,27		0,24													
1666		0,33		0,45													
1667		0,42		0,81													
1668		0,52		0,71													
1669	0,38	0,41		0,51													
1670	0,19	0,07		0,04													
1671	0,34	0,27		0,42													
1672	0,38	0,30		0,24													
1673	0,62	0,49		0,64													
1674	0,54	0,29		0,25													
1675	0,41	0,21		0,26													
1676	0,47	0,38		0,31													
1677	0,55	0,32		0,47													
1678	0,42	0,16		0,21													
1679	0,35	0,27		0,33													
1680	0,35	0,34		0,42													
1681	0,41	0,26		0,40													
1682	0,15	0,08		0,22		0,12											
1683	0,34	0,18		0,42		0,20											
1684	0,24	0,17		0,21		0,12											
1685	0,26	0,04		0,14		0,08											
1686	0,63	0,30		0,83		0,20											
1687	0,49	0,35		0,69		0,17											
1688	0,39	0,22		0,58		0,07											
1689	0,39	0,31		0,64		0,12		0,35									
1690	0,39	0,24		0,47		0,11		0,24									
1691	0,34	0,35		0,53		0,06		0,35									
1692	0,46	0,45		0,42		0,19		0,32									
1693	0,68	0,36		0,54		0,26		0,44									
1694	0,45	0,42		0,47		0,14		0,38									
1695	0,68	0,56		0,86		0,32		0,37									
1696	0,13	0,10		0,23		0,05		0,11									
1697	0,39	0,18		0,35		0,07		0,18									
1698	0,15	0,00		0,00		0,00		0,07									
1699	0,27	0,07		0,07		0,07		0,06									
1700	0,52	0,30		0,31		0,08		0,13									
1701	0,43	0,16		0,28		0,08		0,18									
1702	0,17	0,12		0,15		0,02		0,11									
1703	0,38	0,33		0,32		0,07		0,13									
1704	0,58	0,29		0,42		0,09		0,33									
1705	0,85	0,59		0,85		0,16		0,61									
1706	0,74	0,47		0,51		0,13		0,40									
1707	0,74	0,37		0,84		0,20		0,64									
1708	0,46	0,37		0,65		0,20		0,35									
1709	0,56	0,50		0,69		0,32		0,48									
1710	0,51	0,36		0,50		0,40		0,29									
1711	0,28	0,10		0,24		0,34		0,15									
1712	0,42	0,26		0,43		0,38		0,29				0,52					
1713	0,50	0,37		0,60		0,43		0,37				0,54					
1714	0,12	0,04		0,10		0,19		0,18				0,14	0,17				
1715	0,53	0,36		0,48		0,60		0,52				0,35	0,77	0,49			
1716	0,53	0,42		0,59		0,51		0,56				0,23	0,91	0,39			
1717	0,44	0,43		0,41		0,41		0,54				0,34	0,79	0,37			
1718	0,04	0,00		0,03		0,07		0,07				0,09	0,04	0,11			
1719	0,50	0,47		0,63		0,37		0,60				0,32	0,66	0,25			
1720	0,39	0,37		0,66		0,41		0,52				0,34	0,78	0,23			
1721	0,30	0,29		0,42		0,22		0,39				0,29	0,61	0,26			0,23
1722	0,36	0,30		0,49		0,26		0,39				0,35	0,52	0,39			0,32
1723	0,38	0,27		0,40		0,18		0,23				0,29	0,45	0,26			0,38
1724	0,42	0,20		0,36		0,20		0,37				0,19	0,38	0,23			0,37
1725	0,42	0,29		0,37		0,27		0,45				0,34	0,43	0,29			0,37
1726	0,48	0,22		0,52		0,18		0,41				0,33	0,27	0,17			0,26
1727	0,64	0,33		1,05		0,57		0,96				0,57	1,13	0,67			0,39
1728	0,22	0,06		0,18		0,22		0,25				0,26	0,56	0,46			0,17
1729	0,73	0,50		0,89		0,57		0,81				0,57	1,11	0,59			0,45
1730	0,55	0,31		0,52		0,41		0,75				0,47	0,83	0,63			0,42
1731	0,39	0,31		0,34		0,35		0,54				0,38	0,64	0,48			0,31
1732	0,26	0,04		0,08		0,20		0,29				0,17	0,17	0,33			0,18
1733	0,33	0,25		0,26		0,36		0,42				0,21	0,41	0,40			0,27
1734	0,50	0,30		0,29		0,39		0,53				0,30	0,47	0,44			0,29
1735	0,24	0,03		0,20		0,17		0,27		0,25		0,18	0,14	0,11			0,14
1736	0,39	0,16		0,17		0,26		0,39		0,26		0,25	0,28	0,26			0,20
1737	0,46	0,34		0,40		0,46		0,39		0,36		0,21	0,62	0,29			0,22
1738	0,49	0,11		0,24		0,23		0,13		0,17		0,16	0,12	0,15			0,10
