year;CNoAPA06_;CNoAPA07_;CNoAPA08_;CNoAPA09_;CNoAPA10_;CNoAPA11_;CNoAPA13_;CNoAPA15_;CNoAPA17_;CNoAPA19_;aver
1697;0;0;0;900;;;;;;;225
1698;1179;0;0;4128;;;;;;;1326.75
1699;2090;0;4345;5822;;;;;;;3064.25
1700;4003;0;9061;7217;;;;;;;5070.25
1701;5526;0;9732;5854;;;;;;;5278
1702;7691;0;10521;5562;;;;;;;5943.5
1703;7096;0;10707;4880;;;;;;;5670.75
1704;7382;0;9208;4651;;;;;;;5310.25
1705;6860;0;8940;5587;0;0;710;;;;3156.714286
1706;8721;0;8806;6504;0;0;3424;;;;3922.142857
1707;10639;0;12110;6805;0;0;4901;;;;4922.142857
1708;4778;0;6538;4237;0;0;6913;;;;3209.428571
1709;4406;0;915;3144;0;0;8566;;;;2433
1710;5211;0;3936;5479;0;0;5701;;;;2903.857143
1711;5706;0;7035;7078;0;0;4199;;;;3431.142857
1712;3466;0;6286;5392;0;2479;2507;;;;2875.714286
1713;3672;0;3516;5234;0;2085;1791;;;;2328.285714
1714;3286;0;3623;4831;0;1660;2907;;;;2329.571429
1715;3411;0;2841;4608;0;2136;3445;;;;2348.714286
1716;2907;0;3340;4452;0;1584;2352;;;;2090.714286
1717;2332;0;2682;4031;0;1356;3124;;;;1932.142857
1718;2627;0;3548;5753;0;1300;2795;;;;2289
1719;2304;0;3211;3997;0;730;2778;;;;1860
1720;2697;0;2575;5408;0;1020;2955;;;;2093.571429
1721;1916;0;2128;0;0;886;3709;0;523;;1018
1722;2432;0;2065;4402;0;817;3479;0;1945;;1682.222222
1723;2169;0;1653;4252;0;1066;4967;0;2369;;1830.666667
1724;2248;0;1727;3638;0;1086;1485;0;2170;;1372.666667
1725;3158;4400;1682;3059;0;1390;2680;0;2291;;2073.333333
1726;2869;6015;1570;3151;0;1426;1630;0;2853;;2168.222222
1727;1930;6521;2665;3853;0;1248;2838;0;3856;;2545.666667
