year;CTAAPA06_;CTAAPA07_;CTAAPA08_;CTAAPA09_;CTAAPA10_;CTAAPA11_;CTAAPA13_;CTAAPA15_;CTAAPA17_;CTAAPA19_;aver
1697;0;0;0;0.102155201;;;;;;;0.0255388
1698;0.252376646;0;0;0.62110579;;;;;;;0.218370609
1699;0.526347637;0;0.93746227;1.306111693;;;;;;;0.6924804
1700;1.242463708;0;2.053970575;1.933086157;;;;;;;1.30738011
1701;2.406301498;0;2.840359449;1.458038807;;;;;;;1.676174939
1702;3.458137512;0;3.083270788;1.503856659;;;;;;;2.01131624
1703;3.125001907;0;3.424946308;1.124422669;;;;;;;1.918592721
1704;3.480112076;0;3.485876083;1.343187451;;;;;;;2.077293903
1705;3.433301926;0;3.704370499;2.298689604;0;0;0.092829622;;;;1.361313093
1706;3.923438072;0;3.255321264;2.651143312;0;0;0.81097275;;;;1.520125057
1707;4.265236855;0;4.661277771;2.63201642;0;0;1.328370929;;;;1.840985996
1708;2.050011158;0;2.767991781;1.705602407;0;0;1.872371554;;;;1.199425272
1709;1.579696774;0;0.339857608;1.129891634;0;0;3.047224283;;;;0.8709529
1710;1.977894664;0;1.260751724;2.04020977;0;0;1.947203159;;;;1.032294188
1711;2.1622715;0;2.522345781;3.046158075;0;0;1.521680951;;;;1.321779472
1712;1.305903554;0;2.186192036;2.46156168;0;1.052160978;0.734075069;;;;1.105699045
1713;1.411044598;0;1.263217449;2.176968098;0;0.797362626;0.467164993;;;;0.87367968
1714;1.050526381;0;1.158527493;1.933086991;0;0.400744647;0.709483147;;;;0.75033838
1715;1.431086659;0;1.009202957;1.947603941;0;0.834811091;1.158249259;;;;0.911564844
1716;1.372058392;0;1.224060059;2.135936022;0;0.605245173;0.579724073;;;;0.845289103
1717;0.836107254;0;0.93207854;1.777600527;0;0.420435309;1.07716465;;;;0.720483754
1718;0.955067098;0;1.272976518;2.714862108;0;0.514043748;0.922921836;;;;0.911410187
1719;0.820374846;0;1.242845893;1.658037663;0;0.254337072;0.839405894;;;;0.687857338
1720;0.955417275;0;0.8987813;2.433734655;0;0.418757886;1.006339073;;;;0.81614717
1721;0.737665832;0;0.70217663;0;0;0.32538566;1.639397025;0;0.092144616;;0.388529974
1722;0.811460614;0;0.625769913;1.719078541;0;0.30711782;1.387508512;0;0.652821302;;0.611528522
1723;0.830224633;0;0.371820211;1.913267374;0;0.463899761;2.042219639;0;0.715331256;;0.704084764
1724;0.712243974;0;0.782996237;1.433433533;0;0.439793169;0.242196918;0;0.715822518;;0.480720705
1725;1.246743083;1.321226239;0.497665167;1.084460139;0;0.555095911;1.07365036;0;0.661918521;;0.715639936
1726;1.074904799;1.787048459;0.458686739;1.380260468;0;0.527275681;0.573503673;0;0.93143487;;0.748123854
1727;0.785934985;1.863466263;1.139324665;1.727035522;0;0.560712516;1.193020344;0;1.157740474;;0.936359419
1728;1.067630768;2.197939634;1.415276647;1.408703327;0;0.510855317;1.238958716;0;1.483991742;;1.035928461
1729;1.345094442;2.696243286;1.66273737;0;0;0.686581373;0.801253498;0.19653219;1.373110175;;0.973505815
1730;1.539937139;2.746538401;1.125571012;2.204163074;0;0.693951905;0.756236017;0.312559456;1.061113119;;1.160007791
1731;0;2.188616991;1.249979734;2.083864927;0;0.43666023;0.629491627;0.436106026;0.83043766;;0.872795244
1732;0.843798339;1.40539813;1.254722595;1.490320444;0;0.412448883;1.225030899;1.180779696;1.386807203;;1.022145132
1733;0.666293263;0.622210622;1.385232806;1.598776102;0;0.478024781;0.831803143;1.206018925;1.862334013;;0.961188184
1734;0.505327523;0;0.871307492;1.055570722;0;0.342202008;0.826610267;1.779839039;0.916526258;;0.699709256
1735;0.977801263;1.422144771;1.357013345;2.048648357;0;0.556750774;0.771969199;1.29081583;1.224619031;;1.072195841
1736;1.134837866;2.032558918;1.514617443;1.877246499;0;0.592575788;0.263143748;1.222996116;1.643244624;;1.142357889
1737;0.838927329;1.898436069;1.71631074;2.318320513;0;0.419589937;0.369417012;1.119385481;1.321026683;;1.111268196
1738;1.76099205;2.48123455;2.190093756;2.722450972;0;0.625561237;0.402439207;0.88069886;2.262052774;2.545391083;1.587091449
1739;1.962548971;2.806441069;2.541738272;3.302154303;0.899813652;0.74996841;0.363534719;0.748256445;2.433478355;2.24100256;1.804893675
1740;1.79223907;1.930463791;2.129667759;2.406452656;0.594589472;0.713760555;0.475131899;1.154189467;2.874125242;2.146611214;1.621723112
1741;1.230984092;0.848342478;1.769209504;2.086461306;0.604003787;0.657859147;0.76107049;1.255221009;2.647344112;1.598711729;1.345920765
1742;1.574420452;1.598065019;2.038119555;1.786105037;0.863255203;0.928659797;0.719387949;1.280916691;3.161592484;1.299490333;1.525001252
1743;1.277732968;1.45720315;2.009632349;0.405760735;0.702926993;0.788508534;0.800138056;0.962190211;2.380002975;0.97388953;1.17579855
1744;1.663406253;1.6391536;2.127430201;1.473795891;0.801760554;0.730538726;0.797606528;0.767574191;0.811621368;0.82457763;1.163746494
1745;1.224094391;1.493724942;2.152556896;1.505939007;1.245702624;0.960822403;0.87035048;0.704700768;0.89732331;0.901851475;1.19570663
1746;1.497687101;0.997379065;2.446598053;2.336838484;1.524923205;0.979561985;1.147676945;0.745477974;1.509566307;0.768665791;1.395437491
1747;1.315425396;0.737641752;2.012910366;1.9204458;1.426587105;0.897340357;1.041148782;0.816896558;1.672757149;0.911542475;1.275269574
1748;0.984524131;1.692225575;0.383416086;1.73575902;0.939328253;0.892737985;1.06578207;0.808605433;1.837252259;0.685973525;1.102560434
1749;1.736275077;1.732060194;2.281414032;2.260288239;0.924497604;0.957212329;0.513553083;1.12484026;1.777516961;0.84079808;1.414845586
1750;1.26990962;1.579802394;2.202882528;2.415904045;0.956741631;1.08335197;0.941515982;1.493657947;1.660877347;0.698764741;1.430340821
1751;1.271031141;0.867349267;1.715982676;1.74663341;1.087396145;0.647017002;0.730256557;1.332649946;0.816816628;0.733842313;1.094897509
1752;1.384421587;1.124514699;1.861195803;2.060161114;1.089667201;1.364977002;1.223467588;0.733988643;1.117813468;0.843464017;1.280367112
1753;1.233501673;1.678423047;2.197369337;3.022506237;1.456558585;1.847130179;1.686144352;0.747728705;1.220440984;0.981177211;1.607098031
1754;0.101453587;1.417892933;3.014799833;3.039948463;1.258598924;1.582851052;1.226800799;0.651408195;1.750601292;0.985036492;1.502939157
