year;CWTtanAPA06_;CWTtanAPA07_;CWTtanAPA08_;CWTtanAPA09_;CWTtanAPA10_;CWTtanAPA11_;CWTtanAPA13_;CWTtanAPA15_;CWTtanAPA17_;CWTtanAPA19_;aver
1697;0;0;0;1.792722225;;;;;;;0.448180556
1698;2.567276955;0;0;2.251586676;;;;;;;1.204715908
1699;2.682229996;0;0;2.641480446;;;;;;;1.33092761
1700;2.815011978;0;0;2.536236048;;;;;;;1.337812006
1701;2.693143368;0;0;2.394439936;;;;;;;1.271895826
1702;2.751136303;0;0;2.380493402;;;;;;;1.282907426
1703;2.983460665;0;0;2.974698067;;;;;;;1.489539683
1704;2.863322496;0;0;2.698243856;;;;;;;1.390391588
1705;2.885755062;0;0;2.672534704;0;0;2.499773741;;;;1.15115193
1706;2.920174837;0;2.342864752;2.627972364;0;0;2.426153183;;;;1.473880734
1707;3.237799168;0;2.741481781;3.246126413;0;0;2.231943369;;;;1.63676439
1708;2.908693552;0;2.298756838;2.723655939;0;0;2.408931971;;;;1.477148329
1709;3.035085201;0;2.502489328;3.057849407;0;0;2.36361742;;;;1.565577337
1710;2.795561075;0;2.980391264;2.970214367;0;0;2.39467597;;;;1.591548954
1711;3.204969883;0;3.653015852;3.448864222;0;0;2.286964655;;;;1.799116373
1712;2.602663517;0;3.123033047;2.881965876;0;3.509231806;2.132610559;;;;2.035643544
1713;2.866694212;0;3.216812849;3.176826239;0;3.612528086;1.905649781;;;;2.111215881
1714;3.406434536;0;4.247835636;3.433400631;0;5.067230225;2.722259283;;;;2.696737187
1715;3.104156494;0;3.993317604;3.269813299;0;4.204270363;2.813970327;;;;2.48364687
1716;2.839525461;0;3.202479124;2.885699987;0;3.657639503;2.491797209;;;;2.153877326
1717;3.21173358;0;4.09556818;3.439381838;0;3.715309381;2.499643564;;;;2.423090935
1718;2.839103699;0;3.430634499;3.177666903;0;3.147040844;2.440245152;;;;2.147813014
1719;2.937055111;0;3.054626465;3.100095272;0;3.065621376;2.666048288;;;;2.117635216
1720;3.551586151;0;3.825740099;3.292868614;0;3.251054764;2.907903433;;;;2.404164723
1721;3.044397593;0;4.315576553;0;0;3.181169987;2.566046238;0;3.776535511;;1.875969542
1722;3.308152676;0;4.678256989;3.836812258;0;3.226169825;2.801930904;0;2.745376348;;2.288522111
1723;3.176349401;0;4.763194084;3.564598322;0;3.164281845;3.548141241;0;2.659736633;;2.319589059
1724;3.470483303;0;3.799792767;3.692546368;0;3.396185637;5.005435944;0;2.791216373;;2.461740043
1725;3.440211296;2.979846478;5.208009243;3.561155081;0;3.640076399;2.855507851;0;3.150649071;;2.759495046
1726;3.529869318;2.876924038;4.945421219;3.664616585;0;3.741536856;2.939548016;0;3.055178404;;2.750343826
1727;3.206707954;2.833714724;3.167982817;3.263637781;0;3.280435085;3.176216602;0;3.262799978;;2.46572166
1728;3.344498873;2.81961894;2.838763952;3.311091185;0;3.244496346;3.684686184;0;3.254828453;;2.499775992
1729;3.670117855;2.800527811;3.411447048;0;0;3.493407249;3.283554792;2.667761087;3.088752508;;2.490618706
1730;3.478600264;2.778956175;4.26801157;2.942308903;0;3.531496525;3.010321856;2.463598728;2.727766275;;2.800117811
1731;0;3.221632957;3.199554682;3.070621252;0;3.042322397;3.41728282;2.511948824;2.731825829;;2.355020973
1732;4.413992882;2.62752533;3.181413889;3.150232315;0;3.384539604;3.217276096;2.868251562;3.13743329;;2.886740552
1733;4.207565784;2.496191502;3.063857794;2.862118721;0;3.325128794;2.818834782;2.953523636;3.452051878;;2.797696988
1734;4.450572014;0;2.983162403;2.971688747;0;3.355075598;3.083866119;2.593117476;3.030486345;;2.496440967
1735;3.816474199;2.824424982;2.892908335;2.936611176;0;3.12234354;2.795887947;2.570364475;3.028735876;;2.665305614
1736;3.783817291;2.738824129;2.916908503;3.183180571;0;3.317034006;2.555527687;2.713325977;2.915750742;;2.680485434
1737;3.90710783;2.990706921;2.915096045;3.274866104;0;3.385665894;2.666624069;2.692301273;3.006705046;;2.75989702
1738;3.925324202;3.337563276;3.237567425;3.469810009;0;3.481768131;2.752227783;2.482393742;3.118921041;2.625719786;2.843129539
1739;3.295625925;2.837264538;2.772423267;3.123555422;2.743974209;3.043454647;2.884338856;2.430895805;3.026344299;2.681101799;2.883897877
1740;3.810898304;2.729567051;2.949288368;3.407360077;2.592106819;3.372658491;2.727828979;2.886645555;3.036407232;2.668255806;3.018101668
1741;3.666344166;3.100585222;2.903424263;3.368726492;2.511043549;3.214052439;3.056047916;2.829730988;3.035115004;2.49121666;3.01762867
1742;3.867344856;2.942761183;2.996908426;3.269950151;2.295171738;2.960423231;2.896469355;2.877864838;2.844319105;2.521315575;2.947252846
1743;3.97319603;2.759437323;2.943252802;4.926904202;2.296353102;3.02746582;3.066987753;2.723093271;2.892024279;2.407503366;3.101621795
1744;3.820351124;3.002229691;3.099548817;4.027390003;2.317988873;2.880165339;2.872070074;2.6439569;3.301601887;2.402743578;3.036804628
1745;3.782958031;3.056864738;2.958311558;4.303803444;2.476488829;2.547588348;2.591037035;2.807182789;3.111374378;2.402327061;3.003793621
1746;3.876283407;2.954137087;3.013878107;4.29098177;2.430964708;2.565725088;2.947267056;2.65271163;3.262042522;2.320174217;3.031416559
1747;3.961257219;3.805886507;3.268554449;4.469204903;2.713544846;2.629302025;3.15773654;2.656138659;3.289850473;2.438879728;3.239035535
1748;3.678566456;3.507721663;3.673941851;4.265057564;2.427128553;2.499153852;2.90614152;2.692897797;3.1301651;2.254515648;3.103529
1749;3.988229752;3.220017433;3.142585516;4.097942352;2.270456314;2.658104897;3.14447999;2.783574581;3.363571405;2.208689451;3.087765169
1750;3.979572296;3.351929903;3.1030128;4.395610332;2.400839329;2.631543398;3.205800772;2.643023729;3.410758734;2.352555752;3.147464705
1751;3.658359289;3.217633963;2.773661137;4.167574883;2.40936017;3.537441492;3.479997158;2.968217134;3.260915518;2.350265741;3.182342649
1752;3.938085556;3.356838465;3.247636557;4.050781727;2.492029428;3.95148325;3.123268604;2.56102562;3.575893164;2.52964592;3.282668829
1753;3.85393405;3.479104519;3.045842886;3.779985428;2.316219807;4.121776104;3.056120157;2.700900078;3.570582151;2.596472502;3.252093768
1754;4.666505337;3.410339355;3.401248455;3.880680323;2.317063093;4.42132473;3.086331844;2.613561869;3.54274106;2.571719408;3.391151547
1755;4.249604225;0;3.460496664;4.369650841;2.524757385;4.090274334;3.242022514;2.555901289;0;2.755587339;2.724829459
1756;4.315759659;0;3.284596443;3.680720806;0;3.349890232;2.746310234;2.728525639;0;2.524775028;2.263057804
1757;3.519498587;4.031197548;3.248706579;0;2.422474861;3.794567108;2.895317316;2.640135765;4.023345947;2.84644866;2.942169237
1758;4.233231068;3.845345974;3.222423315;5.226327419;2.849853277;3.16948247;2.752213478;2.90997076;3.644064903;2.611403227;3.446431589
1759;3.587905884;3.932962656;3.366698742;4.154437542;2.398365021;4.312382221;3.07351613;2.630981207;3.163448095;2.563895941;3.318459344
1760;3.937213659;3.854287148;3.111100197;4.54813385;2.55980587;3.777966261;3.150471926;2.525433064;3.548037291;2.784097433;3.37965467
1761;3.84408927;4.226725101;3.417831659;4.472729683;2.332161188;3.536834955;3.120661974;2.453693628;3.223119259;3.005903959;3.363375068
1762;3.902019501;4.161971569;3.288144112;4.45554924;2.417745352;4.232596397;3.156214714;2.713232517;3.364956617;2.833512783;3.45259428
1763;3.901451588;4.548933506;2.892546415;4.076699734;2.41681695;-999;2.794964552;2.716617584;3.253368616;2.702674866;-96.96959262
1764;3.686305761;4.418420792;2.879564047;4.666509151;2.653535604;3.546382904;3.048700333;2.935779095;4.564743996;2.917699099;3.531764078
1765;3.198346615;4.684518337;3.340938091;4.078691959;2.472284079;3.542513609;2.762029171;2.956149578;3.766131401;3.262506247;3.406410909
1766;3.813006163;4.726481915;3.241733789;4.383393764;2.564793348;3.576103449;2.899054527;3.048363447;3.389796257;2.734366417;3.437709308
1767;3.704474449;4.364774227;3.021469831;4.211876392;2.649080992;3.10947299;3.310306311;2.758909702;3.299587727;2.844082832;3.327403545
1768;3.345965862;3.577502251;2.544629574;4.866616726;2.770357847;2.902825594;3.15109849;3.148089409;3.387526989;2.689873934;3.238448668
1769;4.148288727;3.735349417;3.21953845;4.583806515;2.812105656;4.010813713;3.55280304;2.661298752;3.614024401;2.726408958;3.506443763
1770;3.864326715;4.545470715;3.005283594;4.96108675;2.538245916;3.620498657;3.060767889;3.180528641;3.244719028;2.885177374;3.490610528
1771;3.504421949;0;2.727669001;4.826080322;2.521493912;3.302317619;3.441112757;2.590748787;3.052806377;2.640103102;2.860675383
1772;3.295535803;0;2.71914506;4.010163307;2.580289125;3.181191444;3.921701908;3.058351517;3.249105453;2.600048542;2.861553216
1773;3.852580309;0;3.102472782;4.129274845;2.4211936;3.4611063;3.042624712;2.671234131;3.235517979;2.602055311;2.851805997
1774;3.339395285;3.518300295;2.911444426;4.704211712;2.127264738;3.372832298;3.691480398;2.888769388;2.832030296;2.802222729;3.218795156
1775;3.382328987;3.980262995;2.911729574;4.052339554;2.074078798;3.352425814;3.627656698;2.838246346;2.463323355;2.348294735;3.103068686
1776;3.628372669;3.859071016;2.937189102;3.830010653;0;3.526776552;3.289128065;2.593319893;2.788286924;2.513528585;2.896568346
1777;3.849313736;4.186419964;3.409231901;4.01517868;0;3.513386011;3.077236176;3.150467157;2.691072702;3.236155987;3.112846231
1778;3.833166599;4.262692928;3.201751471;3.953166246;0;3.607625484;3.351145983;2.747375965;2.736893415;2.77934742;3.047316551
1779;3.77144742;4.348561764;3.269448996;3.918362141;0;3.47446084;2.987788439;2.476771832;2.832994699;2.86525631;2.994509244
1780;3.141606569;4.079250336;3.167788506;3.860449076;0;3.473818541;3.016547441;2.633503437;2.918735266;3.059104681;2.935080385
1781;3.228948593;3.780023813;3.180599213;3.688949108;0;3.478616714;2.96937561;2.629969358;2.919801712;2.901728868;2.877801299
1782;3.384138823;3.531283379;3.153414249;3.687870979;0;3.369169712;2.876135111;2.355955839;3.146454096;3.00959444;2.851401663
1783;2.707487583;2.708099365;2.669638872;3.291701555;0;2.787906408;2.923074722;2.207991362;3.037318468;3.004766941;2.533798528
