year;MLAAPA06_;MLAAPA07_;MLAAPA08_;MLAAPA09_;MLAAPA10_;MLAAPA11_;MLAAPA13_;MLAAPA15_;MLAAPA17_;MLAAPA19_;aver
1697;0;0;0;113.5057755;;;;;;;28.37644388
1698;214.0599213;0;0;150.4616699;;;;;;;91.1303978
1699;251.8409729;0;215.7565613;224.3407288;;;;;;;172.9845658
1700;310.3831482;0;226.6825562;267.8517456;;;;;;;201.2293625
1701;435.4508667;0;291.8577271;249.0671082;;;;;;;244.0939255
1702;449.6343079;0;293.0587158;270.3805542;;;;;;;253.2683945
1703;440.3892212;0;319.8791809;230.4144745;;;;;;;247.6707192
1704;471.4321289;0;378.5703735;288.7954102;;;;;;;284.6994782
1705;500.4813232;0;414.3591309;411.4353943;0;0;130.7459412;;;;208.1459699
1706;449.8839722;0;369.6708374;407.6173706;0;0;236.8495178;;;;209.1459569
1707;400.9057922;0;384.9114685;386.7768555;0;0;271.040802;;;;206.2335597
1708;429.0521545;0;423.369812;402.54953;0;0;270.8479004;;;;217.9741996
1709;358.5330811;0;371.4290771;359.3802795;0;0;355.7348022;;;;206.4396057
1710;379.5614319;0;320.3129272;372.3690186;0;0;341.554657;;;;201.9711478
1711;378.946991;0;358.5423889;430.3699036;0;0;362.3912659;;;;218.6072213
1712;376.7753906;0;347.7874756;456.5210876;0;424.4295959;292.8101501;;;;271.1891
1713;384.2713928;0;359.2768555;415.9281921;0;382.4281311;260.8403015;;;;257.5349819
1714;319.6976318;0;319.7702026;400.1422119;0;241.4124451;244.060257;;;;217.8689641
1715;419.5504761;0;355.2280884;422.6571045;0;390.8291626;336.2117004;;;;274.9252189
1716;471.984314;0;366.4850464;479.769989;0;382.0992126;246.4813232;;;;278.1171265
1717;358.5365601;0;347.5311584;440.9825134;0;310.055542;344.8030396;;;;257.4155448
1718;363.558075;0;358.7870789;471.903717;0;395.4182739;330.2045898;;;;274.2673907
1719;356.0654602;0;387.0588379;414.8205261;0;348.4069519;302.1619568;;;;258.3591047
1720;354.2518616;0;349.0412903;450.0249023;0;410.546936;340.5546875;;;;272.059954
1721;385.0030518;0;329.9702148;0;0;367.2524414;442.005127;0;176.1847382;;188.9350637
1722;333.65979;0;303.0362854;390.5221558;0;375.9092102;398.8239441;0;335.6407776;;237.5102403
1723;382.7684021;0;224.9365997;449.968811;0;435.178009;411.1575623;0;301.9549561;;245.1071489
1724;316.8345032;0;453.3851929;394.0169067;0;404.966095;163.0955658;0;329.8721313;;229.1300439
1725;394.7888184;300.2786865;295.8770447;354.5145874;0;399.3495789;400.6158142;0;288.9212341;;270.4828627
1726;374.6618347;297.0986633;292.1571655;438.0388794;0;369.7585449;351.8427429;0;326.4755859;;272.2259352
1727;407.2201843;285.7638855;427.5139465;448.2313843;0;449.2888794;420.3736267;0;300.2438965;;304.292867
1728;391.6473694;340.9772949;515.5834961;445.7922058;0;440.0131836;421.4145203;0;358.2790222;;323.7452325
1729;393.6477661;354.5822449;478.2103577;0;0;452.5915527;344.921875;171.4940643;368.1260376;;284.8415443
1730;382.6881409;376.8576355;398.8557739;469.1705017;0;442.8537903;383.8761597;184.7278137;386.7030334;;336.1925388
1731;0;331.6588745;457.0309753;547.664917;0;386.4249878;327.6895447;178.5856018;362.6365356;;287.9657152
1732;345.1117859;375.5740662;458.2624512;471.6203918;0;353.4266357;457.1010742;210.440155;394.9892273;;340.7250875
1733;296.5256958;375.9580688;449.7509155;496.8229065;0;389.9060059;426.7845764;192.5932465;355.2038879;;331.5050337
1734;318.6176147;0;439.3885498;482.4363403;0;348.4745483;415.3820496;289.8288574;419.8471069;;301.5527852
1735;438.2793579;333.2891541;504.0911255;542.6882935;0;420.5066223;443.9155884;269.0881348;419.8214111;;374.6310764
1736;406.4605408;351.5321655;465.3202515;491.2971802;0;394.2619934;278.1646423;278.0800476;440.902771;;345.113288
