year,MaxRWAPA06_,MaxRWAPA07_,MaxRWAPA08_,MaxRWAPA09_,MaxRWAPA10_,MaxRWAPA11_,MaxRWAPA13_,MaxRWAPA15_,MaxRWAPA17_,MaxRWAPA19_
1697,0,0,0,505.015625
1698,983.6484375,0,0,1249.203125
1699,1122.5703125,0,0,1418.9765625
1700,1278.9140625,0,0,1420.3046875
1701,1513.6171875,0,0,957.8671875
1702,1791.703125,0,0,973.5234375
1703,1720.3671875,0,0,834.65625
1704,1807.078125,0,0,874.9765625
1705,1831.7109375,0,0,1260.234375,0,0,1480.1171875
1706,2154.2578125,0,1810.3359375,1542.984375,0,0,1804.515625
1707,2444.84375,0,2609.546875,1751.640625,0,0,1372.234375
1708,1184.328125,0,1433.4453125,966.8828125,0,0,1459.2890625
1709,1017.625,0,699.6953125,756.890625,0,0,2089.390625
1710,1145.0546875,0,1230.5546875,1261.6171875,0,0,1081.3125
1711,1329.7890625,0,1675.234375,1848.984375,0,0,782.6875
1712,784.5390625,0,1408.09375,1360.109375,0,1051.5390625,459.1953125
1713,838.3671875,0,841.703125,1335.515625,0,1016.0234375,311.84375
1714,777.046875,0,925.9453125,1273.625,0,647.4140625,579.3828125
1715,871.8828125,0,1024.703125,1360.265625,0,732.046875,710.8984375
1716,747.875,0,820.78125,1224.453125,0,512.8359375,362.3125
1717,534.421875,0,801.8203125,1119.1484375,0,371.3046875,623.4609375
1718,621.9453125,0,937.296875,1664.15625,0,376.3515625,600.8203125
1719,587.8046875,0,775.1015625,1008.6171875,0,205.828125,558.0234375
1720,678.46875,0,764.2109375,1530.5078125,0,326.9921875,696.5234375
1721,653.1640625,0,677.7265625,0,0,238.09375,886.25,0,2144.828125
1722,688.3046875,0,655.546875,1488.3515625,0,265.09375,771.71875,0,533.7421875
1723,568.046875,0,480.234375,1295.2265625,0,306.2734375,1446.4453125,0,504.71875
1724,592.9921875,0,681.0546875,984.796875,0,300.2421875,627.6875,0,536.6796875
1725,770.5546875,3442.1953125,721.2109375,793.7265625,0,431.828125,620.2109375,0,504.6484375
1726,758.03125,1501.6484375,678.1875,1063.84375,0,386.8984375,367.421875,0,633.125
