year,MinRWAPA06_,MinRWAPA07_,MinRWAPA08_,MinRWAPA09_,MinRWAPA10_,MinRWAPA11_,MinRWAPA13_,MinRWAPA15_,MinRWAPA17_,MinRWAPA19_
1697,0,0,0,153.8671875
1698,-32.96875,0,0,1009.703125
1699,738.953125,0,0,1169.65625
1700,1112.0625,0,0,1315.4765625
1701,1365.65625,0,0,797.4765625
1702,1698.546875,0,0,880.1484375
1703,1604.3515625,0,0,730.5859375
1704,1710.859375,0,0,745.8125
1705,1613.9765625,0,0,1189.6796875,0,0,59.1015625
1706,2029.1328125,0,1748.578125,1360.609375,0,0,549.453125
1707,2423.546875,0,2518.4140625,1555.515625,0,0,1009.0625
1708,1101.8203125,0,1305.8984375,879.2734375,0,0,151.6015625
1709,884.328125,0,630.703125,609.125,0,0,1377.1015625
1710,1054.2265625,0,614.1328125,1163.4765625,0,0,847.890625
1711,1251.359375,0,1608.078125,1676.046875,0,0,696.2265625
1712,694.453125,0,1276.8984375,1246.9453125,0,769.375,317.171875
1713,762.203125,0,791.6015625,1225.1875,0,661.9609375,193.8046875
1714,692.1796875,0,843.4765625,1194.078125,0,554.2578125,350.75
1715,714.4296875,0,963.28125,1242.109375,0,570.96875,575.2734375
1716,683.625,0,747.3515625,1175.6015625,0,395.2421875,320.609375
1717,462.9765625,0,741.4140625,999.34375,0,293.453125,460.828125
1718,492.546875,0,776.8046875,1450.7265625,0,300.6171875,406.3046875
1719,492.3828125,0,698.1640625,911.84375,0,140.4375,402.71875
1720,535.6875,0,688.46875,1312.3359375,0,245.34375,433.328125
1721,513.671875,0,622.84375,0,0,165.34375,703.7734375,0,-102.9609375
1722,522.6796875,0,611.8046875,1295.078125,0,195.2421875,681.6875,0,142.40625
1723,430.765625,0,425.7109375,1245.9296875,0,236.1171875,1228.5703125,0,327.65625
1724,464.953125,0,641.1328125,851.0546875,0,252.6171875,-88.4765625,0,362.4140625
1725,682.0859375,2.9453125,672.8671875,662.0859375,0,366.4375,547.171875,0,393.8359375
1726,633.140625,1035.34375,604.671875,872.96875,0,322.390625,314.6015625,0,507.296875
1727,525.6484375,1147.8984375,663.4140625,966.625,0,304.6796875,618.7890625,0,694.234375
1728,595.46875,1325.78125,684.109375,728.5625,0,293.0625,679.5625,0,789.3203125
1729,802.1484375,1611.6328125,915.046875,0,0,370.7734375,448.0859375,-478.453125,726.9921875
1730,895.375,1412.3203125,890.453125,1395.3828125,0,395.6796875,352.4140625,138.5390625,552.5
1731,0,1314.4296875,713.828125,1021.109375,0,226.078125,353.3046875,35.0625,427.703125
1732,843.09375,1072.2734375,646.0703125,883.3828125,0,256.7265625,613.9453125,482.65625,595.8125
1733,591.8203125,1105.0234375,723.0390625,921.4609375,0,282.2734375,414.171875,298.4140625,1015.1015625
1734,438.125,0,432.9765625,588.671875,0,184.0859375,418.0234375,712.1875,987.171875
1735,638.5390625,137.53125,737.875,1047.8046875,0,311.3828125,361.8515625,649.5859375,883.921875
1736,674.7578125,1200.875,1028.0390625,992.5,0,362.703125,136.703125,605.1328125,931.1875
1737,672.703125,1078.2578125,834.203125,1171.8515625,0,276.6875,174.171875,570.34375,742.7421875
1738,1122.640625,1502.765625,1122.4375,1549.1875,0,395.6640625,194.671875,442.5546875,1238.046875,481.046875
1739,1086.9375,1439.8359375,1238.2265625,1646.2109375,555.6328125,412.3828125,181.6171875,392.5703125,1238.2890625,1019.0703125
1740,1052.84375,1030.859375,1085.6484375,1237.71875,-1311.171875,347.046875,192.015625,595.34375,1278.15625,935.140625
1741,725.3984375,588.046875,934.7890625,1067.5625,8.234375,366.8515625,375.0234375,697.640625,1315.765625,710.03125
1742,978.625,876.0703125,1014.671875,874.1015625,-23.578125,425.328125,359.3046875,620.2890625,1442.4609375,624.1796875
1743,904.3359375,801.921875,987,595.7421875,400.6328125,371.421875,393.046875,470.78125,1456.3671875,485.078125
1744,1042.3828125,1102.4765625,1115.1484375,1222.9921875,448.1640625,375.2734375,370.484375,413.8203125,439.890625,163.0390625
1745,794.703125,961.8515625,1022.65625,1088.234375,543.3671875,418.125,392.6484375,402.1953125,433.8671875,402.484375
