year,CD*BIL01_,CD*BIL02_,CD*BIL04_,CD*BIL06_,CD*BIL07_,CD*BIL10_,CD*BIL11_,CD*BIL13_,CD*BIL14_,CD*BIL16_
1835,0,0,0,1710.0579833984375
1836,0,0,0,1810.0137939453125
1837,0,0,0,2668.14453125
1838,0,0,0,2673.160888671875
1839,0,0,0,2655.650634765625
1840,0,0,0,2108.592529296875
1841,0,0,0,1846.657958984375,0,0,0,0,1056.327880859375
1842,0,0,0,1986.9466552734375,0,0,0,0,1700.1080322265625
1843,0,0,0,1961.364990234375,0,0,0,0,1587.452880859375
1844,0,2645.276611328125,1841.0196533203125,1544.0157470703125,0,0,0,0,1368.178466796875
1845,0,2078.38330078125,1914.4752197265625,1670.0186767578125,0,0,0,0,1653.5531005859375
1846,0,1872.88525390625,1710.2232666015625,1403.7738037109375,0,0,0,0,1652.3355712890625
1847,0,2121.31884765625,1780.6973876953125,1908.6234130859375,0,0,0,0,1909.537353515625
1848,0,2128.208984375,1730.0540771484375,1689.3853759765625,0,0,0,0,1893.985107421875
1849,0,2291.806396484375,1878.151123046875,1571.16259765625,0,0,0,0,1931.753662109375
1850,0,2213.28662109375,1805.8746337890625,1844.9176025390625,0,0,0,0,2107.313232421875
1851,0,2062.890625,1836.804931640625,1590.3193359375,0,0,0,2267.348388671875,2072.776123046875
1852,0,1825.9598388671875,1683.97314453125,1401.7476806640625,0,0,0,2886.996337890625,1798.3992919921875
1853,1856.316650390625,1473.16162109375,1481.40185546875,1515.1583251953125,1102.656494140625,0,0,2899.01806640625,1428.7916259765625,1633.2613525390625
1854,1840.5751953125,1733.2724609375,1736.2152099609375,1489.7452392578125,1895.693359375,0,0,3036.3134765625,1889.3236083984375,1976.402587890625
1855,1606.5203857421875,1689.624755859375,1524.06982421875,1224.526123046875,2167.178955078125,0,0,2759.802490234375,1659.0892333984375,1611.1661376953125
1856,2053.068359375,1943.521484375,1549.855712890625,1519.4820556640625,2439.365478515625,0,0,2968.318115234375,1935.54443359375,1678.3436279296875
1857,2099.757568359375,1832.6514892578125,1522.630126953125,1462.9197998046875,2566.2490234375,0,0,2823.233154296875,1713.5330810546875,1751.8001708984375
1858,1892.9871826171875,1493.6458740234375,1327.874755859375,1387.37890625,2141.068603515625,0,0,2299.639892578125,1591.75244140625,1514.77392578125
1859,2010.1041259765625,1712.1680908203125,1294.9215087890625,1768.3546142578125,2491.295166015625,0,0,2477.055419921875,1700.66162109375,1812.32177734375
1860,1700.9100341796875,1428.4112548828125,1336.6021728515625,1318.46337890625,1948.2918701171875,0,1597.2723388671875,2007.0518798828125,1337.567626953125,1480.3067626953125
1861,1472.9287109375,1130.048583984375,1206.88720703125,966.7168579101562,1804.9521484375,0,1306.877685546875,1626.4031982421875,1382.1912841796875,1335.107177734375
1862,1516.274169921875,1083.953369140625,1483.2779541015625,1265.8538818359375,1653.50048828125,0,1920.15966796875,1825.935546875,1396.6444091796875,1695.434814453125
