year,CNoBIL01_,CNoBIL02_,CNoBIL04_,CNoBIL06_,CNoBIL07_,CNoBIL10_,CNoBIL11_,CNoBIL13_,CNoBIL14_,CNoBIL16_
1835,0,0,0,4807
1836,0,0,0,4837
1837,0,0,0,4919
1838,0,0,0,4190
1839,0,0,0,7246
1840,0,0,0,5018
1841,0,0,0,2810,0,0,0,0,1039
1842,0,0,0,8156,0,0,0,0,4555
1843,0,0,0,4377,0,0,0,0,2560
1844,0,497,2265,3272,0,0,0,0,2887
1845,0,5662,10334,6936,0,0,0,0,6459
1846,0,2379,2548,2654,0,0,0,0,2888
1847,0,1757,4491,3339,0,0,0,0,4949
1848,0,2305,3001,3021,0,0,0,0,3521
1849,0,4473,5950,3640,0,0,0,0,6391
1850,0,6479,4661,3356,0,0,0,0,6291
1851,0,4798,4486,3405,0,0,0,1802,5862
1852,0,7139,4370,3246,0,0,0,5526,6137
1853,2394,5482,4124,3317,2386,0,0,3924,3652,2114
1854,7207,9459,5512,3847,6147,0,0,6625,5436,3987
1855,3765,5694,3389,2144,5174,0,0,4891,4397,2339
1856,689,3600,2808,1603,2511,0,0,5073,2613,879
1857,917,4313,2110,1926,1453,0,0,6656,3347,1515
1858,1682,5249,2990,2887,2316,0,0,7593,4529,3364
1859,2039,3205,1252,2120,2473,0,0,5828,2000,2177
1860,2420,2464,1916,2099,1358,0,2281,4865,1877,2300
1861,3168,2422,2713,2565,2790,0,3094,4830,2613,3520
1862,4756,1372,3175,2307,2163,0,3353,5578,1665,4748
1863,4848,2094,3913,2928,2504,0,3043,5219,2352,4466
1864,2924,1144,2206,1544,1139,0,2401,1883,1092,2192
1865,2432,1136,2979,1969,1810,500,2292,2504,1766,1929
1866,2880,1072,2629,2984,4640,971,1600,2815,3806,2596
1867,2266,1682,1763,1702,5053,1190,1409,3284,2336,1698
1868,2414,1569,1563,1414,4445,671,1767,2773,2109,2630
1869,2872,1863,1614,1152,3126,807,1940,2951,1873,1329
