year;CTABIL01_;CTABIL02_;CTABIL04_;CTABIL06_;CTABIL07_;CTABIL10_;CTABIL11_;CTABIL13_;CTABIL14_;CTABIL16_;aver
1835;0;0;0;0.590543509;;;;;;;0.147635877
1836;0;0;0;0.830657542;;;;;;;0.207664385
1837;0;0;0;0.750678241;;;;;;;0.18766956
1838;0;0;0;0.712882757;;;;;;;0.178220689
1839;0;0;0;1.214776635;;;;;;;0.303694159
1840;0;0;0;1.179802895;;;;;;;0.294950724
1841;0;0;0;0.700557232;0;0;0;0;0.188567415;;0.098791627
1842;0;0;0;1.968790293;0;0;0;0;0.808834016;;0.308624923
1843;0;0;0;0.965726674;0;0;0;0;0.526060164;;0.165754093
1844;0;0.045111947;0.328021497;0.812129736;0;0;0;0;0.548688471;;0.192661295
1845;0;1.110770941;2.389438391;1.933961272;0;0;0;0;1.437711;;0.7635424
1846;0;0.61834842;0.756628752;0.796885788;0;0;0;0;0.771234989;;0.327010883
1847;0;0.308738112;1.242828846;0.720363855;0;0;0;0;1.047764897;;0.368855079
1848;0;0.475687951;0.785937786;0.87837249;0;0;0;0;0.83107245;;0.330118964
1849;0;0.809035361;1.31091845;1.06123054;0;0;0;0;1.538014889;;0.524355471
1850;0;1.14481461;1.047893524;0.768840015;0;0;0;0;1.157282829;;0.457647887
1851;0;0.944399118;0.968075693;0.904699564;0;0;0;0.152414978;1.031164169;;0.444528169
1852;0;1.411258698;0.998923123;0.89743191;0;0;0;0.4712421;1.299710274;;0.564285123
1853;0.548616827;1.705333233;1.242047668;0.884747863;0.364315301;0;0;0.559850633;1.081840754;0.602112889;0.698886517
1854;1.896592379;2.775616169;1.361192465;0.983387589;0.738026321;0;0;0.855085254;0.985704541;0.860030591;1.045563531
1855;1.170552015;1.591854692;0.997035027;0.578372002;0.871037126;0;0;0.765443802;1.188461661;0.682389617;0.784514594
1856;0.109896146;0.731664181;0.687366962;0.377266794;0.343675166;0;0;0.683908761;0.460871965;0.213889316;0.360853929
1857;0.1594266;0.837528586;0.434977531;0.51601398;0.178575322;0;0;0.787971735;0.666913867;0.310392082;0.38917997
1858;0.374519587;1.62012589;0.989388108;0.858478367;0.417074144;0;0;1.373592138;1.241156578;1.037401319;0.791173613
1859;0.360240489;0.698591709;0.386938512;0.413528532;0.34494555;0;0;0.967816114;0.433440298;0.496132106;0.410163331
1860;0.619698286;0.802161098;0.673650682;0.671176851;0.26714927;0;0.464081347;1.147405624;0.606771708;0.713283956;0.596537882
1861;1.071981788;1.036991596;1.168396235;1.185988784;0.635159075;0;1.022167802;1.435664415;0.943864942;1.162442803;0.966265744
1862;1.348198891;0.421804249;0.947781801;0.695244789;0.53085351;0;0.753287852;1.394803286;0.495831251;1.254719257;0.784252489
1863;1.571439266;0.663234711;1.55786407;1.239552021;0.610050499;0;0.947704971;1.425822854;0.741801679;1.348756433;1.01062265
1864;0.933183014;0.301772237;0.702936053;0.405499399;0.296296209;0;0.484052986;0.453634113;0.296650976;0.551116347;0.442514133
1865;0.719432533;0.296845883;1.180287957;0.673963964;0.263762712;0.162410542;0.572202802;0.36327675;0.300895154;0.527822673;0.506090097
1866;0.855534971;0.329627842;0.927246988;1.025825858;0.649294794;0.442924887;0.357175559;0.400165439;1.053093672;0.662588179;0.670347819
1867;0.734232903;0.534783542;0.637058496;0.648934543;0.647597432;0.540880144;0.315005213;0.52747339;0.804212391;0.482654274;0.587283233
1868;0.657893896;0.551338494;0.557791829;0.6510517;0.93495369;0.306772202;0.467337877;0.543001115;0.739308238;0.80709964;0.621654868
1869;0.938790083;0.554124057;0.676146746;0.564611435;0.594790816;0.359156013;0.617325425;0.582177877;0.77626282;0.337382555;0.600076783
1870;1.714448094;0.73991847;1.076443672;0.959205389;0.88501215;0.745767415;0.682432771;1.317522645;0.988963306;1.07486999;1.01845839
1871;1.365934372;0.38290301;0.836460233;0.709925652;0.646670759;0.364941031;0.807918072;0.94460237;0.814706326;1.10010016;0.797416198
1872;1.00692153;0.252933949;0.692806065;0.518335462;0.615112424;0.25707078;0.726854503;1.076910257;0.491873413;0.836457431;0.647527581
1873;1.76949048;0.923972905;1.052133799;0.953383863;1.162976503;0.537597179;0.978471875;1.898610592;0.472587585;1.304177403;1.105340219
1874;1.474399328;0.447855711;1.287216544;0.537414789;0.643311381;0.697614074;1.318511724;1.540882707;0.238030925;0.838993192;0.902423038
1875;2.419900656;0.437839746;1.611976862;0.845827222;1.059033871;1.040417552;1.706763268;1.91950953;0.597749174;1.108837128;1.274785501
1876;2.078043222;0.648473322;1.297122478;0.646058202;1.178467274;0.793650329;1.770701647;1.234504104;0.467563421;0.61711216;1.073169616
1877;1.406794071;0.504438519;1.333829403;0.781241834;0.86966604;0.545304894;1.297504902;0.832340181;0.712517738;0.77214545;0.905578303
1878;1.099561095;0.612385392;1.558534145;0.715923071;1.029032588;0.455007136;0.903642297;0.750550389;0.714020669;0.832143724;0.867080051
1879;1.027840614;0.688020885;1.096923232;0.86695981;0.663851738;0.622648299;1.000936866;0.884353876;0.818153977;0.958765864;0.862845516
1880;2.119850397;0.800567985;2.208922148;1.095291018;0.757535338;0.804808676;1.785210848;1.501080155;1.184203029;1.121865511;1.337933511
1881;0.730073571;0.729733944;1.776808858;0.79386276;0.864870429;0.750774384;1.428832054;1.079429507;1.381811738;0.977397323;1.051359457
1882;0.892463684;0.708886325;1.201612115;0.500353575;0.506141663;0.814143717;0.992330015;0.692081809;0.812842667;0.682761788;0.780361736
1883;0.960093319;0.547644854;0.85693866;0.810289443;0.595493317;0.823930025;0.946303189;1.041841507;0.918162704;0.697199643;0.819789666
1884;1.397347569;0.640258431;1.363366842;0.877773881;0.816475809;0.814724803;1.209461451;1.168753386;1.081036925;0.80211854;1.017131764
1885;1.365679622;0.888433397;1.50870645;1.122710824;0.878435731;0.865585685;0.779901087;1.106544733;1.313322425;0.946257889;1.077557784
1886;0.927039325;0.285842746;0.524804354;0.479786634;0.531654298;0.777467251;0.562887073;0.634035289;0.524094939;0.527777493;0.57753894
1887;1.522141337;0.512073457;0.602253437;0.597095311;0.49617523;0.969601154;0.507614195;0.769975722;0.628074288;0.490582347;0.709558648
1888;2.161919594;0.646707773;1.016714215;0.794184208;0.690004885;1.457037807;0.755523384;1.429239392;1.117768407;0.726940513;1.079604018
1889;0.752182007;0.574054301;0.771472991;0.68130368;0.575140893;0.976267934;0.484294474;1.240520358;0.841561139;0.571303189;0.746810097
1890;0.739871383;0.336446255;0.59465009;0.349998236;0.571528733;0.660402596;0.364705682;0.580779076;0.348663777;0.428100437;0.497514626
1891;1.932076573;0.572825849;1.139453888;0.926496685;0.988699257;1.120791793;0.666237235;1.421410084;0.832094491;0.79960674;1.03996926
1892;1.469976425;0.299398243;1.079010129;0.630346477;0.827522576;1.028223634;0.484270394;1.042123318;0.68559289;0.437110841;0.798357493
1893;1.03746748;0.218888596;0.521406472;0.181031108;0.501688898;0.382621825;0.401286393;0.383777857;0.114022985;0.155096784;0.38972884
1894;2.02087307;0.598971307;2.922337055;0.666702688;1.105017662;1.234592199;0.811028063;1.38217926;0.241509721;0.595199525;1.157841055
1895;1.172292113;0.461678952;0.992502809;0.400263846;0.545304418;1.06509459;0.542737603;0.65660125;0.528880358;0.448513091;0.681386903
1896;0.937415004;0.262757063;0.891058087;0.298926502;0.464340955;0.590018749;0.445660561;0.333389521;0.297912061;0.420097977;0.494157648
1897;1.031020284;0.381223112;1.148052335;0.376621991;0.512750447;0.551544964;0.5734936;0.294389546;0.528224885;0.647040486;0.604436165
1898;1.541645646;0.630103886;1.206475019;0.487221122;0.794334948;0.829321325;0.640586793;0.510812402;0.905907035;0.914757431;0.846116561
1899;0.675841033;0.33767876;0.606054544;0.113227189;0.432203114;0.500747263;0.332068741;0.329193085;0.410820812;0.519916236;0.425775078
1900;1.87141335;0.757010221;1.107483983;0.302916139;0.546311796;0.8014099;0.77792567;0.703940988;0.502937555;1.107783914;0.847913352
1901;1.560844541;0.660884142;1.355592728;0.393190324;0.76394242;1.186170101;0.661393702;0.809509754;0.504229963;1.133268595;0.902902627
1902;2.697529078;1.017002106;2.529438734;0.468205363;1.21970582;1.324566722;0.811540723;1.241650581;1.0885396;1.530102253;1.392828098
1903;1.92231071;0.59751457;1.091930747;0.365861714;0.774872601;0.809274971;0.407379061;1.642718673;0.789418995;0.727869809;0.912915185
1904;1.513703823;0.984121382;1.431210279;0.420893371;0.795706868;0.87115258;0.79950273;1.373255014;1.255034208;0.960617065;1.040519732
1905;0.513196409;0.381529212;0.519263268;0.232255548;0.384799153;0.389116913;0.384414077;0.413702846;0.64847976;0.31591475;0.418267193
1906;1.113427401;0.746031821;0.804624498;0.474992633;0.73198539;0.750873625;0.629312396;0.790280342;0.958607912;0.684398234;0.768453425
1907;1.803163171;1.027000785;2.386620283;0.607445538;0.929095387;1.015950441;0.952709198;1.420601964;1.098437667;0.909009337;1.215003377
1908;1.108060122;0.868593991;1.322351694;0.341530025;0.389751643;0.577012777;0.686374664;1.017553091;0.850080848;0.613440871;0.777474973
1909;0.828181267;0.305693477;0.361855179;0.118575409;0.323125273;0.531350374;0.42439881;0.389184862;0.52986902;0.232991591;0.404522526
1910;1.245673537;0.470271051;0.671873689;0.183349684;0.592865229;0.495851934;0.507854819;0.554074347;0.68272084;0.454388738;0.585892387
1911;1.877499223;1.097228169;0.673534989;0.467713088;0.664431214;0.774301648;0.856590867;1.013480663;0.898485661;0.502910376;0.88261759
1912;1.513401151;0.907688498;1.137865663;0.294068694;0.766345203;0.720458806;0.811206758;0.68651098;1.008574128;0.636427879;0.848254776
1913;0.680236518;0.541339278;0.492774904;0.173650756;0.350436211;0.658605576;0.606585085;0.356185019;0.967445433;0.312889338;0.514014812
1914;1.992212653;1.290498018;1.250806451;0.701879919;0.660645545;0.885362864;1.109181523;1.029684544;1.458181739;0.36955303;1.074800628
1915;1.663966298;0.761614203;1.765049219;0.430537254;0.608043313;0.745580733;0.765329957;0.787539542;1.11187017;0.279353678;0.891888437
1916;2.034361124;1.16505754;1.783095837;0.460658729;0.592553914;0.629933298;1.140604615;1.121430635;1.27162385;0.510985672;1.071030521
1917;1.447767138;0.646869421;0.779594958;0.31867072;0.443980455;0.922183096;0.751176715;1.064506888;0.666251481;0.380102426;0.74211033
1918;1.719686389;0.857890368;1.100065589;0.478656292;0.496819943;0.833927333;0.942009807;1.395728827;1.498683691;0.552560508;0.987602875
1919;1.203931808;0.43815437;0.921325207;0.243020594;0.366137803;0.618437409;0.593433738;0.695519626;0.681040585;0.251197934;0.601219907
1920;1.339360237;0.556105137;1.115039229;0.255340695;0.510494709;0.4304474;0.707434416;0.802041173;0.974802673;0.481721491;0.717278716
1921;0.940539539;0.284822136;0.234077275;0.029766507;0.214054734;0.351339996;0.278731346;0.336506963;0.235446125;0.198802784;0.31040874
1922;1.601675868;0.599522948;0.638034165;0.295235783;0.527899146;0.584497333;0.500283659;0.944597423;0.958698034;0.301034123;0.695147848
1923;2.552492857;0.722168326;1.36174655;0.477102131;0.502403319;0.724433899;0.824925125;1.308089018;1.058019161;0.369545877;0.990092626
1924;2.269785643;0.761366427;1.704555869;0.53515774;0.674630404;0.674671471;0.897342443;1.251302481;0.916060209;0.720239401;1.040511209
1925;2.550379992;0.727488279;2.29232645;0.481618375;0.646571755;0.639904857;0.914755821;1.119286895;0.7179057;0.807771087;1.089800921
1926;1.622424245;0.495688915;1.281760573;0.351114661;0.499227166;0.700944722;0.839544892;0.785419583;0.560959458;0.49614796;0.763323218
1927;1.70989418;0.419243962;1.041967034;0.355803192;0.498399526;0.67729342;0.704049587;0.8774665;0.547067165;0.611374915;0.744255948
1928;2.031272173;0.350509971;0.901219785;0.485605955;0.669392943;0.835721731;0.723173738;1.102290988;0.564382792;0.551060081;0.821463016
1929;2.608546019;0.554045796;1.112827897;0.621857941;0.697145581;1.466190457;1.034416199;1.831905961;0.997732043;0.834729314;1.175939721
1930;2.115023613;0.501641393;0.688596666;0.73054868;0.849515557;0.923643589;0.920009613;1.930076241;0.769747972;0.734503448;1.016330677
1931;2.572809696;0.497331858;0.767967105;0.593854308;0.785502732;0.712277472;1.150903702;1.463856816;0.941784322;0.903223813;1.038951182
1932;3.003113508;0.462736458;0.926733494;0.716925442;0.703000546;0.69809407;0.999554992;1.989181876;0.921015739;1.055980682;1.147633681
1933;1.815440297;0.409229755;0.822731137;0.370873332;0.468895108;0.367861837;0.727998078;1.113498092;0.64574039;0.797917068;0.754018509
1934;0.899039924;0.299399346;0.423439175;0.241317302;0.328443974;0.283415616;0.588149488;0.780948997;0.350910276;0.524181962;0.471924606
1935;1.760805368;0.760712504;1.050031066;0.634389818;0.890824378;0.311060697;1.264652133;1.261558175;0.837607682;1.019607067;0.979124889
