year;CWABIL01_;CWABIL02_;CWABIL04_;CWABIL06_;CWABIL07_;CWABIL10_;CWABIL11_;CWABIL13_;CWABIL14_;CWABIL16_;aver
1835;0;0;0;160.8370667;;;;;;;40.20926666
1836;0;0;0;180.4143066;;;;;;;45.10357666
1837;0;0;0;155.2684326;;;;;;;38.81710815
1838;0;0;0;159.3138428;;;;;;;39.82846069
1839;0;0;0;164.6272278;;;;;;;41.15680695
1840;0;0;0;186.1958466;;;;;;;46.54896164
1841;0;0;0;192.858963;0;0;0;0;237.2657928;;47.79163954
1842;0;0;0;209.4345398;0;0;0;0;266.0178528;;52.82804362
1843;0;0;0;218.1150818;0;0;0;0;235.5636749;;50.40875075
1844;0;176.4137878;256.2235718;244.7606506;0;0;0;0;260.2088928;;104.1785448
1845;0;211.8427429;253.578476;242.2932739;0;0;0;0;256.1760864;;107.0989532
1846;0;198.1180878;231.0327148;226.3496399;0;0;0;0;245.8287506;;100.1476881
1847;0;209.7603607;237.0850525;230.869751;0;0;0;0;245.8886871;;102.6226501
1848;0;206.5576935;280.4182739;228.4854279;0;0;0;0;239.8780975;;106.1488325
1849;0;206.9464111;290.2421265;238.5786591;0;0;0;0;227.693512;;107.0511898
1850;0;239.7363129;255.8190613;235.2848053;0;0;0;0;231.8140564;;106.9615818
1851;0;244.9935303;298.399231;240.5891113;0;0;0;151.32901;256.6954651;;132.4451497
1852;0;282.6653137;316.9803772;292.8188782;-999;0;0;194.7155609;266.4421692;;39.40247769
1853;229.3291931;269.6409302;300.4553833;239.1279602;314.479126;0;0;163.4313049;279.7394409;222.1318817;201.833522
1854;222.117569;234.3949432;292.565155;267.3982849;267.7925415;0;0;167.7058105;255.309494;214.3413544;192.1625153
1855;221.4559784;245.6131287;284.2576904;299.3079529;240.9427948;0;0;176.7286987;259.6837158;193.4507904;192.144075
1856;211.9911194;259.1125793;334.5588379;317.6659241;236.1286011;0;0;178.9824677;281.6959229;220.4070892;204.0542542
1857;195.7482452;288.648407;333.8802795;307.4940796;224.4010468;0;0;214.0377808;291.3814392;232.6473389;208.8238617
1858;217.676712;281.7614136;317.2935181;282.8050232;241.0464172;0;0;228.3052673;290.9830322;241.5110626;210.1382446
1859;234.7467804;270.3510437;255.6424713;274.9602966;224.8660583;0;-999;208.309906;252.598465;210.2303162;93.27053375
1860;256.9672241;281.4804382;310.2179871;311.2604065;265.5997314;0;199.0612488;229.3200531;315.3194885;246.8896332;241.6116211
1861;240.0003662;328.8729858;302.6627808;318.8959351;249.6637573;0;250.2109985;243.1122131;285.1087952;264.7142334;248.3242065
1862;259.217926;281.4934082;299.278717;270.9101257;265.2092896;0;200.6189575;239.0934296;290.1626282;241.5450897;234.7529572
1863;235.7588348;278.1837463;299.668396;284.4442749;261.3587036;0;231.4716492;235.544281;283.4986267;246.2885437;235.6217056
1864;227.7902222;190.3269653;231.7825165;234.9536285;191.8704071;0;186.262619;163.5913391;235.9524689;209.7306213;187.2260788
1865;258.5303955;271.6716614;337.4772644;302.8646545;246.122879;452.5052185;226.9482422;253.922348;300.640564;246.8633423;289.754657
