year;CWTallBIL01_;CWTallBIL02_;CWTallBIL04_;CWTallBIL06_;CWTallBIL07_;CWTallBIL10_;CWTallBIL11_;CWTallBIL13_;CWTallBIL14_;CWTallBIL16_;aver
1835;0;0;0;2.640896559;;;;;;;0.66022414
1836;0;0;0;2.56986618;;;;;;;0.642466545
1837;0;0;0;2.320987463;;;;;;;0.580246866
1838;0;0;0;2.2713449;;;;;;;0.567836225
1839;0;0;0;2.425277472;;;;;;;0.606319368
1840;0;0;0;2.331025839;;;;;;;0.58275646
1841;0;0;0;2.381886005;0;0;0;0;3.384048223;;0.640659359
1842;0;0;0;2.530373573;0;0;0;0;3.571602106;;0.677997298
1843;0;0;0;2.711914539;0;0;0;0;3.18530345;;0.655246443
1844;0;3.375438452;3.867748022;3.009738684;0;0;0;0;3.575991154;;1.536546257
1845;0;2.934619665;3.194715261;2.822424173;0;0;0;0;3.213805676;;1.351729419
1846;0;2.390497446;2.549084425;2.653697491;0;0;0;0;2.828953981;;1.158025927
1847;0;3.049217939;2.786385059;2.98060894;0;0;0;0;3.214592457;;1.336756044
1848;0;2.730458975;3.288071871;2.576627493;0;0;0;0;2.882916451;;1.275341643
1849;0;3.0630548;3.684743404;2.796190977;0;0;0;0;2.866961479;;1.378994518
1850;0;3.397603989;3.426832914;3.137403011;0;0;0;0;3.236918926;;1.46652876
1851;0;3.360562325;3.804518461;2.968904972;0;0;0;2.944977283;3.498161793;;1.841902759
1852;0;4.057340145;4.037387848;3.703590155;0;0;0;3.583658695;3.559802771;;2.104642179
1853;2.954059362;2.893559933;3.263526678;3.072200537;4.552911282;0;0;2.597826958;3.089045048;2.533684015;2.495681381
1854;2.783307314;2.771812677;3.649358749;3.551913977;4.310671329;0;0;2.710247755;3.612516403;2.874835014;2.626466322
1855;2.590977907;2.972824097;3.31217432;3.649257183;3.682519674;0;0;2.692894697;3.038458586;2.211005688;2.415011215
1856;3.142021179;3.486640692;4.153697491;4.040198803;3.915588617;0;0;2.877598524;3.861049652;2.823016882;2.829981184
1857;2.904539585;3.907025814;4.476039886;3.731557369;3.738956928;0;0;3.4954741;4.090824604;3.21842742;2.956284571
1858;2.894804955;3.179118395;3.391466379;3.507651091;3.555809021;0;0;3.181850672;3.432839632;2.715969086;2.585950923
1859;3.476324558;3.595857382;2.827216864;3.856382847;3.69794488;0;-999;3.061398506;3.417869091;2.792365789;-97.22746401
1860;3.149035931;3.100087643;3.210430384;3.583666563;3.611434937;0;2.872683287;2.864253521;3.448857546;2.842978716;2.868342853
1861;2.574989319;2.88717103;2.860096455;2.89384532;3.283865452;0;2.61819768;2.636885881;2.89108634;2.817456961;2.546359444
1862;3.109276533;3.224950075;3.470470905;3.27226162;3.412770271;0;2.776420116;3.051856518;3.226596355;3.039726734;2.858432913
1863;2.606624365;3.191394329;2.974446297;2.812729836;3.294802189;0;2.543361902;2.653772116;3.118032217;2.702328682;2.589749193
1864;2.75632453;2.453756809;2.716340065;3.016720295;2.227600098;0;2.766598463;2.103341818;2.829529524;2.549123287;2.341933489
1865;3.117593288;3.360468626;3.383119583;3.392796993;3.717037916;4.455246925;2.887499332;3.854643583;4.355890751;2.939772606;3.54640696
1866;3.445578098;3.175615788;3.323432684;3.405863285;4.251597881;3.987276077;3.054733992;3.957259178;3.788679361;3.13941741;3.552945375
1867;3.11547327;3.303466797;3.322542667;3.672259808;4.658218861;3.824600458;3.238388062;3.888096809;3.492633104;3.461991787;3.597767162
1868;3.268045902;3.205724955;3.109697819;3.091630459;3.971868515;3.70952177;3.252495289;3.523670912;3.234767199;3.146802902;3.351422572
1869;3.071926355;3.409661055;3.244516373;3.315565109;3.940474987;3.617748737;3.020789385;3.48336792;3.437785864;3.127808094;3.366964388
1870;2.938084602;3.344653606;3.230056047;3.33775425;4.145305634;3.589622259;3.14347744;3.539165735;3.390743494;3.222784281;3.388164735
1871;2.933131218;3.338699818;3.237320185;3.391996622;3.911898136;3.360163689;3.015363932;3.408519983;3.118336678;3.090333462;3.280576372
1872;3.299213886;4.193437576;3.411728621;3.944167852;4.110746861;3.439165831;3.650061846;3.691504002;3.663260221;3.147801638;3.655108833
1873;3.431181192;3.808407545;3.565294266;3.806615353;3.941935778;3.898371458;3.377978325;3.487910032;3.44830966;3.135776043;3.590177965
1874;3.851739883;4.202242374;4.099280834;3.862348557;4.568944454;4.48306179;3.451411724;3.634003878;3.820141315;3.225590229;3.919876504
1875;3.17399931;3.353729248;3.140523434;2.853628874;3.5904603;3.650985479;2.770165443;3.159960747;3.146561146;2.763957024;3.1603971
1876;3.308735371;3.915879726;3.546625853;3.460103273;3.987097502;3.69052577;3.305422783;3.032283545;3.637881279;3.232866764;3.511742187
1877;2.998548508;3.778167248;3.619856834;3.151089907;4.04586935;3.471327305;3.311846256;2.802564859;3.417105913;3.060778379;3.365715456
1878;3.317715168;3.933139086;3.511511803;3.321801901;3.618326426;3.480260134;3.121631384;2.740167856;3.300928116;3.296286583;3.364176846
1879;3.697680712;4.271943569;3.726141691;3.27020216;3.986595869;3.637789011;3.469469547;2.918241978;3.438604832;3.626006603;3.604267597
1880;3.668120384;4.705993652;4.366762638;3.820071936;4.589470863;3.806921244;3.481875181;3.211364746;4.221304893;3.993073225;3.986495876
1881;5.154361248;4.114592552;3.879512787;3.26831913;4.256577015;3.380051136;3.208780289;2.995076895;3.147627115;3.309842825;3.671474099
1882;3.887904167;4.71261692;4.808030605;4.388268948;5.390057087;4.373287678;4.02775383;3.891432285;4.354067326;4.300647259;4.41340661
1883;3.858865261;3.464218855;3.863624573;3.159603596;3.638792038;3.691802263;3.097248554;3.32980299;3.603646994;3.390403986;3.509800911
1884;3.301479101;3.553254604;3.390853167;3.427731276;3.994915247;3.95294261;3.180937052;3.358685493;3.481776714;3.506087542;3.514866281
1885;3.2432971;2.954888344;3.032118797;3.107049465;3.60612464;3.686606884;3.383727074;3.353528738;3.198108912;3.307123661;3.287257361
1886;2.691887856;2.580892563;2.735871315;2.746103287;3.210789919;3.259000063;3.2845788;2.887133598;2.695870399;2.901954889;2.899408269
1887;3.873342276;3.761657238;3.232252836;3.209263563;3.474943161;4.15853548;4.23714304;3.7253232;3.75173521;3.184184313;3.660838032
1888;3.325205088;4.105342865;3.368183374;4.118385792;4.685799599;3.594486952;4.111590862;3.727080345;3.651296377;3.586015224;3.827338648
1889;5.500926495;3.489160538;3.236803532;3.527091503;4.308478355;3.70531249;4.007604122;3.284481525;3.756251335;3.581147432;3.839725733
1890;3.281584024;3.194880962;3.329950571;3.427831888;3.80074048;3.599719763;3.858017921;3.235442162;3.431202173;3.525276423;3.468464637
1891;3.233075142;3.398702145;3.470657587;4.500063896;4.329704285;3.61119628;3.516453266;3.268985987;3.744040489;3.882422447;3.695530152
1892;3.315635681;3.132828951;3.166531324;3.87164259;3.699718237;3.200718641;3.638676882;3.105902195;3.110862732;3.320463896;3.356298113
1893;3.223409176;3.05071187;3.279481411;3.508035183;3.510952234;3.683195114;3.582964182;3.704131603;3.554592609;3.267450809;3.436492419
1894;3.457754374;3.739886045;3.80597043;4.558194637;4.068929195;3.870055437;4.606987;3.958482504;5.017502785;3.601304054;4.068506646
1895;4.073512554;3.88250494;3.689285755;4.728323936;4.084465981;3.249279976;4.937001228;3.824884176;3.708845377;4.038404465;4.021650839
1896;3.298826218;2.746363401;3.076659203;3.963948965;3.105874062;3.293977022;3.737021923;3.250183105;3.495222092;3.402143717;3.337021971
1897;3.701206207;3.769088507;3.559087992;4.474725723;4.256042004;4.321103096;4.241922855;3.883234739;4.125659943;3.68119812;4.001326919
1898;3.519420862;3.606542349;3.460224628;4.070379257;4.179441929;4.292635918;4.246465683;3.638009548;3.324665546;3.733482122;3.807126784
1899;3.459946632;3.659830093;3.74912262;4.568272591;3.871600866;4.211884022;4.56960392;3.667755127;3.897407055;3.46543479;3.912085772
1900;3.67069149;3.464456081;3.598542213;4.409943581;4.289836407;4.799763203;4.427894115;4.031140327;3.969283104;3.512506008;4.017405653
1901;3.45386529;3.351313114;3.77717042;4.284435272;3.813166142;4.421135426;5.039138794;3.631783009;3.982544184;3.116121531;3.887067318
1902;3.962428331;3.566473246;4.062906265;4.534013271;4.449538708;5.153762341;4.824193001;4.472446918;4.44678688;3.238007545;4.271055651
1903;4.073982239;3.408684254;4.467411041;4.408038139;4.09779644;5.083755493;4.355607986;3.886389494;4.670163155;3.451124907;4.190295315
1904;3.633339882;4.012138844;4.046247959;4.187246799;4.082269192;4.200435162;3.655681133;3.408262253;4.011616707;3.403566122;3.864080405
1905;2.852675915;2.602995872;3.055095196;3.280120134;2.772567749;4.004201412;3.112900734;2.711787224;3.043896675;2.445190668;2.988143158
