year,CWTbaBIL01_,CWTbaBIL02_,CWTbaBIL04_,CWTbaBIL06_,CWTbaBIL07_,CWTbaBIL10_,CWTbaBIL11_,CWTbaBIL13_,CWTbaBIL14_,CWTbaBIL16_
1835,0,0,0,2.5040359497070312
1836,0,0,0,2.456800937652588
1837,0,0,0,2.2289421558380127
1838,0,0,0,2.2092509269714355
1839,0,0,0,2.358490228652954
1840,0,0,0,2.2485785484313965
1841,0,0,0,2.2580108642578125,0,0,0,0,3.231374740600586
1842,0,0,0,2.453913688659668,0,0,0,0,3.566206932067871
1843,0,0,0,2.52419376373291,0,0,0,0,3.0006895065307617
1844,0,3.0481209754943848,3.6261796951293945,2.7434699535369873,0,0,0,0,3.2613906860351562
1845,0,2.8614213466644287,3.2449421882629395,2.7290754318237305,0,0,0,0,3.0460901260375977
1846,0,2.231555700302124,2.472520351409912,2.4867682456970215,0,0,0,0,2.635575294494629
1847,0,2.7889211177825928,2.748931646347046,2.811656951904297,0,0,0,0,3.0874462127685547
1848,0,2.576385259628296,3.382476329803467,2.4626190662384033,0,0,0,0,2.729701042175293
1849,0,2.926687717437744,3.82698392868042,2.710151195526123,0,0,0,0,2.7721850872039795
1850,0,3.3499526977539062,3.3844168186187744,3.011523962020874,0,0,0,0,3.085452079772949
1851,0,3.2783238887786865,3.8881936073303223,2.9248344898223877,0,0,0,2.8829784393310547,3.360882520675659
1852,0,3.969198226928711,4.090638637542725,3.57720685005188,-999,0,0,3.5653185844421387,3.440875768661499
1853,2.8379597663879395,2.667781352996826,3.2365496158599854,2.9437150955200195,4.185574531555176,0,0,2.5546834468841553,2.870098114013672,2.368670701980591
1854,2.767385244369507,2.671588659286499,3.602956533432007,3.378885269165039,4.215941905975342,0,0,2.6806163787841797,3.484955072402954,2.730846881866455
1855,2.4457054138183594,2.756726026535034,3.2171008586883545,3.3821117877960205,3.5847296714782715,0,0,2.6163225173950195,2.844024181365967,2.028491258621216
1856,2.9522149562835693,3.3161182403564453,4.143812656402588,3.8472630977630615,3.883939743041992,0,0,2.8521149158477783,3.687818765640259,2.6297147274017334
1857,2.7131686210632324,3.7203972339630127,4.359200954437256,3.6009793281555176,3.6022708415985107,0,0,3.5672154426574707,3.883007526397705,2.989164352416992
1858,2.746696949005127,3.0485966205596924,3.304076910018921,3.388345241546631,3.493098735809326,0,0,3.1632747650146484,3.3378851413726807,2.633316993713379
1859,3.284538745880127,3.3487398624420166,2.659853219985962,3.6390700340270996,3.55290150642395,0,-999,3.0262558460235596,3.130321502685547,2.5666611194610596
1860,3.048107147216797,2.9132707118988037,3.078315258026123,3.442995309829712,3.501945972442627,0,2.798731565475464,2.866015911102295,3.308851957321167,2.688467025756836
1861,2.5596179962158203,2.7506368160247803,2.8638198375701904,2.8518786430358887,3.284848690032959,0,2.4741814136505127,2.621037721633911,2.864114284515381,2.6917757987976074
1862,2.9962246417999268,2.991124153137207,3.3840866088867188,3.0503501892089844,3.3121418952941895,0,2.5706334114074707,2.9485321044921875,2.9751429557800293,2.9024734497070312
1863,2.564551591873169,2.973668098449707,2.9870033264160156,2.742138385772705,3.2138795852661133,0,2.3705008029937744,2.57401442527771,2.993175983428955,2.6321020126342773
1864,2.533642053604126,2.1559946537017822,2.4961788654327393,2.7463722229003906,2.04244065284729,0,2.5432848930358887,1.9069960117340088,2.5380024909973145,2.304279088973999
1865,2.977665662765503,3.1630539894104004,3.3566243648529053,3.262748956680298,3.4762017726898193,4.237144947052002,2.735593557357788,3.745788812637329,4.223370552062988,2.793126106262207
1866,3.283479928970337,2.940723180770874,3.2296042442321777,3.332545518875122,4.146951675415039,3.821505308151245,2.876399278640747,3.7884740829467773,3.7110579013824463,3.0479094982147217
1867,2.8914120197296143,3.168891668319702,3.162046194076538,3.539196491241455,4.499190807342529,3.670271873474121,3.128664970397949,3.779855966567993,3.4515585899353027,3.298290491104126
1868,3.011876344680786,3.0056698322296143,2.9289538860321045,2.945835590362549,3.822848320007324,3.568026542663574,3.1473422050476074,3.387298583984375,3.1232528686523438,3.008009195327759
1869,2.8825628757476807,3.170931339263916,3.1489906311035156,3.171321392059326,3.753164052963257,3.440358877182007,2.9302732944488525,3.3765575885772705,3.3255882263183594,2.8913583755493164
1870,2.848443031311035,3.226905107498169,3.1106321811676025,3.2585320472717285,3.9433181285858154,3.492154836654663,3.0418105125427246,3.4216227531433105,3.3118698596954346,3.092228412628174
1871,2.810436725616455,3.191476821899414,3.1348414421081543,3.2380099296569824,3.695124626159668,3.24180269241333,2.9130373001098633,3.271832227706909,3.051373243331909,2.961785078048706
1872,3.148174524307251,4.062294006347656,3.3076863288879395,3.755725145339966,4.011091709136963,3.2967493534088135,3.5287864208221436,3.630917549133301,3.535668134689331,3.0060558319091797
1873,3.3600852489471436,3.6989080905914307,3.5187392234802246,3.675647497177124,3.8634095191955566,3.9655368328094482,3.1943817138671875,3.4411189556121826,3.253868818283081,3.0376577377319336
1874,3.8049204349517822,4.067009449005127,4.160933017730713,3.634611129760742,4.476298809051514,4.543395519256592,3.286555528640747,3.5583884716033936,3.573870897293091,3.161346673965454
1875,3.1093833446502686,3.238938093185425,3.16214919090271,2.704724073410034,3.561870813369751,3.6307625770568848,2.6329777240753174,3.0806992053985596,3.0055618286132812,2.6811447143554688
