year,CWTleBIL01_,CWTleBIL02_,CWTleBIL04_,CWTleBIL06_,CWTleBIL07_,CWTleBIL10_,CWTleBIL11_,CWTleBIL13_,CWTleBIL14_,CWTleBIL16_
1835,0,0,0,2.790728807449341
1836,0,0,0,2.7110555171966553
1837,0,0,0,2.4376161098480225
1838,0,0,0,2.385857582092285
1839,0,0,0,2.5300943851470947
1840,0,0,0,2.448477029800415
1841,0,0,0,2.486499071121216,0,0,0,0,3.579293727874756
1842,0,0,0,2.6338353157043457,0,0,0,0,3.6583139896392822
1843,0,0,0,2.9138262271881104,0,0,0,0,3.330181837081909
1844,0,3.550071954727173,4.027906894683838,3.2291512489318848,0,0,0,0,3.735349416732788
1845,0,3.0270683765411377,3.1927542686462402,2.916402578353882,0,0,0,0,3.3889312744140625
1846,0,2.5403122901916504,2.645146131515503,2.8320205211639404,0,0,0,0,2.972235918045044
1847,0,3.3291237354278564,2.8205533027648926,3.189213275909424,0,0,0,0,3.3643360137939453
1848,0,2.9072391986846924,3.2216837406158447,2.7197680473327637,0,0,0,0,3.0305309295654297
1849,0,3.227341413497925,3.5987746715545654,2.917943000793457,0,0,0,0,2.973365068435669
1850,0,3.514406442642212,3.4645206928253174,3.302337646484375,0,0,0,0,3.36668062210083
1851,0,3.5277798175811768,3.802060127258301,3.0546391010284424,0,0,0,3.049574613571167,3.6609697341918945
1852,0,4.1610260009765625,4.006239891052246,3.87060284614563,-999,0,0,3.696345806121826,3.626490831375122
1853,3.0944554805755615,3.1614177227020264,3.3963398933410645,3.2354724407196045,5.030185222625732,0,0,2.705220937728882,3.3358020782470703,2.7166125774383545
1854,2.835561513900757,2.910061836242676,3.805229663848877,3.796318292617798,4.497138977050781,0,0,2.7916440963745117,3.7683558464050293,3.0556211471557617
1855,2.6962690353393555,3.1818087100982666,3.3660454750061035,3.8010830879211426,3.8591434955596924,0,0,2.87288236618042,3.229386329650879,2.328226089477539
1856,3.3362855911254883,3.703371286392212,4.124479293823242,4.2976555824279785,4.073989391326904,0,0,2.9870524406433105,4.126542568206787,2.9838831424713135
1857,3.117586851119995,4.100757122039795,4.544180393218994,3.875065803527832,3.991793632507324,0,0,3.5210790634155273,4.257994174957275,3.3724353313446045
1858,2.9998552799224854,3.3325798511505127,3.416534900665283,3.7104930877685547,3.7419745922088623,0,0,3.281297206878662,3.546499013900757,2.791469097137451
1859,3.6847569942474365,3.859227418899536,2.9303901195526123,4.087734699249268,3.890418529510498,0,-999,3.1704068183898926,3.664463996887207,2.9371910095214844
1860,3.2051970958709717,3.227553367614746,3.3717920780181885,3.75606107711792,3.781146287918091,0,2.9774792194366455,2.9362943172454834,3.5131659507751465,2.9340946674346924
1861,2.615384101867676,3.042011260986328,2.874190330505371,2.8904311656951904,3.316493272781372,0,2.7482008934020996,2.678943395614624,2.933983087539673,2.8983378410339355
1862,3.242190361022949,3.422807455062866,3.668790340423584,3.549008369445801,3.5366392135620117,0,2.9926366806030273,3.243941307067871,3.448560953140259,3.156791925430298
1863,2.6733944416046143,3.367304801940918,3.0165345668792725,2.9081687927246094,3.3893136978149414,0,2.7550814151763916,2.7886948585510254,3.294060468673706,2.7775847911834717
1864,2.8524937629699707,2.728067398071289,2.9116225242614746,3.2671356201171875,2.4073400497436523,0,2.937268018722534,2.359297037124634,3.015310525894165,2.77522873878479
1865,3.26218581199646,3.5224881172180176,3.4114274978637695,3.5110998153686523,3.9617977142333984,4.729459762573242,3.0555636882781982,4.118354320526123,4.436739444732666,2.9789979457855225
1866,3.628786325454712,3.3647091388702393,3.420820474624634,3.4430458545684814,4.39116907119751,4.156194686889648,3.2516696453094482,4.2779998779296875,3.8683197498321533,3.2563676834106445
