year,CWTpiBIL01_,CWTpiBIL02_,CWTpiBIL04_,CWTpiBIL06_,CWTpiBIL07_,CWTpiBIL10_,CWTpiBIL11_,CWTpiBIL13_,CWTpiBIL14_,CWTpiBIL16_
1835,0,0,0,2.4811954498291016
1836,0,0,0,2.457970380783081
1837,0,0,0,2.2384860515594482
1838,0,0,0,2.2044103145599365
1839,0,0,0,2.3590633869171143
1840,0,0,0,2.250091075897217
1841,0,0,0,2.2409543991088867,0,0,0,0,3.2228055000305176
1842,0,0,0,2.4662117958068848,0,0,0,0,3.561021566390991
1843,0,0,0,2.516538381576538,0,0,0,0,3.009617805480957
1844,0,3.101541757583618,3.6588921546936035,2.7825934886932373,0,0,0,0,3.2564737796783447
1845,0,2.850759744644165,3.2329022884368896,2.73736834526062,0,0,0,0,3.0743815898895264
1846,0,2.238398790359497,2.4795806407928467,2.475505828857422,0,0,0,0,2.657191276550293
1847,0,2.773538112640381,2.741936683654785,2.799725294113159,0,0,0,0,3.067042350769043
1848,0,2.5735957622528076,3.3776912689208984,2.465812921524048,0,0,0,0,2.7380969524383545
1849,0,2.9379491806030273,3.8498895168304443,2.7031049728393555,0,0,0,0,2.7799019813537598
1850,0,3.349757432937622,3.337991237640381,3.0127980709075928,0,0,0,0,3.0805020332336426
1851,0,3.2828216552734375,3.858332872390747,2.918395519256592,0,0,0,2.900442361831665,3.360414981842041
1852,0,3.9678821563720703,4.069350719451904,3.57069993019104,-999,0,0,3.593417167663574,3.461392641067505
1853,2.8110721111297607,2.6677684783935547,3.237515687942505,2.9419431686401367,4.182627201080322,0,0,2.5578417778015137,2.8791110515594482,2.3649356365203857
1854,2.7637319564819336,2.6711907386779785,3.5946974754333496,3.3715298175811768,4.2028093338012695,0,0,2.697465658187866,3.4773778915405273,2.709216594696045
1855,2.4549427032470703,2.7629923820495605,3.2087929248809814,3.411485195159912,3.5522408485412598,0,0,2.6101372241973877,2.8499741554260254,2.0412395000457764
1856,2.89286470413208,3.322589874267578,4.072993278503418,3.7800469398498535,3.87288498878479,0,0,2.8528337478637695,3.6724495887756348,2.5425190925598145
1857,2.7070865631103516,3.7081964015960693,4.3215718269348145,3.5764834880828857,3.589670181274414,0,0,3.5948634147644043,3.9055678844451904,2.938739061355591
1858,2.750939130783081,3.036357879638672,3.2847542762756348,3.4081616401672363,3.4570870399475098,0,0,3.1679155826568604,3.339279890060425,2.6145098209381104
1859,3.2285072803497314,3.3421921730041504,2.597119092941284,3.6506755352020264,3.544146776199341,0,-999,3.034898519515991,3.1249818801879883,2.5489163398742676
1860,3.0563488006591797,2.9192495346069336,3.096529006958008,3.4407155513763428,3.502310037612915,0,2.7745048999786377,2.8667869567871094,3.3168811798095703,2.6751394271850586
1861,2.5352084636688232,2.7584638595581055,2.8527517318725586,2.8477303981781006,3.2700963020324707,0,2.4606220722198486,2.5951550006866455,2.876952648162842,2.6641392707824707
1862,2.9592344760894775,2.9766502380371094,3.40378475189209,3.0317108631134033,3.304152488708496,0,2.5627546310424805,2.948704242706299,2.9327149391174316,2.8945693969726562
