year,CWTradBIL01_,CWTradBIL02_,CWTradBIL04_,CWTradBIL06_,CWTradBIL07_,CWTradBIL10_,CWTradBIL11_,CWTradBIL13_,CWTradBIL14_,CWTradBIL16_
1835,0,0,0,2.786278486251831
1836,0,0,0,2.690960645675659
1837,0,0,0,2.418905735015869
1838,0,0,0,2.35597562789917
1839,0,0,0,2.5167911052703857
1840,0,0,0,2.429741859436035
1841,0,0,0,2.5104892253875732,0,0,0,0,3.460606336593628
1842,0,0,0,2.619960069656372,0,0,0,0,3.6329848766326904
1843,0,0,0,2.905308485031128,0,0,0,0,3.320711612701416
1844,0,3.638925790786743,4.034849166870117,3.2203726768493652,0,0,0,0,3.7646913528442383
1845,0,3.0174572467803955,3.169975757598877,2.920867681503296,0,0,0,0,3.3594202995300293
1846,0,2.538547992706299,2.6358697414398193,2.8162550926208496,0,0,0,0,2.9954023361206055
1847,0,3.3221285343170166,2.813946008682251,3.1790575981140137,0,0,0,0,3.3560667037963867
1848,0,2.8911287784576416,3.2200253009796143,2.7103874683380127,0,0,0,0,3.043790102005005
1849,0,3.2122552394866943,3.577230930328369,2.906543731689453,0,0,0,0,2.969799041748047
1850,0,3.468223810195923,3.463244915008545,3.280564308166504,0,0,0,0,3.3876020908355713
1851,0,3.4663519859313965,3.7799859046936035,3.0391616821289062,0,0,0,2.9992196559906006,3.6475002765655518
1852,0,4.135387897491455,4.003226280212402,3.8452584743499756,-999,0,0,3.627884864807129,3.6319947242736816
1853,3.079946756362915,3.123692035675049,3.3345887660980225,3.216143846511841,5.002889633178711,0,0,2.664362668991089,3.3117904663085938,2.6984362602233887
1854,2.812743902206421,2.8887548446655273,3.7278096675872803,3.7468345165252686,4.452507972717285,0,0,2.756970167160034,3.763292074203491,3.030235767364502
1855,2.6719157695770264,3.1483418941497803,3.3611884117126465,3.767756223678589,3.817917823791504,0,0,2.8118152618408203,3.2052719593048096,2.3368496894836426
1856,3.385796070098877,3.674438714981079,4.136466026306152,4.270339488983154,4.024552822113037,0,0,2.9409444332122803,4.084153652191162,3.024655342102051
1857,3.12554669380188,4.100737571716309,4.568359375,3.8736398220062256,3.951287031173706,0,0,3.4684104919433594,4.274268627166748,3.404301166534424
1858,2.994619131088257,3.305426836013794,3.4496397972106934,3.6683781147003174,3.685032367706299,0,0,3.2315549850463867,3.5385591983795166,2.8117401599884033
1859,3.6705734729766846,3.8311262130737305,2.9224071502685547,4.084377765655518,3.8867716789245605,0,-999,3.1298470497131348,3.656757354736328,2.998042345046997
1860,3.2049548625946045,3.2275238037109375,3.345618486404419,3.7297685146331787,3.765261650085449,0,2.9725141525268555,2.905440330505371,3.534503936767578,2.9749019145965576
1861,2.5991339683532715,3.0188546180725098,2.87388277053833,2.921825885772705,3.315985679626465,0,2.748349666595459,2.673520803451538,2.9249918460845947,2.925407648086548
1862,3.2405941486358643,3.4763436317443848,3.606740713119507,3.524752378463745,3.526796579360962,0,2.9868264198303223,3.1933906078338623,3.4486148357391357,3.1720449924468994
1863,2.6642277240753174,3.393373727798462,2.9921212196350098,2.8785247802734375,3.398793935775757,0,2.7151877880096436,2.755359649658203,3.277547836303711,2.7693209648132324
1864,2.8769447803497314,2.707968235015869,2.917890787124634,3.2704074382781982,2.389629364013672,0,2.962658643722534,2.302764892578125,3.031724691390991,2.750720977783203
1865,3.2592051029205322,3.520082473754883,3.43353009223938,3.50093412399292,3.980854034423828,4.696601867675781,3.038389205932617,4.05588960647583,4.499142169952393,3.011573076248169
1866,3.636141061782837,3.353266477584839,3.4358150959014893,3.4623594284057617,4.360040664672852,4.110015392303467,3.2541022300720215,4.192408084869385,3.883711576461792,3.2504477500915527
1867,3.267439126968384,3.366286277770996,3.42630672454834,3.6936256885528564,4.743434906005859,3.9230825901031494,3.3660173416137695,4.057188987731934,3.454009771347046,3.509381055831909
1868,3.511270523071289,3.3314473628997803,3.2767581939697266,3.1713509559631348,4.032917022705078,3.806802272796631,3.3930957317352295,3.7235116958618164,3.3056232929229736,3.264209508895874
1869,3.2310681343078613,3.614696502685547,3.3351168632507324,3.39467453956604,4.124004364013672,3.7281994819641113,3.150219202041626,3.646646499633789,3.518308639526367,3.3332622051239014
1870,3.0097298622131348,3.412243366241455,3.3330135345458984,3.389376640319824,4.244105815887451,3.622913360595703,3.262784004211426,3.6823480129241943,3.4302988052368164,3.2459564208984375
1871,3.025186777114868,3.4726643562316895,3.3207650184631348,3.488220453262329,4.073366641998291,3.3421385288238525,3.139526844024658,3.584689140319824,3.1755073070526123,3.169003486633301
1872,3.4506239891052246,4.377948760986328,3.5140810012817383,4.095622539520264,4.241794586181641,3.4696218967437744,3.789865493774414,3.809476852416992,3.750380277633667,3.2180802822113037
1873,3.516118288040161,3.9456253051757812,3.602663278579712,3.9107842445373535,4.048316955566406,3.7214150428771973,3.574101448059082,3.5771102905273438,3.6123499870300293,3.2250561714172363
1874,3.9168484210968018,4.334578514099121,4.099520206451416,4.124264240264893,4.715848922729492,4.478461742401123,3.647125005722046,3.7552027702331543,4.0370941162109375,3.303891181945801
1875,3.242642879486084,3.4916536808013916,3.149169445037842,3.0084333419799805,3.6607284545898438,3.746384382247925,2.9099762439727783,3.271714210510254,3.3109781742095947,2.83852219581604
1876,3.4180333614349365,3.9966230392456055,3.5276596546173096,3.6561174392700195,4.083492755889893,3.765347719192505,3.4652795791625977,3.215160846710205,3.715973138809204,3.33939790725708
1877,3.0561084747314453,3.8603761196136475,3.581742286682129,3.2952327728271484,4.132086753845215,3.512575149536133,3.5724360942840576,2.9966447353363037,3.5099732875823975,3.0773813724517822
1878,3.4668169021606445,4.129553318023682,3.5487794876098633,3.471022844314575,3.714724540710449,3.5317625999450684,3.345738649368286,2.9386892318725586,3.3781898021698,3.4411656856536865
1879,3.904761791229248,4.458956241607666,3.7859394550323486,3.407562255859375,4.138999938964844,3.680189847946167,3.6282825469970703,3.086517572402954,3.499793767929077,3.7614471912384033
1880,3.75431227684021,4.7642130851745605,4.257777214050293,3.9835364818573,4.650107383728027,3.82985520362854,3.644437074661255,3.3272545337677,4.289968013763428,4.033873558044434
1881,5.261788368225098,4.286072731018066,3.832125186920166,3.452387809753418,4.439825057983398,3.4013564586639404,3.345642566680908,3.1530730724334717,3.1639387607574463,3.2836127281188965
1882,4.006272315979004,4.82934045791626,4.6583051681518555,4.62063455581665,5.480599880218506,4.296841144561768,4.232470512390137,4.038527965545654,4.336673259735107,4.409189701080322
1883,3.9561989307403564,3.619401454925537,3.94539475440979,3.2800207138061523,3.8109958171844482,3.8607964515686035,3.27843976020813,3.5362319946289062,3.7369282245635986,3.4591667652130127
1884,3.442237377166748,3.7601053714752197,3.416473865509033,3.5691559314727783,4.077138900756836,4.150863170623779,3.3088104724884033,3.5271191596984863,3.4302945137023926,3.607145309448242
1885,3.3977560997009277,3.022456407546997,3.047816276550293,3.1899828910827637,3.6652543544769287,3.8952219486236572,3.500133752822876,3.5386438369750977,3.2726941108703613,3.38374924659729
1886,2.889955997467041,2.8072445392608643,2.9513514041900635,2.9697670936584473,3.3729944229125977,3.460829257965088,3.5076851844787598,3.1346702575683594,2.8742363452911377,3.114152431488037
1887,4.091667175292969,3.993849992752075,3.40122389793396,3.4499120712280273,3.641188383102417,4.3391265869140625,4.527104377746582,3.9312689304351807,3.8469650745391846,3.4356164932250977
1888,3.3696682453155518,4.300629615783691,3.4255969524383545,4.2650017738342285,4.726542949676514,3.664238929748535,4.298280715942383,3.870460271835327,3.5409481525421143,3.5804176330566406
1889,5.653512001037598,3.655590534210205,3.3557705879211426,3.677424907684326,4.5584306716918945,3.8431906700134277,4.200253963470459,3.4754483699798584,3.773742914199829,3.5755064487457275
1890,3.4730238914489746,3.3887364864349365,3.469630241394043,3.623122215270996,3.9489667415618896,3.8543927669525146,4.196105003356934,3.4524011611938477,3.4836034774780273,3.6284828186035156
1891,3.3311474323272705,3.6589317321777344,3.5068578720092773,4.531648635864258,4.452240467071533,3.7636613845825195,3.7155556678771973,3.40812349319458,3.7787177562713623,3.8949637413024902
1892,3.456214427947998,3.4413583278656006,3.2818052768707275,4.042605876922607,3.8725669384002686,3.388441562652588,3.9222559928894043,3.317444086074829,3.177353620529175,3.4537017345428467
1893,3.3385305404663086,3.3949790000915527,3.423485517501831,3.774630069732666,3.641343593597412,3.9964020252227783,3.836003065109253,3.986933469772339,3.8004865646362305,3.449244737625122
1894,3.5541088581085205,3.9833199977874756,3.7437078952789307,4.6772637367248535,4.13111686706543,4.058245658874512,4.757844924926758,4.12315559387207,5.290835380554199,3.6045448780059814
1895,4.262275695800781,4.159069538116455,3.8403797149658203,4.881341457366943,4.2904181480407715,3.4860050678253174,5.263430595397949,4.149437427520752,3.6891610622406006,4.0577592849731445
1896,3.429849863052368,2.9533562660217285,3.2063918113708496,4.027232646942139,3.2696404457092285,3.56935977935791,3.921877145767212,3.523271083831787,3.6974282264709473,3.520235061645508
1897,3.8268990516662598,4.00833797454834,3.6419003009796143,4.692038059234619,4.354915142059326,4.4413042068481445,4.41569709777832,4.220887184143066,4.209973335266113,3.78314471244812
1898,3.563631534576416,3.8376002311706543,3.5656089782714844,4.033054351806641,4.3989458084106445,4.431386947631836,4.4631476402282715,3.910515308380127,3.354599952697754,3.6339125633239746
1899,3.6115312576293945,3.918283462524414,3.8419222831726074,4.791128158569336,4.091458320617676,4.353512287139893,4.841253757476807,4.03134822845459,3.979785919189453,3.6630523204803467
1900,3.787081003189087,3.635035514831543,3.627730131149292,4.433437347412109,4.472712993621826,4.750199317932129,4.605017185211182,4.296886920928955,3.999549150466919,3.704644203186035
1901,3.5402510166168213,3.5839381217956543,3.816347360610962,4.392770767211914,3.9765522480010986,4.483418941497803,5.128221035003662,3.8727633953094482,4.095719814300537,3.2413828372955322
1902,3.9469432830810547,3.563488721847534,3.894893169403076,4.546313762664795,4.500194549560547,5.173923492431641,4.742611885070801,4.641676902770996,4.428663730621338,3.256333589553833
1903,4.122596740722656,3.5481462478637695,4.608558654785156,4.4725422859191895,4.2476067543029785,5.065700054168701,4.252983570098877,4.066849231719971,4.6861162185668945,3.5786263942718506
1904,3.742555856704712,4.07188606262207,3.9479243755340576,4.2760725021362305,4.256789207458496,4.182108402252197,3.6686127185821533,3.59844708442688,4.016462802886963,3.4180684089660645
1905,3.1111226081848145,2.8639488220214844,3.22467303276062,3.5484189987182617,2.94865083694458,4.244795799255371,3.294175386428833,3.0278232097625732,3.228904962539673,2.7046122550964355
1906,3.2527220249176025,3.1835076808929443,3.443955659866333,3.8672499656677246,3.2562294006347656,3.65124249458313,3.0998952388763428,3.329559564590454,3.3802363872528076,2.9222097396850586
1907,3.7714569568634033,3.5472264289855957,4.654551982879639,4.144931793212891,3.762150287628174,4.789034843444824,3.6873769760131836,3.7565107345581055,3.7725489139556885,3.4797606468200684
1908,3.853053092956543,3.4652185440063477,4.091305255889893,4.2927961349487305,4.373228549957275,4.905808925628662,4.3648176193237305,3.79730486869812,4.033261299133301,3.5736119747161865
1909,4.165624141693115,4.354484558105469,3.8436789512634277,4.432339191436768,4.087825775146484,4.563230514526367,4.057884216308594,3.9024507999420166,4.786416530609131,3.4660487174987793
1910,3.2869656085968018,2.9971868991851807,3.360257148742676,3.9905166625976562,3.3460779190063477,3.8846452236175537,3.0908446311950684,3.425494909286499,3.5860984325408936,2.9992122650146484
1911,3.7032310962677,4.112149238586426,3.973684549331665,4.445618152618408,4.393392562866211,4.253219127655029,3.8930914402008057,4.20017671585083,4.030987739562988,4.398838520050049
1912,4.062640190124512,3.5769639015197754,4.112946510314941,4.561875343322754,4.4162492752075195,4.499966621398926,4.297788619995117,4.122472763061523,4.527186393737793,3.6615006923675537
1913,4.296106338500977,4.2928876876831055,4.536219120025635,4.674952030181885,4.276737689971924,5.559841156005859,4.975501537322998,4.469253063201904,4.724590301513672,3.817060947418213
1914,3.86226487159729,3.721950054168701,4.572763919830322,4.031609535217285,4.2550578117370605,4.354132175445557,3.6892778873443604,3.9378468990325928,4.606581211090088,3.9639480113983154
1915,3.820054769515991,3.4142725467681885,3.996385097503662,4.201231956481934,3.7947170734405518,3.491178035736084,3.3325233459472656,3.6989729404449463,4.042328834533691,3.722749948501587
1916,3.9298622608184814,4.039860725402832,4.099144458770752,4.253429889678955,4.263478755950928,3.379054307937622,4.082416534423828,4.171016216278076,4.664020538330078,4.668639659881592
1917,3.769071340560913,4.388762474060059,4.239555835723877,4.387457370758057,4.183646202087402,3.2980668544769287,4.300285816192627,3.950302839279175,6.056149005889893,4.3855414390563965
1918,4.035274028778076,4.105204105377197,4.208344459533691,4.301252841949463,4.477139472961426,3.9400382041931152,4.492953300476074,4.1208295822143555,4.899136543273926,4.355971336364746
1919,4.034411907196045,3.769371747970581,4.339644432067871,4.158853054046631,4.737783432006836,4.728364944458008,3.894101142883301,4.104547500610352,5.051525115966797,3.361847400665283
1920,3.2515037059783936,2.784830093383789,3.361365795135498,4.080898761749268,3.0051310062408447,4.196372985839844,2.822009801864624,3.2477989196777344,3.358677387237549,2.8369712829589844
1921,4.3208818435668945,3.4628968238830566,4.189617156982422,4.6396379470825195,4.354827404022217,4.747100830078125,4.460850238800049,4.840671539306641,4.52191162109375,3.338824987411499
1922,3.5322062969207764,3.225163221359253,3.6093528270721436,4.078101634979248,3.615938186645508,4.215363025665283,3.307342290878296,3.476327896118164,3.7712583541870117,3.4216063022613525
1923,4.116878032684326,3.5478971004486084,4.2404890060424805,4.218379497528076,4.647022724151611,4.355923652648926,4.267633438110352,4.2741780281066895,4.2533440589904785,3.9520859718322754
1924,3.947402238845825,3.6764719486236572,3.9464070796966553,4.440505504608154,3.655473470687866,4.151541709899902,3.742605686187744,3.4138081073760986,3.6559009552001953,3.6622941493988037
1925,3.594032049179077,4.114793300628662,4.150207042694092,3.903280258178711,3.886474609375,4.194201946258545,3.775261402130127,3.737523317337036,3.6000330448150635,3.763047218322754
1926,3.6511261463165283,3.823639392852783,3.918729305267334,3.8442020416259766,4.111104488372803,4.676097393035889,4.250324249267578,3.8230180740356445,4.081127643585205,3.864567279815674
1927,3.847011089324951,4.043006896972656,4.637506484985352,4.515590190887451,4.315751075744629,4.525567054748535,4.209597110748291,4.162441730499268,4.243624687194824,4.212348461151123
1928,4.132041931152344,4.168768405914307,4.731938362121582,4.294593811035156,4.124091148376465,4.921133518218994,4.259810924530029,4.164880275726318,4.719266891479492,4.182008266448975
1929,4.2646164894104,4.3480048179626465,4.285543441772461,4.183361053466797,4.787120342254639,3.2484164237976074,4.938857555389404,4.563257217407227,5.403482437133789,4.180171966552734
1930,3.3040826320648193,3.9984142780303955,4.248697280883789,3.9600439071655273,3.8374040126800537,3.395890235900879,3.5409743785858154,3.6091456413269043,4.43395471572876,3.86633563041687
1931,4.420589447021484,4.09846305847168,5.092068195343018,3.931527853012085,4.493353366851807,2.8699874877929688,4.412332057952881,4.190486431121826,4.374427795410156,4.165917873382568
1932,3.8976962566375732,3.9501681327819824,4.509655952453613,4.182431221008301,4.0247039794921875,2.9342408180236816,4.002598762512207,4.274332523345947,4.245833873748779,3.9798567295074463
1933,5.039272308349609,4.973538398742676,5.1032609939575195,4.180284023284912,5.217875957489014,2.9466004371643066,4.788923263549805,4.945659637451172,5.169347286224365,4.383781909942627
1934,4.936439514160156,5.1451897621154785,5.498049259185791,4.237607479095459,5.404679298400879,2.5935940742492676,4.918084144592285,5.23303747177124,5.534525394439697,4.712311267852783
1935,4.0044403076171875,4.634840488433838,5.030186176300049,3.773019790649414,4.287756443023682,2.6993331909179688,4.520130157470703,4.123882293701172,4.391234397888184,4.2783918380737305
1936,3.727053642272949,3.685206890106201,4.319578170776367,3.86254620552063,3.9262659549713135,3.09226655960083,4.228332996368408,3.2082576751708984,3.61018705368042,3.977597713470459
1937,4.776775360107422,4.632108211517334,5.182524681091309,3.854513645172119,4.914460182189941,2.9636588096618652,4.7664408683776855,4.786861419677734,4.172832489013672,4.522119045257568
1938,5.2092084884643555,5.171326637268066,5.20665979385376,4.03325891494751,5.0913166999816895,2.9101672172546387,5.357861518859863,5.133459568023682,4.830080986022949,5.106241226196289
1939,4.977079391479492,5.912265777587891,4.803035736083984,4.334194660186768,4.702323913574219,3.2620792388916016,4.734468460083008,5.856873989105225,5.219909191131592,4.872828006744385
1940,4.843538284301758,5.500394821166992,4.8787689208984375,4.212235927581787,4.6961894035339355,3.2354865074157715,5.20827054977417,5.1890363693237305,4.881435871124268,4.993719577789307
1941,5.519245147705078,4.853557586669922,5.499460697174072,3.7227284908294678,4.593279838562012,3.8998429775238037,5.106905937194824,5.015312671661377,3.7402830123901367,4.190339088439941
1942,4.371584415435791,4.902911186218262,4.278292655944824,4.1305928230285645,4.130862712860107,4.809613227844238,4.360318660736084,4.137296676635742,4.2390899658203125,4.1583709716796875
1943,4.532119274139404,5.4412946701049805,4.8338623046875,3.721565008163452,4.007078647613525,4.986229419708252,4.342452526092529,4.724423408508301,3.6018056869506836,4.321937084197998
1944,5.162599086761475,5.167861461639404,4.630504131317139,5.316600799560547,3.8002281188964844,4.895148754119873,4.47648286819458,5.1412434577941895,4.217479228973389,3.8267788887023926
1945,4.9062886238098145,4.995015621185303,5.030844688415527,2.6520509719848633,3.852463722229004,5.674763202667236,5.014473915100098,4.958014965057373,4.5407023429870605,4.071410655975342
1946,4.322099685668945,3.531723737716675,4.042611598968506,4.870474338531494,4.389557361602783,6.092562675476074,4.575866222381592,4.503368377685547,4.7382402420043945,3.839402914047241
