year,CWTriBIL01_,CWTriBIL02_,CWTriBIL04_,CWTriBIL06_,CWTriBIL07_,CWTriBIL10_,CWTriBIL11_,CWTriBIL13_,CWTriBIL14_,CWTriBIL16_
1835,0,0,0,2.787839651107788
1836,0,0,0,2.712528705596924
1837,0,0,0,2.42500901222229
1838,0,0,0,2.3688883781433105
1839,0,0,0,2.5320863723754883
1840,0,0,0,2.4353153705596924
1841,0,0,0,2.517932891845703,0,0,0,0,3.4824368953704834
1842,0,0,0,2.6305174827575684,0,0,0,0,3.6871984004974365
1843,0,0,0,2.9230833053588867,0,0,0,0,3.3442025184631348
1844,0,3.6449785232543945,4.027651309967041,3.210078001022339,0,0,0,0,3.7264068126678467
1845,0,3.0300967693328857,3.1899678707122803,2.930413246154785,0,0,0,0,3.3932697772979736
1846,0,2.5255227088928223,2.6449732780456543,2.818373918533325,0,0,0,0,2.983466863632202
1847,0,3.327174663543701,2.806035280227661,3.212459087371826,0,0,0,0,3.3817238807678223
1848,0,2.8937840461730957,3.2307329177856445,2.703112840652466,0,0,0,0,3.0555484294891357
1849,0,3.1990504264831543,3.608361005783081,2.9202234745025635,0,0,0,0,2.979180097579956
1850,0,3.4955077171325684,3.4503726959228516,3.27411150932312,0,0,0,0,3.392711639404297
1851,0,3.498739004135132,3.8037514686584473,3.058289051055908,0,0,0,2.99596905708313,3.671119213104248
1852,0,4.132785320281982,3.9787819385528564,3.867948532104492,-999,0,0,3.683393955230713,3.622377395629883
1853,3.0825939178466797,3.1400015354156494,3.3496475219726562,3.2209508419036865,5.017967224121094,0,0,2.703362226486206,3.3442912101745605,2.6889805793762207
1854,2.8149373531341553,2.9240167140960693,3.7667994499206543,3.763479232788086,4.486973762512207,0,0,2.805150270462036,3.777390956878662,3.028286933898926
1855,2.682642936706543,3.165708303451538,3.3794431686401367,3.809103012084961,3.8806517124176025,0,0,2.876241445541382,3.2595534324645996,2.348797082901001
1856,3.3770174980163574,3.720262289047241,4.097517967224121,4.29530143737793,4.080719947814941,0,0,2.988292694091797,4.085911750793457,3.0072615146636963
1857,3.1068880558013916,4.121131420135498,4.490635871887207,3.8806381225585938,4.006566047668457,0,0,3.5179269313812256,4.244828224182129,3.307156801223755
1858,2.9639623165130615,3.32356858253479,3.4752867221832275,3.712531566619873,3.7365705966949463,0,0,3.274200439453125,3.545311450958252,2.810772657394409
1859,3.6050941944122314,3.845773696899414,2.9179985523223877,4.1276631355285645,3.938309907913208,0,-999,3.1536948680877686,3.6264772415161133,2.9678995609283447
1860,3.166592597961426,3.2532575130462646,3.380460500717163,3.7565393447875977,3.8048062324523926,0,2.982023239135742,2.938018560409546,3.539768934249878,2.9549245834350586
1861,2.593665361404419,3.0568296909332275,2.920384645462036,2.9358341693878174,3.3205153942108154,0,2.7592642307281494,2.69545316696167,2.9737966060638428,2.8983688354492188
1862,3.242854595184326,3.5018372535705566,3.660017251968384,3.56683349609375,3.541032314300537,0,3.0124220848083496,3.2197277545928955,3.4238128662109375,3.1884515285491943
1863,2.6668882369995117,3.357778549194336,3.035482883453369,2.897768497467041,3.3942434787750244,0,2.7320098876953125,2.771242141723633,3.3030176162719727,2.7966196537017822
1864,2.8593451976776123,2.6935017108917236,2.9344301223754883,3.263819694519043,2.4265055656433105,0,2.9745283126831055,2.3444957733154297,3.0013835430145264,2.7568583488464355
1865,3.2400925159454346,3.566732406616211,3.4533162117004395,3.4786179065704346,3.958534002304077,4.614809513092041,3.0475993156433105,4.115784168243408,4.460745334625244,2.9977352619171143
1866,3.6512575149536133,3.400329828262329,3.4773964881896973,3.455552577972412,4.385120868682861,4.101076602935791,3.277462959289551,4.25820779800415,3.909191370010376,3.2632367610931396
1867,3.2045392990112305,3.3600714206695557,3.389023780822754,3.7288718223571777,4.763457775115967,3.908292770385742,3.370943784713745,4.096558094024658,3.483074903488159,3.4904589653015137
1868,3.464810848236084,3.359605073928833,3.257570743560791,3.191373586654663,4.0311994552612305,3.8003666400909424,3.4174108505249023,3.762277364730835,3.318093776702881,3.2540931701660156
1869,3.2208077907562256,3.645232915878296,3.3510100841522217,3.384016752243042,4.148486137390137,3.669734477996826,3.172861337661743,3.695622682571411,3.504849672317505,3.299546718597412
1870,3.025275230407715,3.455745220184326,3.328984260559082,3.4235775470733643,4.233707904815674,3.6529464721679688,3.2744271755218506,3.711597442626953,3.4329135417938232,3.2664496898651123
1871,3.0374059677124023,3.5175974369049072,3.3392276763916016,3.532104730606079,4.081254959106445,3.400559663772583,3.167682409286499,3.6315412521362305,3.1997525691986084,3.1762397289276123
1872,3.436718702316284,4.391464710235596,3.541877269744873,4.056149959564209,4.314272880554199,3.460758686065674,3.799903392791748,3.8390421867370605,3.751134157180786,3.21089243888855
1873,3.5238747596740723,3.9749162197113037,3.6351630687713623,3.935084581375122,4.075658321380615,3.771242141723633,3.600743293762207,3.6247305870056152,3.5665745735168457,3.230775833129883
1874,3.953542947769165,4.351690769195557,4.157561779022217,4.08372163772583,4.771219253540039,4.529375076293945,3.6922338008880615,3.8186190128326416,4.032684326171875,3.3061773777008057
1875,3.2757606506347656,3.519949436187744,3.1949737071990967,3.02420973777771,3.684236764907837,3.7822344303131104,2.9304256439208984,3.301283836364746,3.3556900024414062,2.848439931869507
1876,3.417012929916382,4.037738800048828,3.5286338329315186,3.711869955062866,4.119832515716553,3.7819881439208984,3.491691827774048,3.271392583847046,3.6919846534729004,3.332226514816284
1877,3.0590996742248535,3.923522710800171,3.605916738510132,3.3112967014312744,4.180670738220215,3.578542947769165,3.5933051109313965,3.034052610397339,3.514808177947998,3.069270372390747
1878,3.460069179534912,4.2184343338012695,3.5667054653167725,3.4952259063720703,3.743743896484375,3.5988070964813232,3.3666646480560303,2.957108974456787,3.369055986404419,3.447570323944092
1879,3.8772473335266113,4.537539482116699,3.8406667709350586,3.4364805221557617,4.187041282653809,3.711444854736328,3.650984287261963,3.075254201889038,3.482461929321289,3.747129201889038
1880,3.790226697921753,4.810634613037109,4.271255016326904,3.9928009510040283,4.673611640930176,3.8772048950195312,3.682335138320923,3.339064836502075,4.232229709625244,4.00702428817749
1881,5.295352935791016,4.317167282104492,3.848083257675171,3.5079264640808105,4.521652698516846,3.413839340209961,3.3565621376037598,3.1446340084075928,3.137279748916626,3.2892351150512695
1882,4.004082202911377,4.901047229766846,4.631953239440918,4.627811431884766,5.551632404327393,4.324071407318115,4.261232376098633,4.044230937957764,4.240240573883057,4.388861656188965
1883,3.9504284858703613,3.6789121627807617,4.00729513168335,3.342231512069702,3.825546979904175,3.900052309036255,3.289220094680786,3.588907480239868,3.78444242477417,3.4703800678253174
1884,3.451467990875244,3.811460494995117,3.4534945487976074,3.6145331859588623,4.157725811004639,4.150802135467529,3.2888851165771484,3.5709280967712402,3.4170610904693604,3.5915000438690186
1885,3.4216201305389404,3.041032552719116,3.0811569690704346,3.2285616397857666,3.694652557373047,3.9034628868103027,3.507659673690796,3.583022356033325,3.2817137241363525,3.3630211353302
1886,2.8957998752593994,2.836113691329956,2.9927492141723633,3.0336432456970215,3.3626487255096436,3.457193613052368,3.530759572982788,3.216615676879883,2.854836940765381,3.1405065059661865
1887,4.11391544342041,4.024979591369629,3.3926968574523926,3.452965259552002,3.644925355911255,4.383785247802734,4.51311731338501,4.010056972503662,3.807502031326294,3.42813777923584
1888,3.3988401889801025,4.362175941467285,3.426901340484619,4.2657904624938965,4.744316577911377,3.6829614639282227,4.3135504722595215,3.9487640857696533,3.516305923461914,3.560917854309082
1889,5.706961631774902,3.706977367401123,3.368128538131714,3.746450424194336,4.619815826416016,3.857684373855591,4.2289228439331055,3.538153886795044,3.7742600440979004,3.5526163578033447
1890,3.458706855773926,3.437688112258911,3.4851315021514893,3.6890475749969482,3.996760845184326,3.869169235229492,4.277410507202148,3.516089916229248,3.4268975257873535,3.6286375522613525
1891,3.3417725563049316,3.7236406803131104,3.5178005695343018,4.560460090637207,4.502012252807617,3.7878146171569824,3.739274024963379,3.4549663066864014,3.7786104679107666,3.8766846656799316
1892,3.446765184402466,3.49352765083313,3.3017876148223877,4.094360828399658,3.90402889251709,3.378506660461426,3.9976420402526855,3.379272699356079,3.146069049835205,3.4773683547973633
1893,3.339059829711914,3.4360158443450928,3.452833414077759,3.7599704265594482,3.6669561862945557,4.001794815063477,3.8676319122314453,4.070030689239502,3.895052671432495,3.4507336616516113
1894,3.5480635166168213,4.003002643585205,3.7865283489227295,4.742988586425781,4.181710243225098,4.103572845458984,4.790431499481201,4.2136993408203125,5.324947357177734,3.5814199447631836
1895,4.269260406494141,4.213078498840332,3.8227083683013916,4.889762878417969,4.374250888824463,3.5214271545410156,5.23295783996582,4.247745513916016,3.607463836669922,4.045396327972412
1896,3.4460554122924805,2.9918441772460938,3.2065911293029785,4.074640274047852,3.305746555328369,3.624849796295166,3.9706788063049316,3.5775604248046875,3.678773880004883,3.5213866233825684
1897,3.762533664703369,4.075916290283203,3.630445718765259,4.70399808883667,4.358784198760986,4.434338092803955,4.474160671234131,4.368189811706543,4.202300548553467,3.741793632507324
1898,3.559354543685913,3.8789539337158203,3.5759356021881104,4.0970683097839355,4.424121856689453,4.49658203125,4.5179972648620605,4.011218070983887,3.3288724422454834,3.6396470069885254
1899,3.6369805335998535,3.8899953365325928,3.806051015853882,4.786717891693115,4.161087512969971,4.382497787475586,4.859183311462402,4.111911296844482,3.937763214111328,3.6132874488830566
1900,3.808551788330078,3.6541593074798584,3.626253843307495,4.390233516693115,4.553699970245361,4.79902458190918,4.639357566833496,4.39457368850708,3.936361074447632,3.694859027862549
1901,3.583569049835205,3.631263256072998,3.831996440887451,4.409213542938232,4.00214958190918,4.562839508056641,5.152130603790283,3.9940192699432373,4.115878105163574,3.289306163787842
1902,4.0272626876831055,3.5474703311920166,3.934393882751465,4.527943134307861,4.584144592285156,5.2306413650512695,4.752235412597656,4.7485880851745605,4.403891086578369,3.2789461612701416
1903,4.143259048461914,3.566754102706909,4.643833160400391,4.518438816070557,4.2644195556640625,5.107172966003418,4.215908050537109,4.155980110168457,4.673283100128174,3.621116876602173
1904,3.7562804222106934,3.937889814376831,3.933516263961792,4.3140435218811035,4.334877967834473,4.213102340698242,3.691514253616333,3.669931650161743,4.007816314697266,3.4211254119873047
1905,3.119494676589966,2.8781802654266357,3.2672829627990723,3.6009681224823,2.9997763633728027,4.261601448059082,3.3228049278259277,3.068612813949585,3.2617907524108887,2.75750732421875
1906,3.289992332458496,3.1893997192382812,3.492711067199707,3.874767303466797,3.285351276397705,3.7351951599121094,3.0723202228546143,3.4103004932403564,3.37229323387146,2.974388837814331
1907,3.83681058883667,3.517932176589966,4.683126449584961,4.1293463706970215,3.80387806892395,4.8431782722473145,3.710099935531616,3.8323678970336914,3.747246265411377,3.507944345474243
1908,3.8753347396850586,3.4858789443969727,4.144969940185547,4.227123260498047,4.400310516357422,4.944396018981934,4.451465606689453,3.836357355117798,4.036180019378662,3.5998454093933105
1909,4.218860149383545,4.340985298156738,3.8291163444519043,4.339591026306152,4.134979248046875,4.613802433013916,4.0747389793396,3.955148696899414,4.731186866760254,3.474698781967163
1910,3.323507785797119,3.0165674686431885,3.429717779159546,4.059021949768066,3.3648786544799805,3.9577345848083496,3.1204187870025635,3.4675533771514893,3.593449115753174,3.0298678874969482
1911,3.758570432662964,4.128170013427734,3.9896345138549805,4.407861232757568,4.45808219909668,4.339224338531494,3.8929717540740967,4.163054466247559,4.003818988800049,4.490780830383301
1912,4.098268508911133,3.5796022415161133,4.16281795501709,4.5432281494140625,4.480457782745361,4.575343608856201,4.322026252746582,4.148705959320068,4.531164646148682,3.7203640937805176
1913,4.380506992340088,4.328570365905762,4.528416633605957,4.5781331062316895,4.250074863433838,5.5617594718933105,5.033121585845947,4.510669231414795,4.718344688415527,3.9327340126037598
1914,3.9449410438537598,3.7701733112335205,4.611536502838135,4.016996383666992,4.276027679443359,4.382256507873535,3.6863949298858643,3.950162410736084,4.627187252044678,4.023177146911621
1915,3.8567843437194824,3.4333407878875732,4.003237247467041,4.193647384643555,3.820587396621704,3.546337842941284,3.319847822189331,3.7355823516845703,4.022215366363525,3.8159568309783936
1916,4.014282703399658,4.082648754119873,4.112888813018799,4.223455905914307,4.294018268585205,3.4399163722991943,4.132460594177246,4.221749305725098,4.636287689208984,4.818159580230713
1917,3.794914722442627,4.428662300109863,4.225269794464111,4.413571357727051,4.264770030975342,3.3030946254730225,4.397633075714111,3.9739418029785156,6.063447952270508,4.453310966491699
1918,4.102778434753418,4.101356506347656,4.1905517578125,4.359458923339844,4.4917826652526855,4.010008335113525,4.554780960083008,4.136282444000244,4.8180317878723145,4.472781181335449
1919,4.07572603225708,3.7809221744537354,4.366992473602295,4.167058944702148,4.8341288566589355,4.794143199920654,3.9517662525177,4.148706912994385,5.008517742156982,3.431856632232666
1920,3.293524742126465,2.7964017391204834,3.4029955863952637,4.051196575164795,2.99737286567688,4.186487197875977,2.793215274810791,3.2918663024902344,3.3679444789886475,2.8561360836029053
1921,4.336720943450928,3.4629368782043457,4.125002384185791,4.569649696350098,4.416286945343018,4.747788429260254,4.524821758270264,4.831851005554199,4.387500286102295,3.360227108001709
1922,3.557184934616089,3.211303472518921,3.666501045227051,4.123114585876465,3.632492780685425,4.2628326416015625,3.344022512435913,3.523451328277588,3.7963247299194336,3.4477133750915527
1923,4.174227714538574,3.5167059898376465,4.321506500244141,4.1922831535339355,4.691235065460205,4.408966541290283,4.326519966125488,4.345623970031738,4.193835258483887,3.989278793334961
1924,3.9689056873321533,3.6893959045410156,3.9917969703674316,4.438573837280273,3.693613290786743,4.145550727844238,3.765734910964966,3.4342918395996094,3.645637035369873,3.7013773918151855
1925,3.6614623069763184,4.124576568603516,4.200451850891113,3.889383554458618,3.8832128047943115,4.22445821762085,3.8164796829223633,3.7857699394226074,3.575718402862549,3.8384225368499756
1926,3.715986490249634,3.852222204208374,3.8593356609344482,3.8676705360412598,4.164381980895996,4.6819610595703125,4.331884860992432,3.8527073860168457,4.0450005531311035,3.935171127319336
1927,3.9116039276123047,4.066590309143066,4.654947280883789,4.500509262084961,4.338832378387451,4.599147796630859,4.241703510284424,4.171354293823242,4.253047466278076,4.223697185516357
1928,4.159012317657471,4.192109107971191,4.806269645690918,4.315584182739258,4.128732204437256,4.936578750610352,4.31417179107666,4.161522388458252,4.716287136077881,4.235261917114258
1929,4.310292720794678,4.452084064483643,4.277507781982422,4.2146687507629395,4.743739128112793,3.35744047164917,5.037331581115723,4.645954608917236,5.333083152770996,4.1883721351623535
1930,3.3404033184051514,3.9543585777282715,4.25387716293335,3.969552755355835,3.8610246181488037,3.4574742317199707,3.55891752243042,3.669194221496582,4.500983238220215,3.8904874324798584
1931,4.500729084014893,4.131755352020264,5.24810791015625,3.941269636154175,4.5388007164001465,2.9011950492858887,4.529396057128906,4.221332550048828,4.384321689605713,4.190986633300781
1932,3.954616069793701,3.9556119441986084,4.6283769607543945,4.182977676391602,3.9930036067962646,3.0229411125183105,4.032382965087891,4.317987442016602,4.257485866546631,3.996591806411743
1933,4.984750747680664,4.959132671356201,5.238064289093018,4.203705310821533,5.145628452301025,2.954448938369751,4.851808071136475,4.946134090423584,5.118791103363037,4.4108500480651855
1934,4.962597370147705,5.161211967468262,5.598848819732666,4.2219672203063965,5.385715007781982,2.4570460319519043,4.985432147979736,5.244660377502441,5.418547630310059,4.7544426918029785
1935,4.0240678787231445,4.6324310302734375,5.17209005355835,3.841533660888672,4.293868064880371,2.663841485977173,4.614103317260742,4.161302089691162,4.339094161987305,4.328915596008301
1936,3.7171998023986816,3.6587023735046387,4.424192905426025,3.905456781387329,3.894930601119995,3.1478850841522217,4.307310581207275,3.1955442428588867,3.626079797744751,4.029924392700195
1937,4.743419647216797,4.560430526733398,5.1940155029296875,3.839951992034912,4.947201728820801,2.9636194705963135,4.826257705688477,4.822433948516846,4.146721839904785,4.509918212890625
1938,5.146411418914795,5.19542932510376,5.312910556793213,4.054186820983887,5.122013092041016,2.9172096252441406,5.430192470550537,5.137481689453125,4.72912073135376,5.157411575317383
1939,5.000381946563721,5.7943644523620605,4.900418758392334,4.3202714920043945,4.700721263885498,3.281818389892578,4.852094650268555,5.880710601806641,5.172845840454102,4.907100677490234
1940,4.786308288574219,5.417614459991455,4.964866638183594,4.246716022491455,4.7307233810424805,3.320927381515503,5.33256196975708,5.204796314239502,4.830573081970215,5.013040542602539
1941,5.467414379119873,4.889700889587402,5.572370529174805,3.7975785732269287,4.644081115722656,4.020961761474609,5.228846549987793,5.026858329772949,3.758725166320801,4.2436628341674805
1942,4.366512298583984,4.855068206787109,4.297998905181885,4.229092121124268,4.144676208496094,4.846863746643066,4.3784685134887695,4.177187442779541,4.3400678634643555,4.206609725952148
1943,4.501008987426758,5.384533405303955,4.948602199554443,3.76081919670105,4.00933313369751,5.029047012329102,4.369822025299072,4.780421257019043,3.632840633392334,4.346858978271484
1944,5.186794281005859,5.128032684326172,4.671456336975098,5.455089569091797,3.7679224014282227,4.944912433624268,4.514580249786377,5.137972354888916,4.2593841552734375,3.7920801639556885
1945,4.911901950836182,5.033482551574707,5.133877277374268,-999,3.824078321456909,5.707039833068848,5.086164474487305,5.0272536277771,4.605424880981445,4.026688098907471
1946,4.373087406158447,3.5353775024414062,4.1008124351501465,4.867079734802246,4.446700096130371,6.059205055236816,4.614424705505371,4.5697407722473145,4.779842853546143,3.8127903938293457
1947,4.2927327156066895,4.002478122711182,4.473287105560303,5.062710285186768,4.273221015930176,5.5701584815979,4.374989032745361,4.207943439483643,4.4281768798828125,3.6844165325164795
1948,4.651224136352539,3.9590909481048584,4.295454502105713,4.285223007202148,4.331084728240967,4.848668098449707,4.25379753112793,4.048151016235352,4.525454044342041,3.4991323947906494
1949,4.742314338684082,3.745893955230713,3.764861583709717,4.096580982208252,3.9834532737731934,4.468974590301514,4.124769687652588,3.804142475128174,5.104466438293457,3.191779375076294
1950,3.868312358856201,3.584280490875244,3.2182810306549072,3.5630276203155518,3.8906166553497314,5.020780563354492,3.809262275695801,4.0422210693359375,4.404075622558594,3.1973865032196045
1951,4.53696346282959,4.823118686676025,4.369568824768066,5.3009033203125,4.957395553588867,5.732123374938965,5.102667808532715,5.197876453399658,4.939296722412109,4.399419784545898
1952,3.5946216583251953,3.766404390335083,4.6785478591918945,3.958326578140259,4.405888557434082,5.483399868011475,5.563851833343506,6.063782215118408,4.98715877532959,3.2232890129089355
1953,3.7077131271362305,3.7571327686309814,4.314500331878662,3.7804853916168213,4.230436325073242,5.03494119644165,4.497223854064941,6.151754379272461,5.199417591094971,3.169614791870117
1954,3.938662052154541,4.658194541931152,4.077942371368408,4.635444641113281,4.369083881378174,4.484285354614258,4.56171989440918,6.420838356018066,4.911228656768799,4.178035259246826
1955,4.1057820320129395,4.496511936187744,4.3298845291137695,4.817790508270264,4.194762706756592,4.6217546463012695,4.873610496520996,6.441335201263428,4.650084495544434,4.2443695068359375
1956,4.290160179138184,4.838055610656738,4.560161590576172,4.912569522857666,4.668097019195557,5.060878753662109,4.990730285644531,6.012984275817871,5.241714954376221,4.033848285675049
1957,4.085733890533447,4.393383502960205,3.6575424671173096,4.592087745666504,4.354809284210205,4.604918003082275,4.229644298553467,5.672664165496826,5.0684814453125,3.4852852821350098
1958,3.92264723777771,4.854949951171875,4.370052814483643,5.128345966339111,4.446040153503418,4.797142505645752,5.138678073883057,5.649022579193115,4.823429584503174,4.038996696472168
1959,4.077926158905029,4.2685065269470215,4.315552234649658,4.97423791885376,4.432811737060547,5.0064592361450195,5.1143999099731445,6.190155029296875,5.9809465408325195,3.795086622238159
1960,3.8410897254943848,3.9862232208251953,3.993781089782715,4.11981201171875,4.46389102935791,4.408491134643555,5.569082736968994,5.655141353607178,4.925237655639648,3.4478394985198975
1961,4.020942687988281,4.186389446258545,3.470245599746704,4.193645477294922,3.9269118309020996,5.221280097961426,5.113190650939941,5.543631553649902,5.064302444458008,3.463998794555664
1962,4.204952239990234,4.762060642242432,3.6922528743743896,5.1772236824035645,4.922318458557129,4.7558488845825195,4.619538307189941,6.361340522766113,6.328385353088379,3.812807559967041
1963,4.345564842224121,4.826395034790039,4.2986836433410645,4.687262535095215,4.808359622955322,4.625044345855713,5.105367660522461,5.86245584487915,5.7667694091796875,3.6802241802215576
1964,4.192555904388428,4.80003023147583,4.268460273742676,4.962742328643799,4.82203483581543,4.46505880355835,4.528539657592773,5.7123026847839355,5.159772872924805,4.372457981109619
1965,3.8764455318450928,4.183425426483154,3.4701597690582275,4.0544939041137695,4.211792945861816,4.000422477722168,4.394393444061279,5.55588436126709,5.64458703994751,3.497222661972046
1966,4.116453647613525,4.732471466064453,3.987239122390747,4.742313861846924,4.322861194610596,4.52372407913208,4.726039409637451,5.30728006362915,4.410017967224121,4.28148078918457
1967,4.368070125579834,4.7850141525268555,4.27282190322876,4.912133693695068,4.529324054718018,4.629088401794434,4.965299606323242,5.69832181930542,4.9631733894348145,3.8412017822265625
1968,4.554433822631836,5.64945650100708,4.232157230377197,5.246010780334473,4.882427215576172,4.473628997802734,4.7702484130859375,5.586650371551514,5.290930271148682,4.272862911224365
1969,4.390691757202148,5.970287799835205,4.724189758300781,5.076871871948242,5.303105354309082,4.508096218109131,5.872214317321777,5.819007396697998,5.421438217163086,5.244007110595703
1970,3.8654544353485107,4.864032745361328,3.8528406620025635,4.4860358238220215,3.949917793273926,3.534898042678833,4.507495880126953,5.733353137969971,5.390854835510254,3.9575960636138916
