year;CWTtanBIL01_;CWTtanBIL02_;CWTtanBIL04_;CWTtanBIL06_;CWTtanBIL07_;CWTtanBIL10_;CWTtanBIL11_;CWTtanBIL13_;CWTtanBIL14_;CWTtanBIL16_;aver
1835;0;0;0;2.492714882;;;;;;;0.62317872
1836;0;0;0;2.44643259;;;;;;;0.611608148
1837;0;0;0;2.223445415;;;;;;;0.555861354
1838;0;0;0;2.186718225;;;;;;;0.546679556
1839;0;0;0;2.333973646;;;;;;;0.583493412
1840;0;0;0;2.232351303;;;;;;;0.558087826
1841;0;0;0;2.25045228;0;0;0;0;3.203356743;;0.60597878
1842;0;0;0;2.438957214;0;0;0;0;3.499940395;;0.659877512
1843;0;0;0;2.515250206;0;0;0;0;3.014468908;;0.614413235
1844;0;3.108956099;3.656389475;2.781684399;0;0;0;0;3.30121994;;1.427583324
1845;0;2.849288702;3.215264797;2.720887423;0;0;0;0;3.056657314;;1.315788693
1846;0;2.242711306;2.460690498;2.484197378;0;0;0;0;2.652746916;;1.093371789
1847;0;2.776955128;2.748993874;2.779796124;0;0;0;0;3.068174362;;1.263768832
1848;0;2.567506313;3.355351925;2.442816734;0;0;0;0;2.720596075;;1.231807894
1849;0;2.912009001;3.792585373;2.68371582;0;0;0;0;2.76310277;;1.350156996
1850;0;3.325907469;3.359359741;2.983314991;0;0;0;0;3.081555367;;1.416681952
1851;0;3.252717972;3.829165459;2.894821644;0;0;0;2.873252153;3.346450329;;1.79960084
1852;0;3.961415291;4.053112507;3.54344368;0;0;0;3.536687851;3.462814093;;2.061941491
1853;2.825329304;2.659472942;3.189982891;2.920093536;4.131108284;0;0;2.531285048;2.866125107;2.371045589;2.34944427
1854;2.752007008;2.654869795;3.567445278;3.339550972;4.155535698;0;0;2.6635952;3.452790737;2.718695164;2.530448985
1855;2.483494282;2.77458477;3.221328259;3.439101219;3.529235125;0;0;2.573978424;2.856859684;2.068873882;2.294745564
1856;2.897680521;3.295498133;4.095741749;3.776945353;3.804971457;0;0;2.813742638;3.630875587;2.600980997;2.691643643
1857;2.672973394;3.69775629;4.320059299;3.564164639;3.529129267;0;0;3.522444487;3.876160145;2.999115229;2.818180275
1858;2.774513483;3.045209169;3.296168566;3.34746933;3.42594552;0;0;3.132460594;3.322010756;2.618950367;2.496272779
1859;3.259732008;3.348539352;2.681772232;3.5926404;3.506042957;0;0;2.99241209;3.141809225;2.569927454;2.509287572
1860;3.0695014;2.941056728;3.073534727;3.425404787;3.457724094;0;2.771470785;2.822814465;3.322024107;2.69159627;2.757512736
1861;2.543708086;2.753891468;2.84432435;2.850819826;3.250869989;0;2.480489492;2.592670918;2.850395203;2.695084095;2.486225343
1862;2.973582506;2.960034847;3.333828688;3.014950275;3.289776564;0;2.561420918;2.910407782;2.979223013;2.898735762;2.692196035
1863;2.547646284;2.969919205;2.956210852;2.731677771;3.184625387;0;2.368854761;2.552274942;2.959487915;2.633556366;2.490425348
1864;2.581115723;2.177855968;2.504489422;2.755656958;2.065367699;0;2.563495159;1.903922677;2.585388422;2.343744755;2.148103678
1865;2.970052719;3.1672225;3.325500011;3.259697914;3.438453913;4.234323978;2.731093168;3.653925657;4.143427372;2.848891258;3.377258849
1866;3.251736879;2.964782715;3.209000111;3.322762251;4.125518322;3.836376905;2.856009245;3.720161676;3.683193207;3.021281958;3.399082327
1867;2.918421268;3.199300528;3.186256647;3.579576492;4.511009216;3.701286793;3.094909191;3.715648651;3.478467941;3.334888697;3.471976542
1868;3.013114214;3.01955843;2.922977924;2.979810715;3.856701136;3.562735081;3.111859322;3.324538231;3.126395941;3.020404577;3.193809557
1869;2.884754419;3.174598455;3.142104149;3.192881346;3.743140936;3.46465373;2.889979601;3.319213629;3.317575455;2.901892185;3.203079391
1870;2.840059996;3.231225967;3.11588645;3.26198864;3.976315022;3.488661289;3.02059865;3.39386344;3.322781801;3.155229092;3.280661035
1871;2.809000492;3.183980465;3.127640963;3.260639429;3.694534063;3.254013777;2.883868694;3.230487108;3.042583942;2.983901739;3.147065067
1872;3.132182598;3.975371838;3.295207739;3.747834206;3.977666855;3.277548075;3.507119417;3.572387934;3.530835867;3.043760061;3.505991459
1873;3.321424007;3.645801783;3.499686956;3.669607401;3.83313036;3.918364525;3.17395997;3.398452044;3.24971509;3.041507959;3.475165009
1874;3.764238596;4.030133724;4.099258423;3.596386909;4.425991058;4.445547581;3.255548;3.512613773;3.546669722;3.146776199;3.782316399
1875;3.104106665;3.212269068;3.130091429;2.696208954;3.519880772;3.560508251;2.627441883;3.048995733;2.981212139;2.683036327;3.056375122
1876;3.179537296;3.785169601;3.541870594;3.252246618;3.882158995;3.532796144;3.117004156;2.845487833;3.439779758;3.099103212;3.367515421
1877;2.911397934;3.635362387;3.631748676;2.991562843;3.955447197;3.36341691;3.042309761;2.605691195;3.25325942;3.018795729;3.240899205
1878;3.152989864;3.722197056;3.464879751;3.16904521;3.520713091;3.367815495;2.89702177;2.542062759;3.183684587;3.147101402;3.216751099
1879;3.477664709;4.076905727;3.665124416;3.127672911;3.836784601;3.563853264;3.315813541;2.749610424;3.330625534;3.483991385;3.462804651
1880;3.540105104;4.576769352;4.399588585;3.636055946;4.499536037;3.70347333;3.318016768;3.090911627;4.058321476;3.880486012;3.870326424
1881;5.044270992;3.905349731;3.873554945;3.072657585;4.068845272;3.320188522;3.065247774;2.825157404;3.068048;3.304206371;3.55475266
1882;3.742812395;4.578647137;4.877858639;4.125549316;5.289549351;4.356888294;3.813821554;3.72242403;4.256027222;4.147292614;4.291087055
