year,DhBIL01_,DhBIL02_,DhBIL04_,DhBIL06_,DhBIL07_,DhBIL10_,DhBIL11_,DhBIL13_,DhBIL14_,DhBIL16_
1835,0,0,0,14.298013687133789
1836,0,0,0,17.134126663208008
1837,0,0,0,16.03925132751465
1838,0,0,0,16.78093147277832
1839,0,0,0,17.188114166259766
1840,0,0,0,19.785755157470703
1841,0,0,0,21.057411193847656,0,0,0,0,16.243844985961914
1842,0,0,0,20.111812591552734,0,0,0,0,16.57375717163086
1843,0,0,0,19.809480667114258,0,0,0,0,18.05435562133789
1844,0,14.561470985412598,19.230085372924805,21.951953887939453,0,0,0,0,18.503814697265625
1845,0,18.272016525268555,20.306907653808594,21.847484588623047,0,0,0,0,19.137298583984375
1846,0,21.70456314086914,23.92125129699707,23.069618225097656,0,0,0,0,21.625165939331055
1847,0,20.074810028076172,21.891010284423828,20.434099197387695,0,0,0,0,19.326793670654297
1848,0,19.498674392700195,21.16213035583496,22.53040885925293,0,0,0,0,19.910385131835938
1849,0,20.122873306274414,21.060171127319336,23.42073631286621,0,0,0,0,21.237672805786133
1850,0,19.399051666259766,22.027254104614258,22.3560791015625,0,0,0,0,18.47315788269043
1851,0,20.149747848510742,21.131683349609375,23.203487396240234,0,0,0,13.402840614318848,17.618797302246094
1852,0,22.000085830688477,22.846424102783203,25.090282440185547,0,0,0,13.407766342163086,19.795021057128906
1853,22.027921676635742,24.186065673828125,24.340734481811523,23.909290313720703,18.495363235473633,0,0,16.50847625732422,22.609760284423828,23.644193649291992
1854,22.41584587097168,24.138322830200195,24.091598510742188,24.24125099182129,17.50304412841797,0,0,15.642308235168457,20.201404571533203,20.939876556396484
1855,23.83142852783203,23.51544189453125,23.769084930419922,24.023527145385742,19.887563705444336,0,0,17.41779327392578,22.143381118774414,21.73374366760254
1856,19.290983200073242,21.703248977661133,22.407987594604492,23.88616180419922,21.00530242919922,0,0,16.614423751831055,20.500185012817383,21.932390213012695
1857,20.399181365966797,21.31971549987793,22.904254913330078,24.230403900146484,20.68735122680664,0,0,16.247770309448242,23.118757247924805,20.799375534057617
