year,Dh2BIL01_,Dh2BIL02_,Dh2BIL04_,Dh2BIL06_,Dh2BIL07_,Dh2BIL10_,Dh2BIL11_,Dh2BIL13_,Dh2BIL14_,Dh2BIL16_
1835,0,0,0,12.467503547668457
1836,0,0,0,14.815323829650879
1837,0,0,0,13.825714111328125
1838,0,0,0,14.380762100219727
1839,0,0,0,14.607272148132324
1840,0,0,0,17.106637954711914
1841,0,0,0,17.809762954711914,0,0,0,0,14.822996139526367
1842,0,0,0,17.110584259033203,0,0,0,0,14.95180606842041
1843,0,0,0,16.616539001464844,0,0,0,0,16.081710815429688
1844,0,11.179388999938965,14.515633583068848,18.15923309326172,0,0,0,0,15.768336296081543
1845,0,15.967809677124023,17.38475227355957,18.608213424682617,0,0,0,0,16.757720947265625
1846,0,18.426172256469727,19.738754272460938,19.11243438720703,0,0,0,0,18.409500122070312
1847,0,15.984296798706055,18.662700653076172,16.687211990356445,0,0,0,0,16.52678108215332
1848,0,16.531593322753906,18.096065521240234,18.967849731445312,0,0,0,0,17.302656173706055
1849,0,16.007131576538086,17.06283950805664,19.07063865661621,0,0,0,0,17.614154815673828
1850,0,15.549190521240234,17.586162567138672,17.795907974243164,0,0,0,0,15.403358459472656
1851,0,16.50458335876465,17.113645553588867,18.80055809020996,0,0,0,10.68364429473877,14.877808570861816
1852,0,16.95642852783203,17.92850112915039,19.96592140197754,0,0,0,10.751989364624023,16.33065414428711
1853,17.87542152404785,20.169092178344727,19.98308753967285,19.258668899536133,14.532437324523926,0,0,13.790213584899902,19.291139602661133,19.63589859008789
1854,18.69402313232422,19.97481346130371,18.86811637878418,19.20278549194336,12.878119468688965,0,0,13.06811237335205,15.764524459838867,17.243757247924805
1855,20.39097023010254,19.461589813232422,19.766111373901367,19.786354064941406,15.372223854064941,0,0,14.58462142944336,18.61192512512207,19.149852752685547
1856,15.312317848205566,17.083097457885742,18.20816993713379,18.807025909423828,14.683769226074219,0,0,13.525337219238281,15.86862564086914,18.282033920288086
1857,16.021629333496094,16.676769256591797,17.444366455078125,19.56136703491211,14.152203559875488,0,0,12.760903358459473,17.27935218811035,16.869543075561523
1858,17.48551368713379,20.09056854248047,20.38517189025879,20.748172760009766,16.47553253173828,0,0,15.520255088806152,18.73760223388672,19.73682975769043
1859,16.084625244140625,17.62931251525879,20.239965438842773,17.268190383911133,14.79819393157959,0,0,14.981474876403809,17.658161163330078,17.725263595581055
1860,18.530517578125,20.292051315307617,21.638134002685547,20.764680862426758,16.67168426513672,0,17.131500244140625,17.896745681762695,20.45033836364746,20.196712493896484
1861,20.29073715209961,22.01082420349121,23.359189987182617,23.43856430053711,17.59222412109375,0,20.16413116455078,19.212629318237305,21.17072296142578,20.28066062927246
1862,19.87220573425293,20.502012252807617,21.04863929748535,21.065593719482422,18.838727951049805,0,18.37959098815918,18.855424880981445,20.446727752685547,19.05409049987793
1863,20.221633911132812,20.373275756835938,22.797351837158203,23.004058837890625,17.99919891357422,0,20.213197708129883,18.378660202026367,20.830978393554688,19.020599365234375
1864,21.200965881347656,19.27484893798828,21.32172203063965,19.627620697021484,19.097944259643555,0,17.25598907470703,18.00255584716797,19.411378860473633,18.38445281982422
1865,20.425844192504883,19.118892669677734,22.790376663208008,21.433439254760742,14.583916664123535,19.838823318481445,18.568378448486328,14.869221687316895,16.119428634643555,18.559070587158203
