year,DradBIL01_,DradBIL02_,DradBIL04_,DradBIL06_,DradBIL07_,DradBIL10_,DradBIL11_,DradBIL13_,DradBIL14_,DradBIL16_
1835,0,0,0,12.701778411865234
1836,0,0,0,15.041407585144043
1837,0,0,0,14.588135719299316
1838,0,0,0,15.773331642150879
1839,0,0,0,15.774142265319824
1840,0,0,0,19.79807472229004
1841,0,0,0,19.545642852783203,0,0,0,0,15.255962371826172
1842,0,0,0,21.309839248657227,0,0,0,0,15.586553573608398
1843,0,0,0,19.87346076965332,0,0,0,0,17.25779151916504
1844,0,10.283626556396484,12.394678115844727,18.623706817626953,0,0,0,0,15.149901390075684
1845,0,17.67549705505371,19.235933303833008,22.619186401367188,0,0,0,0,18.988691329956055
1846,0,19.977537155151367,21.70542335510254,23.342145919799805,0,0,0,0,21.15054702758789
1847,0,15.331340789794922,22.440513610839844,19.366317749023438,0,0,0,0,18.76922035217285
1848,0,17.95152473449707,21.8028621673584,23.838228225708008,0,0,0,0,20.22157859802246
1849,0,16.536256790161133,19.298070907592773,23.60499382019043,0,0,0,0,20.357772827148438
1850,0,17.528955459594727,19.277814865112305,19.12506675720215,0,0,0,0,17.851457595825195
1851,0,17.939668655395508,18.914491653442383,21.501590728759766,0,0,0,9.748793601989746,17.91795539855957
1852,0,17.485387802124023,19.351715087890625,20.214672088623047,0,0,0,9.857651710510254,19.89118766784668
1853,17.470714569091797,21.649084091186523,22.12325668334961,19.354652404785156,13.37288761138916,0,0,12.440836906433105,22.783403396606445,20.833406448364258
1854,20.803329467773438,21.800291061401367,19.6138973236084,19.67635726928711,12.569119453430176,0,0,12.357047080993652,17.13555335998535,18.42867660522461
1855,22.430435180664062,21.83308982849121,22.364809036254883,18.48679542541504,14.068665504455566,0,0,13.714980125427246,21.71629524230957,23.061660766601562
1856,13.749038696289062,17.39992904663086,20.312789916992188,17.75594711303711,11.912495613098145,0,0,13.429719924926758,16.130552291870117,19.279664993286133
1857,14.452178001403809,17.836347579956055,17.665164947509766,19.980785369873047,10.873543739318848,0,0,13.010947227478027,16.901832580566406,17.770605087280273
1858,18.723325729370117,22.815013885498047,25.317718505859375,20.881507873535156,14.19788932800293,0,0,17.229429244995117,22.23318862915039,23.320405960083008
1859,15.858166694641113,18.3104248046875,21.984254837036133,15.817815780639648,12.263513565063477,0,0,16.489316940307617,17.575069427490234,18.85396957397461
1860,20.85426902770996,24.582199096679688,24.51734733581543,22.96201515197754,14.95495319366455,0,16.08883285522461,19.47332763671875,24.098751068115234,23.26019859313965
1861,25.796785354614258,29.72779083251953,28.387104034423828,30.186763763427734,16.955976486206055,0,24.44463539123535,23.191282272338867,26.241933822631836,24.727455139160156
1862,21.366436004638672,20.078563690185547,20.840248107910156,19.568510055541992,17.638383865356445,0,16.218210220336914,19.75005531311035,19.745351791381836,20.596263885498047
1863,24.3315372467041,22.952741622924805,26.78645896911621,28.1060848236084,18.19988250732422,0,22.09771156311035,22.79973030090332,22.204736709594727,24.61273193359375
1864,20.569948196411133,18.92355728149414,19.29326057434082,16.978315353393555,17.62868881225586,0,14.922550201416016,17.91985511779785,19.373140335083008,18.621580123901367
1865,20.934972763061523,20.341793060302734,26.903059005737305,24.49359130859375,13.99994945526123,25.16539764404297,19.349733352661133,14.16086483001709,15.019009590148926,22.530000686645508
1866,19.8458194732666,23.400049209594727,24.11526870727539,24.222007751464844,14.78382396697998,30.72702980041504,16.677213668823242,14.004594802856445,20.086740493774414,20.072845458984375
1867,21.901996612548828,24.674030303955078,25.053918838500977,26.12041664123535,14.036608695983887,30.310569763183594,16.34700584411621,15.470222473144531,25.92927360534668,21.92317008972168
1868,19.603456497192383,25.406076431274414,24.153518676757812,29.22205352783203,18.59474754333496,29.63912010192871,18.64669418334961,16.952457427978516,24.703767776489258,23.042020797729492
1869,21.809696197509766,22.195579528808594,27.195573806762695,29.345951080322266,17.75210189819336,27.5722599029541,21.470853805541992,17.176267623901367,25.08457374572754,20.738351821899414
1870,24.380708694458008,25.79147720336914,28.096633911132812,30.08962059020996,21.632442474365234,27.664045333862305,20.240726470947266,19.939380645751953,25.723482131958008,25.824790954589844
1871,25.956199645996094,21.822446823120117,29.076290130615234,32.40647888183594,22.26634407043457,27.123394012451172,22.621723175048828,21.145601272583008,28.16229820251465,27.363859176635742
