year,DtanBIL01_,DtanBIL02_,DtanBIL04_,DtanBIL06_,DtanBIL07_,DtanBIL10_,DtanBIL11_,DtanBIL13_,DtanBIL14_,DtanBIL16_
1835,0,0,0,11.928976058959961
1836,0,0,0,13.918635368347168
1837,0,0,0,12.703107833862305
1838,0,0,0,13.00269603729248
1839,0,0,0,12.701131820678711
1840,0,0,0,14.31338882446289
1841,0,0,0,15.29682731628418,0,0,0,0,15.04186725616455
1842,0,0,0,13.654461860656738,0,0,0,0,14.241874694824219
1843,0,0,0,13.238664627075195,0,0,0,0,14.711949348449707
1844,0,10.893609046936035,13.834122657775879,16.046531677246094,0,0,0,0,15.263431549072266
1845,0,13.442320823669434,14.478313446044922,14.709521293640137,0,0,0,0,14.357134819030762
1846,0,15.718015670776367,16.431344985961914,15.298145294189453,0,0,0,0,15.366191864013672
1847,0,13.260721206665039,14.730572700500488,12.980687141418457,0,0,0,0,13.661356925964355
1848,0,13.920316696166992,14.547370910644531,14.545695304870605,0,0,0,0,14.359662055969238
1849,0,12.507851600646973,13.451438903808594,14.423041343688965,0,0,0,0,14.008395195007324
1850,0,11.754575729370117,13.421035766601562,13.368184089660645,0,0,0,0,12.322187423706055
1851,0,12.700839042663574,13.345803260803223,14.287416458129883,0,0,0,10.156869888305664,11.998047828674316
1852,0,12.406381607055664,13.489848136901855,15.147425651550293,0,0,0,10.145535469055176,12.58910846710205
1853,15.773938179016113,17.60917854309082,16.468822479248047,16.21984100341797,13.526664733886719,0,0,13.594352722167969,15.948684692382812,16.379257202148438
1854,15.05987548828125,15.708776473999023,14.207738876342773,14.359411239624023,10.945992469787598,0,0,12.515982627868652,12.277284622192383,13.812346458435059
1855,16.543886184692383,14.818219184875488,15.56114673614502,16.35515022277832,12.761104583740234,0,0,13.120327949523926,14.833443641662598,15.522056579589844
1856,13.827372550964355,13.42409610748291,13.872289657592773,14.451725959777832,11.55003833770752,0,0,11.594106674194336,12.83126163482666,15.08725643157959
1857,14.437761306762695,12.372821807861328,13.043390274047852,15.129865646362305,11.69244384765625,0,0,10.631339073181152,13.030109405517578,13.580667495727539
1858,14.210752487182617,15.752229690551758,15.320290565490723,15.611872673034668,13.12488842010498,0,0,12.104521751403809,14.579707145690918,15.913527488708496
1859,12.955254554748535,13.710515975952148,16.871585845947266,13.796239852905273,11.913834571838379,0,0,11.658312797546387,14.231399536132812,14.528044700622559
1860,14.535860061645508,15.329578399658203,16.46990203857422,15.642411231994629,14.054879188537598,0,14.206743240356445,13.827324867248535,15.890403747558594,15.679497718811035
1861,16.202550888061523,17.868209838867188,18.09589385986328,18.95416259765625,15.17846393585205,0,16.60711097717285,15.711371421813965,16.832313537597656,16.445741653442383
1862,15.284642219543457,18.175657272338867,16.155643463134766,17.578462600708008,14.69877815246582,0,15.780370712280273,14.164632797241211,17.95073890686035,15.078483581542969
