year,KhBIL01_,KhBIL02_,KhBIL04_,KhBIL06_,KhBIL07_,KhBIL10_,KhBIL11_,KhBIL13_,KhBIL14_,KhBIL16_
1835,0,0,0,2.9428441913515507e-9
1836,0,0,0,5.912267650955716e-9
1837,0,0,0,4.616919122185778e-9
1838,0,0,0,4.679320523548473e-9
1839,0,0,0,8.467071943700675e-9
1840,0,0,0,1.1058102206565046e-8
1841,0,0,0,7.289786593903047e-9,0,0,0,0,1.2730333967846505e-9
1842,0,0,0,1.830901038973197e-8,0,0,0,0,5.700030040242692e-9
1843,0,0,0,8.699667811334568e-9,0,0,0,0,4.319407841672857e-9
1844,0,1.9528912189997885e-10,2.5305502221279063e-9,9.042681354659979e-9,0,0,0,0,4.516777683750816e-9
1845,0,9.257549790564445e-9,2.3797599769638316e-8,2.160001069923673e-8,0,0,0,0,1.290366419439581e-8
1846,0,6.960525944941445e-9,9.90506350617833e-9,9.466722769406716e-9,0,0,0,0,8.479730822433332e-9
1847,0,2.867388985868993e-9,1.4021617966676487e-8,6.793476366242047e-9,0,0,0,0,9.364142390675222e-9
1848,0,4.362375531109312e-9,8.313704526419918e-9,1.0245782865365152e-8,0,0,0,0,8.014719277836428e-9
1849,0,7.463411075844381e-9,1.30197095987527e-8,1.2848714617276866e-8,0,0,0,0,1.5945452762324792e-8
1850,0,9.667477420841006e-9,1.1388175861414503e-8,8.703510312119112e-9,0,0,0,0,9.130211366713484e-9
1851,0,9.009353139056297e-9,9.824255353981068e-9,1.1013395811577373e-8,0,0,0,6.029201499683455e-10,7.4068748116692705e-9
1852,0,1.5124801815641867e-8,1.1476413250479336e-8,1.3126480298733747e-8,0,0,0,1.892113605198695e-9,1.148804881708096e-8
1853,6.1361677514148e-9,2.3149785699181956e-8,1.6726334332961003e-8,1.15508505307138e-8,2.7076340032485998e-9,0,0,3.603617444983596e-9,1.3022974138749393e-8,7.949484230244815e-9
1854,2.237913166557657e-8,3.807295198666884e-8,1.7753544398419637e-8,1.3327426989146693e-8,4.4421923240016565e-9,0,0,4.9108843059076475e-9,8.672840203493369e-9,8.867540838822494e-9
1855,1.6343492338515497e-8,2.076439448778675e-8,1.3175616398599223e-8,8.208797123706769e-9,7.546703389517282e-9,0,0,5.610958383406715e-9,1.362808337471958e-8,7.993334793518214e-9
1856,9.40055641744906e-10,7.75656611895337e-9,7.922126389742284e-9,5.055468750002915e-9,3.0549032310091843e-9,0,0,4.343347894073039e-9,4.213553449987222e-9,2.466169281344898e-9
1857,1.506743230277158e-9,8.475696797903038e-9,4.988673732722762e-9,7.1353755604702235e-9,1.50692768447601e-9,0,0,4.508008287730118e-9,7.650697926100938e-9,3.108959126069929e-9
1858,3.928830736800255e-9,2.2043383663959098e-8,1.3498423823930175e-8,1.3728129507275e-8,4.44114851462607e-9,0,0,1.1346801212282827e-8,1.454455619684677e-8,1.3207985242810741e-8
1859,3.449799802912513e-9,7.837186094083664e-9,5.298028371740971e-9,4.733165815653827e-9,3.071088423995883e-9,0,0,7.574282147890144e-9,4.9723830155857705e-9,5.3975868578253705e-9
1860,7.261223157007157e-9,1.0926760667038663e-8,1.082019250711509e-8,1.0188140376389514e-8,2.7573415214949876e-9,0,5.006919978097159e-9,1.2892422187797198e-8,8.443316519116513e-9,9.871659915765338e-9
