year;MLABIL01_;MLABIL02_;MLABIL04_;MLABIL06_;MLABIL07_;MLABIL10_;MLABIL11_;MLABIL13_;MLABIL14_;MLABIL16_;aver
1835;0;0;0;122.8507385;;;;;;;30.71268463
1836;0;0;0;171.7299042;;;;;;;42.93247604
1837;0;0;0;152.6078949;;;;;;;38.15197372
1838;0;0;0;170.1390839;;;;;;;42.53477097
1839;0;0;0;167.6478882;;;;;;;41.91197205
1840;0;0;0;235.1141663;;;;;;;58.77854156
1841;0;0;0;249.3086243;0;0;0;0;181.4893341;;47.86643982
1842;0;0;0;241.3916473;0;0;0;0;177.5705872;;46.55135939
1843;0;0;0;220.6366577;0;0;0;0;205.4922485;;47.34765625
1844;0;90.76850128;144.8218536;248.2059021;0;0;0;0;190.0548859;;74.87234921
1845;0;196.1799622;231.2210541;278.8294678;0;0;0;0;222.590332;;103.2023129
1846;0;259.9194641;296.9500732;300.2583923;0;0;0;0;267.0481262;;124.9084507
1847;0;175.7189026;276.7376709;215.7424011;0;0;0;0;211.7124481;;97.76793586
1848;0;206.3722076;261.8919678;290.7555542;0;0;0;0;236.0330658;;110.5614217
1849;0;180.8708649;220.3224335;291.5468445;0;0;0;0;240.653244;;103.7103763
1850;0;176.6961823;224.8216095;229.094162;0;0;0;0;183.9584808;;90.50782606
1851;0;196.8318329;215.7993011;265.6973877;0;0;0;84.58100891;175.9065399;;104.3128967
1852;0;197.6829681;228.5865326;276.473175;0;0;0;85.2772522;211.7826691;;111.0891774
1853;229.1632538;311.0786743;301.1754761;266.7313538;152.6887207;0;0;142.6734467;296.2324219;284.8216248;198.4564972
1854;263.1597595;293.4365234;246.9507446;255.6245422;120.0628433;0;0;129.0694733;181.3290253;215.7086945;170.5341606
1855;310.903595;279.5670471;294.1974182;269.7630615;168.348877;0;0;156.500473;270.2892151;291.7441711;204.1313858
1856;159.5009308;203.2400513;244.7888031;235.3504639;136.8678436;0;0;134.8134766;176.3765717;243.33255;153.4270691
1857;173.8567047;194.1870117;206.1504822;267.9200439;122.9011154;0;0;118.3851776;199.2572021;204.8792572;148.7536995
1858;222.6632538;308.6542053;330.8990479;297.3600159;180.0838318;0;0;180.9024353;274.0465088;308.3832703;210.2992569
