year,MRWBIL01_,MRWBIL02_,MRWBIL04_,MRWBIL06_,MRWBIL07_,MRWBIL10_,MRWBIL11_,MRWBIL13_,MRWBIL14_,MRWBIL16_
1835,0,0,0,819.046875
1836,0,0,0,771.4349975585938
1837,0,0,0,536.4527587890625
1838,0,0,0,448.2842102050781
1839,0,0,0,783.9653930664062
1840,0,0,0,679.89453125
1841,0,0,0,455.476318359375,0,0,0,0,542.8828125
1842,0,0,0,1182.439697265625,0,0,0,0,1299.1207275390625
1843,0,0,0,640.7235717773438,0,0,0,0,720.9879760742188
1844,0,258.65625,519.90625,813.9951782226562,0,0,0,0,695.1737670898438
1845,0,1318.4111328125,1544.1717529296875,1193.2606201171875,0,0,0,0,1119.6707763671875
1846,0,593.7744750976562,424.83111572265625,540.6729736328125,0,0,0,0,494.20147705078125
1847,0,366.3468933105469,723.0653076171875,506.01434326171875,0,0,0,0,733.9585571289062
1848,0,479.2735595703125,495.53173828125,510.8577575683594,0,0,0,0,528.6300659179688
1849,0,838.7952270507812,902.8074340820312,663.9300537109375,0,0,0,0,940.444091796875
1850,0,1151.1917724609375,735.6477661132812,525.436279296875,0,0,0,0,849.2461547851562
1851,0,831.6278076171875,695.3880004882812,613.6876831054688,0,0,0,236.4921875,805.7109985351562
1852,0,1254.865966796875,745.1517333984375,661.8164672851562,309.625,0,0,544.9422607421875,972.8294677734375
1853,863.8125,1131.578857421875,797.4990844726562,637.9393920898438,610.3029174804688,0,0,378.06884765625,766.1928100585938,578.1015625
1854,1117.2388916015625,1548.10546875,903.7512817382812,738.4688720703125,926.2776489257812,0,0,610.2804565429688,897.5546264648438,636.3057250976562
1855,663.1363525390625,994.37890625,746.2694702148438,531.7797241210938,683.9191284179688,0,0,501.0547790527344,847.9940185546875,419.981689453125
1856,95.23480987548828,528.8911743164062,556.2955322265625,300.79638671875,295.7010803222656,0,0,483.9941711425781,386.1694030761719,154.51589965820312
1857,124.13362884521484,671.5291137695312,397.81280517578125,375.6004333496094,163.3841094970703,0,0,669.72607421875,557.7525024414062,246.81178283691406
1858,252.02297973632812,1003.6555786132812,631.8060913085938,597.5150146484375,315.5521545410156,0,0,943.134765625,812.5513305664062,633.768798828125
1859,287.7952575683594,534.5711669921875,275.5484619140625,344.7278137207031,295.9602355957031,0,333.1796875,668.482177734375,339.8565673828125,342.8602294921875
1860,403.9334716796875,531.3915405273438,403.7239990234375,459.5831298828125,207.28587341308594,0,405.26947021484375,691.4334716796875,402.8312683105469,443.0302734375
1861,708.8661499023438,658.7279663085938,654.0469970703125,783.6845092773438,445.104736328125,0,709.7709350585938,883.2894287109375,575.0402221679688,786.1861572265625
1862,891.2047729492188,422.2579345703125,608.2743530273438,519.8150024414062,384.10540771484375,0,497.88604736328125,871.4923706054688,345.08929443359375,798.469482421875
1863,886.584716796875,490.7585754394531,821.9800415039062,744.0296630859375,424.8742980957031,0,535.08642578125,846.2996215820312,447.63397216796875,774.626220703125
1864,543.7916259765625,212.66868591308594,418.1908874511719,323.8545227050781,189.0646209716797,0,323.8104248046875,267.70892333984375,212.37158203125,361.97210693359375
1865,436.84954833984375,252.25747680664062,695.2221069335938,468.9137878417969,325.015380859375,652.3671875,369.6546630859375,308.4156799316406,335.45947265625,360.37469482421875
1866,522.14453125,356.3135681152344,534.3074340820312,673.0477294921875,697.1373291015625,440.281982421875,242.17593383789062,340.1775817871094,732.3544311523438,427.04376220703125
1867,447.50469970703125,556.7079467773438,375.6105041503906,558.4564208984375,788.46240234375,527.4171752929688,233.4266357421875,428.1000061035156,609.6950073242188,366.48455810546875
1868,422.4245300292969,522.1827392578125,330.2469177246094,501.0701904296875,782.73388671875,332.5982971191406,317.9078063964844,379.4241638183594,479.0058288574219,526.5691528320312
1869,569.9149780273438,512.3217163085938,388.2500305175781,427.2264709472656,491.1168212890625,363.0367736816406,386.3550720214844,410.4856262207031,474.8945007324219,297.4205017089844
1870,1004.5121459960938,692.3948974609375,598.1041259765625,765.7342529296875,726.1807861328125,618.7161254882812,449.40399169921875,864.8931274414062,634.0859375,727.9949951171875
1871,819.4625854492188,334.42596435546875,439.8207702636719,532.1943969726562,494.6309814453125,319.6676940917969,516.5821533203125,605.3384399414062,468.3849792480469,652.8580932617188
1872,651.4085083007812,255.2534942626953,400.0480651855469,647.7908325195312,495.4685363769531,228.1806182861328,544.7172241210938,739.4418334960938,352.4439392089844,510.646728515625
1873,1136.2410888671875,786.264892578125,607.756591796875,803.0347290039062,744.7014770507812,502.2911682128906,681.1875,1183.9193115234375,311.8916320800781,747.5234375
1874,1031.9420166015625,468.414306640625,776.0339965820312,384.70855712890625,580.8477783203125,652.8652954101562,901.399658203125,994.2997436523438,179.68508911132812,496.0513610839844
1875,1400.8514404296875,362.9598388671875,830.2168579101562,439.6232604980469,659.5806884765625,781.2489013671875,955.1902465820312,1115.49658203125,338.9696044921875,585.4290161132812
1876,1155.0572509765625,587.3782348632812,759.7758178710938,407.4897766113281,801.2666015625,619.6383056640625,1149.9117431640625,725.8757934570312,364.285888671875,399.5990905761719
