year,MRadDistBIL01_,MRadDistBIL02_,MRadDistBIL04_,MRadDistBIL06_,MRadDistBIL07_,MRadDistBIL10_,MRadDistBIL11_,MRadDistBIL13_,MRadDistBIL14_,MRadDistBIL16_
1835,0,0,0,819.046875
1836,0,0,0,1604.3515625
1837,0,0,0,2148.2265625
1838,0,0,0,2603.2265625
1839,0,0,0,3394.5546875
1840,0,0,0,4081.40625
1841,0,0,0,4539.6328125,0,0,0,0,542.8828125
1842,0,0,0,5722.4140625,0,0,0,0,1881.9453125
1843,0,0,0,6363.484375,0,0,0,0,2636.03125
1844,0,258.65625,519.90625,7176.40625,0,0,0,0,3349.8984375
1845,0,1574.953125,2069.359375,8370.71875,0,0,0,0,4487.8125
1846,0,2171.8359375,2495.96875,8911.859375,0,0,0,0,4988.4140625
1847,0,2538.484375,3219.9453125,9420.421875,0,0,0,0,5729.8125
1848,0,3019.6875,3716.671875,9931.8515625,0,0,0,0,6261.1640625
1849,0,3857.15625,4621.3046875,10596.4453125,0,0,0,0,7206.9921875
1850,0,5006.5234375,5358.3203125,11123.1953125,0,0,0,0,8058.234375
1851,0,5836.7890625,6054.9140625,11737.15625,0,0,0,236.4921875,8864.0703125
1852,0,7090.71875,6801.46875,1144.71875,309.625,0,0,785.1171875,9836.7421875
1853,863.8125,2808.2890625,7601.171875,1784.46875,926.9296875,0,0,1171.171875,10601.3984375,578.1015625
1854,1992.109375,4366.078125,8508.25,2524.734375,1849.8671875,0,0,1795.75,989.640625,1213.671875
1855,2661.1875,5361.2109375,9256.2265625,3057.0390625,2533.234375,0,0,2304.6796875,1838,1633.65625
1856,2757.3984375,5891.2890625,9814.5078125,3357.9609375,2829.46875,0,0,2794.59375,2224.3984375,1788.6796875
1857,2882.125,6563.4375,10215.734375,3733.8828125,2993.2734375,0,0,3469.46875,2782.875,2036.2265625
1858,3136.2421875,7568.1875,1240.796875,4333.5546875,3309.203125,0,0,1065.5859375,3596.2265625,2669.6171875
1859,3425.578125,8101.5,1522.53125,4678.25,3605.515625,0,333.1796875,1736.359375,3935.6640625,3012.59375
1860,3831.609375,8634.3984375,1933.3515625,5137.4453125,3813.4765625,0,741.2734375,5653.0703125,4338.2109375,3455.21875
1861,4545.03125,9290.6875,2595.9375,5920.2265625,4259.8828125,0,1458.140625,6537.359375,4912.7109375,4243.3515625
1862,5442.5,780.8828125,3208.390625,6440.8984375,4645.578125,0,1960.3359375,4167.078125,5259.0390625,5041.8125
1863,6334.5234375,1273.8046875,4039.953125,7188.0625,5071.1171875,0,2498.3671875,5012.6484375,5706.3515625,1731.7890625
1864,956.2734375,1487.9375,4462.3203125,7511.421875,5260.359375,0,2823.671875,5281.9296875,5918.6640625,6063.15625
1865,1395.0625,1741.7734375,5163.25,7982.921875,5585.765625,652.3671875,3194.890625,5592.0546875,6253.40625,2458.4296875
1866,1919.1484375,2101.5390625,5699.859375,8658.171875,6290.15625,1099.375,3437.96875,5931.546875,6983.8046875,2885.8359375
1867,2368.484375,2661.7734375,6076.578125,9216.4609375,7095.5,1637.421875,3672.0546875,6360.15625,7594.9921875,3252.671875
1868,2792.3203125,3185.59375,6408.453125,9717.796875,7905.4609375,1975.4609375,3990.6171875,6739.2890625,8075.09375,3778.6953125
1869,3364.8515625,3698.4296875,6796.1875,10143.7578125,1106.9375,2342.4765625,4379.203125,767.9609375,8550.1015625,4077.5703125
1870,4374.3515625,4391.6796875,7397.328125,10911.3515625,1834.953125,2965.9375,4829.65625,1632.65625,9184.71875,4804.6875
1871,5198.5,4727.265625,7840,11445.703125,2329.0859375,3287.1484375,5345.515625,2238.65625,9654.9296875,5455.8984375
1872,5851.4765625,4985.5859375,8241.828125,1108.984375,949.1796875,3516.296875,5890.4609375,2978.2890625,628.7109375,5965.140625
1873,6988.5703125,5768.9375,1165.1015625,1944.0546875,1693.984375,4019.2890625,681.1875,4162.53125,941.703125,6710.6328125
1874,8022.7109375,6236.6875,1941.34375,2341.5390625,2275.5859375,4671.046875,1589.640625,5156.390625,1122.2109375,7208.953125
1875,2646.796875,6601.78125,2770.34375,2793.65625,2935.875,5451.8359375,2552.5390625,6274.40625,1461.9375,7792.890625
1876,3803.0625,7189.859375,3529.2421875,3210.3515625,3737.546875,6070.7109375,3710.8671875,7000.8203125,1826.59375,8192.2890625
1877,4543.7109375,7622.5859375,4278.359375,3641.390625,4365.84375,6454.484375,4599.0546875,7464.5234375,2280.0625,8643.234375
1878,5154.0546875,8129.5546875,5149.8828125,4057.578125,5012.6953125,6788.765625,5200.125,7878.09375,2719.859375,1444.65625
1879,5773.5546875,8769.1875,5824.375,4548.2734375,5467.984375,7255.8046875,5945.375,8402.8828125,3233.7734375,2033.1875
1880,7034.6796875,9565.6796875,7218.296875,5209.265625,6044.0546875,7867.40625,7161.3828125,9310.8671875,4061.0625,2792.1796875
1881,7740.6484375,10162.953125,8343.5703125,5672.28125,6677.46875,8434.5390625,8035.5,9972.171875,4925.2890625,3413.046875
1882,8341.78125,10746.25,9223.7421875,6039.671875,7181.453125,9022.703125,8738.40625,10515.296875,5587.2578125,3920.328125
1883,8958.1328125,1251.15625,9784.0234375,6478.4140625,7592.28125,1318.9453125,1325.6953125,1304.671875,6160.390625,4361.5078125
1884,9705.3515625,1683.7890625,10508.640625,6978.921875,8111.734375,1857.4921875,10007.640625,2074.6328125,6841.578125,4836.671875
1885,10447.578125,2236.078125,11273.1171875,7589.34375,8658.2421875,2399.8984375,2725.9140625,2807.4921875,7576.03125,5391.703125
1886,10952.453125,2400.0390625,300.96875,7852.359375,8979.8515625,2881.6015625,3139.484375,3254.5703125,7866.28125,5675.7421875
1887,11846.5625,2774.140625,628.6953125,8198.5390625,9291.3828125,3548.6171875,3659.0546875,3817.7734375,8255.7109375,5958.4609375
1888,1666.6328125,3251.71875,1183.8828125,8759.84375,9851.9609375,4522.6796875,4347.2890625,4832.8046875,9023.703125,6510.0859375
1889,2382.3125,3597.546875,1614.515625,9174.6953125,10283.875,5178.1796875,4991.875,5624.9453125,9638.1015625,6897.859375
1890,2786.3359375,3795.4140625,1933.09375,9389.5078125,10656.609375,5596.5,5299.2734375,6023.390625,1213.53125,7166.6875
1891,3789.734375,4195.9609375,2547.828125,10019.203125,11363.4453125,6305.9140625,5862.109375,7015.734375,1993.4296875,7743.3828125
1892,4543.703125,4375.34375,3125.203125,10418.9453125,11901.3203125,6927.3671875,6233.5078125,7744.9609375,2517.8359375,8000.28125
1893,5081.921875,4504.78125,3419.203125,10556,1317.046875,7180.9296875,6525.9296875,8049.15625,2661.9609375,8102.6640625
1894,6146.4375,4927.484375,5051.515625,11051.15625,2034.5546875,8011.421875,7282.78125,9095.6171875,3230.296875,8513.8828125
1895,6868.9921875,5248.2578125,5648.9140625,11399.203125,2429.921875,8658.2578125,7846.8046875,9596.5703125,3619.78125,8897.28125
1896,7376.3203125,5409.171875,6112.578125,11618.28125,2700.6875,9040.6640625,8229.7109375,9832.4453125,3877.0546875,9165.328125
1897,7983.375,5694.65625,6721.5390625,11911.4296875,3065.015625,3952.984375,8731.390625,10087.234375,4312.0859375,9612.5625
1898,1703.7578125,6100.5,7381.0859375,12233.96875,3615.3828125,4692.265625,9274.7890625,10517.890625,4843.4921875,10208.015625
1899,2063.5546875,6323.4453125,7731.625,12329.578125,3881.0234375,5160.4140625,9569.5625,10754.765625,5170.296875,10543.3046875
1900,3046.015625,6809.6640625,8331.1171875,12550.671875,4276.8515625,5856.328125,10246.2109375,11379.4140625,5662.078125,11209.9609375
1901,3922.734375,7237.28125,9056.9140625,12797.734375,4718.4296875,6780.953125,1646.9609375,11960.3359375,6146.4375,2717.21875
1902,5490.0234375,7925.4296875,2039.8671875,13118.875,5520.484375,7838.6796875,2392.0859375,12955.7890625,6864.65625,3626.953125
1903,6617.9609375,8460.9375,2794.4296875,13360.4453125,6007.90625,8502.0078125,2879.9609375,2290.2421875,7410.859375,4123.078125
1904,7459.5859375,755.7265625,3685.71875,13634.7265625,6514.9140625,9122.0234375,3541.609375,3133.9921875,8156.15625,4747.984375
1905,7715.234375,960.1796875,3982.859375,314.5546875,6713.75,9425.4375,3829.3828125,3362.78125,8486.640625,4918.6328125
1906,8304.0234375,1367.9296875,4444.6171875,585.359375,7094.46875,9981.2890625,4317.453125,3870.4296875,9002.015625,5311.3515625
1907,9319.875,1979.8046875,6088.4296875,958.90625,7633.7265625,10750.7890625,5052.6875,4735.171875,9611.5078125,6007.96875
1908,9967.140625,2506.65625,6992.6171875,1181.7890625,8035.3671875,1080.328125,5630.3828125,5322.1328125,879.5625,6448.8828125
1909,10474.703125,2723.3046875,7237.2265625,1274.5390625,8249.4296875,1556.546875,5971.8984375,5562.546875,1237.7109375,6627.28125
1910,11118.203125,2987.0390625,7663.0625,1388.8046875,8595.453125,2014.21875,6332.9375,5879.0390625,1598.46875,6939.03125
1911,12219.46875,3693.8359375,8116.6328125,1703.390625,9063.015625,2610.125,7103.2265625,6497.0078125,2136.984375,7440.953125
1912,1292.875,4278.984375,8933.4140625,1921.078125,9569.15625,3172,7736.40625,6934.734375,2804.7265625,8002.03125
1913,1707.46875,4694.578125,9315.125,2064.234375,2339.265625,3740.6640625,8231,7183.734375,3441.5625,8317.7421875
1914,2755.59375,5573.421875,10268.0703125,2471.515625,2856.8671875,4398.2890625,1009.1640625,7780,4359.609375,8891.1796875
