year,MaxLABIL01_,MaxLABIL02_,MaxLABIL04_,MaxLABIL06_,MaxLABIL07_,MaxLABIL10_,MaxLABIL11_,MaxLABIL13_,MaxLABIL14_,MaxLABIL16_
1835,0,0,0,552.7476806640625
1836,0,0,0,712.129150390625
1837,0,0,0,531.0200805664062
1838,0,0,0,540.58544921875
1839,0,0,0,599.538818359375
1840,0,0,0,743.2789916992188
1841,0,0,0,875.6281127929688,0,0,0,0,488.5285949707031
1842,0,0,0,918.173828125,0,0,0,0,519.3547973632812
1843,0,0,0,743.7232055664062,0,0,0,0,639.9754638671875
1844,0,623.85986328125,1134.596923828125,1228.0224609375,0,0,0,0,700.864013671875
1845,0,636.1986694335938,970.7359008789062,1071.115478515625,0,0,0,0,850.1607666015625
1846,0,838.9171142578125,1420.429443359375,1360.462158203125,0,0,0,0,878.016357421875
1847,0,751.8257446289062,1620.273681640625,1074.8341064453125,0,0,0,0,712.245849609375
1848,0,838.5865478515625,976.8674926757812,1087.6990966796875,0,0,0,0,766.2255249023438
1849,0,723.9208984375,945.2789916992188,1230.7911376953125,0,0,0,0,917.7278442382812
1850,0,1122.948974609375,1447.6741943359375,1354.1094970703125,0,0,0,0,707.801513671875
1851,0,977.1682739257812,1245.898681640625,1381.2021484375,0,0,0,378.9798889160156,771.8826293945312
1852,0,976.4907836914062,2032.6131591796875,1310.315673828125,0,0,0,597.6737670898438,850.2911376953125
1853,1105.8302001953125,1535.5203857421875,2457.9140625,1903.20068359375,823.531005859375,0,0,507.5863952636719,1443.811279296875,948.5154418945312
1854,982.867919921875,1233.3875732421875,1185.2733154296875,1382.744384765625,818.8751831054688,0,0,569.1419067382812,927.4944458007812,932.5580444335938
1855,1333.2525634765625,1123.339599609375,1263.444091796875,1287.4210205078125,823.9271240234375,0,0,700.3257446289062,954.1292114257812,1192.6956787109375
1856,604.7076416015625,867.497802734375,892.5778198242188,1297.48486328125,916.3206176757812,0,0,539.4126586914062,933.6102905273438,1000.4326782226562
1857,653.7947387695312,746.7174682617188,1045.133056640625,1051.196044921875,712.7781372070312,0,0,806.2720336914062,1906.03759765625,768.3065795898438
1858,702.3665771484375,1146.1983642578125,2103.375244140625,1389.2159423828125,1053.377685546875,0,0,830.27099609375,1424.6083984375,1014.8255615234375
1859,924.4320068359375,898.4119873046875,2150.250732421875,1097.34228515625,937.7274780273438,0,0,698.2994384765625,1449.7474365234375,1016.3719482421875
1860,809.7982177734375,1093.8553466796875,1601.32861328125,1151.365966796875,831.6903686523438,0,949.3056030273438,919.9507446289062,1571.53857421875,1019.5545654296875
1861,972.5267333984375,1135.904052734375,2459.896484375,1748.4200439453125,1168.1673583984375,0,1097.0277099609375,1023.172119140625,1658.2386474609375,1093.0697021484375
1862,1632.874267578125,1048.33349609375,2167.43212890625,1375.203857421875,1196.4959716796875,0,1155.3408203125,1506.66357421875,1667.7918701171875,938.0288696289062
1863,1754.1201171875,901.30859375,2058.5849609375,2097.447509765625,880.7182006835938,0,1221.50341796875,1026.6507568359375,1683.6021728515625,795.500732421875
1864,1608.8109130859375,1492.9971923828125,1737.344970703125,1245.2320556640625,1259.9273681640625,0,1078.403564453125,951.4712524414062,2115.40087890625,1093.779296875
1865,2080.087890625,1703.1572265625,1771.8590087890625,1185.50146484375,741.0999145507812,1178.9969482421875,1201.204345703125,933.4896850585938,1256.00244140625,899.5109252929688
1866,1436.4537353515625,865.6259155273438,1767.1290283203125,1403.3671875,932.9228515625,1166.1322021484375,1245.5198974609375,830.4140014648438,2484.8935546875,1388.2288818359375
1867,1823.3421630859375,939.38720703125,1226.176025390625,1127.9537353515625,1151.8367919921875,1237.720703125,985.7492065429688,822.8306274414062,1487.226318359375,828.0487670898438
1868,1028.29638671875,1226.104736328125,2403.189697265625,1097.9842529296875,1086.9071044921875,1188.2576904296875,1208.7022705078125,823.3064575195312,1660.0150146484375,1407.9471435546875
1869,2065.18408203125,1718.2630615234375,2151.814697265625,1854.723388671875,899.4265747070312,1109.2352294921875,1167.6318359375,1308.8795166015625,2178.937744140625,823.46923828125
1870,2133.451904296875,1370.7344970703125,2099.800537109375,1631.356201171875,1246.4532470703125,2372.608642578125,1234.7779541015625,1190.6519775390625,2310.89306640625,981.7972412109375
1871,2455.212158203125,2142.881103515625,2321.292236328125,1651.158203125,1043.665771484375,1505.50634765625,1526.473388671875,1268.6617431640625,2311.442138671875,1424.419189453125
1872,1860.5948486328125,1110.4200439453125,1602.26806640625,1241.5867919921875,1289.34619140625,1800.347900390625,1669.4478759765625,1396.40625,2188.45654296875,974.21923828125
1873,2354.240478515625,1242.2305908203125,2046.0048828125,1451.603271484375,1529.9566650390625,2326.116455078125,1265.643798828125,1418.666015625,1422.392578125,1245.79736328125
1874,2355.02880859375,1532.26904296875,2379.439453125,1260.7744140625,1891.5067138671875,1797.717041015625,1341.0489501953125,1651.7127685546875,1057.976806640625,1448.591552734375
1875,2162.639892578125,1272.8182373046875,2274.811767578125,1362.0013427734375,1756.1632080078125,2459.5771484375,1554.34521484375,2161.948974609375,2133.7236328125,1502.3026123046875
1876,1948.937744140625,1129.5029296875,1548.637451171875,1012.71630859375,1594.289794921875,2481.65869140625,1537.1580810546875,1376.1910400390625,1373.6082763671875,1540.7603759765625
1877,2166.33056640625,1455.56494140625,2478.18701171875,1169.6112060546875,1576.11279296875,2439.4287109375,1369.9228515625,1129.245849609375,1388.0032958984375,1427.1810302734375
1878,2288.31640625,2002.7789306640625,2216.947509765625,1479.800048828125,1807.5289306640625,2274.165771484375,1456.9886474609375,1283.5819091796875,2297.40625,1892.419921875
1879,1555.4739990234375,2290.43017578125,2489.251220703125,1692.8817138671875,1488.06640625,1924.3916015625,1389.960693359375,1477.318359375,2407.07568359375,1514.482177734375
1880,2058.82568359375,1655.3616943359375,2466.16015625,1571.936767578125,1444.8216552734375,2127.00634765625,1523.196533203125,1703.6544189453125,2125.17919921875,2051.23095703125
1881,1346.148681640625,1444.8880615234375,2409.50390625,1737.4521484375,1599.066650390625,2059.7216796875,1482.589111328125,1586.498291015625,1436.6292724609375,1642.4000244140625
1882,1322.697265625,1920.7618408203125,1841.9461669921875,1519.4052734375,1346.129150390625,2427.43212890625,1507.779052734375,1140.0174560546875,2032.591064453125,1981.7242431640625
