year,MaxRWBIL01_,MaxRWBIL02_,MaxRWBIL04_,MaxRWBIL06_,MaxRWBIL07_,MaxRWBIL10_,MaxRWBIL11_,MaxRWBIL13_,MaxRWBIL14_,MaxRWBIL16_
1835,0,0,0,1201.21875
1836,0,0,0,933.7578125
1837,0,0,0,652.828125
1838,0,0,0,598.3671875
1839,0,0,0,1055.9375
1840,0,0,0,859.1640625
1841,0,0,0,536,0,0,0,0,1102.125
1842,0,0,0,1220.5859375,0,0,0,0,2119.2890625
1843,0,0,0,709.53125,0,0,0,0,1307.0546875
1844,0,387.0078125,672.7890625,836.046875,0,0,0,0,986.03125
1845,0,1457.0546875,1686.3359375,1218.75,0,0,0,0,1262.6328125
1846,0,664,517.34375,564.4765625,0,0,0,0,583.7578125
1847,0,393.1875,779.671875,558.5625,0,0,0,0,777.8984375
1848,0,508.546875,562.3046875,537.8515625,0,0,0,0,598.7734375
1849,0,874.3828125,994.9765625,692.7421875,0,0,0,0,983.0703125
1850,0,1184.2578125,760.65625,592.9921875,0,0,0,0,883.2265625
1851,0,893.0390625,742.375,645.2578125,0,0,0,641.78125,835.4140625
1852,0,1325.4375,786.1484375,695.7421875,816.359375,0,0,1006.8359375,1006.578125
1853,1051,1264.4609375,847.6796875,682.875,818.90625,0,0,750.2265625,809.78125,696.9375
1854,1231.078125,1681.4296875,970.4453125,783.7421875,1030.359375,0,0,1136.8984375,982.453125,745
1855,686.4765625,1050.234375,793.21875,555.9375,775.5390625,0,0,700.4921875,901.1796875,454.6015625
1856,120.2421875,558.6953125,580.3359375,320.71875,338.2265625,0,0,737.953125,424.3046875,185.140625
1857,154.6171875,710.75,439.2109375,401,224.5546875,0,0,740.515625,600.1796875,293.46875
1858,278.5078125,1083.8125,685.125,635.25,348.40625,0,0,1049.2734375,860.828125,699.75
1859,309.796875,601.296875,300.015625,373.171875,342.9375,0,528.765625,724.875,364.0078125,364.5078125
1860,425.6640625,560.8125,455.265625,503.1328125,224.1015625,0,473.78125,721.15625,435.1953125,472.8515625
1861,743.8828125,762.671875,742.1171875,843.4765625,481.5859375,0,777.609375,914.9765625,602.4609375,839.4140625
1862,951.21875,491.5546875,658.84375,561.3984375,437.5078125,0,568.6171875,929.0625,386.3984375,835.09375
1863,935.8671875,537.578125,894.6015625,785.671875,469.9375,0,604.6171875,872.8828125,482.015625,800.484375
1864,625.8125,243.078125,496.2265625,370.2109375,234.40625,0,362.578125,308.5390625,269,383.6484375
1865,472.6171875,301.4609375,743.96875,511.78125,399.265625,898.21875,400.53125,385.015625,421.3203125,384.09375
1866,559.5703125,416.8359375,582.8671875,698.734375,927.3125,490.3359375,313.5078125,403.5234375,781.0078125,453.125
1867,493.375,599.828125,401.921875,603.453125,973.9453125,571.46875,273.171875,453.4453125,637.9453125,386.84375
1868,449.4453125,564.734375,351.8515625,545.28125,940.2421875,388.0859375,375.6953125,398.9765625,509.140625,562.1953125
1869,607.6875,572.0546875,410.9921875,451.265625,590.59375,443.984375,423.0078125,444.3828125,513.3046875,329.4609375
1870,1047.875,740.046875,632.34375,862.4453125,872.296875,667.6640625,503.6015625,943.4765625,657.21875,765.4140625
1871,868.703125,367.765625,465.5859375,575.578125,525.96875,418.484375,546.46875,629.90625,496.3984375,716.1484375
1872,739.671875,336.8515625,443.3515625,735.5,546.5390625,310.6328125,579.109375,763.7265625,387.875,538.796875
1873,1175.390625,850.453125,629.6328125,961.1875,787.4609375,552.15625,849.3671875,1219.796875,344.328125,790.25
1874,1091.921875,495.171875,835.8359375,413.828125,637.8984375,706.890625,967.59375,1042.8125,231.34375,539.2421875
1875,1454.0390625,465.6015625,876.21875,519.390625,700.2109375,860.8984375,1002.8828125,1172.6171875,381.2109375,615.7109375
1876,1212.1796875,649.828125,843.5546875,509.5546875,854.4296875,651.5703125,1239.3125,755.1953125,441.65625,425.21875
1877,807.5,492.6875,776.140625,499.0390625,676.7734375,442.0234375,923.4140625,487.9296875,509.8046875,480.4609375
1878,642.484375,542.390625,933.1171875,458.7890625,680.171875,354.6328125,664,445.125,516.6171875,521.6328125
1879,653.4609375,673.6171875,716.4453125,534.5,476.8984375,517.5390625,797.7109375,547.5546875,552.7265625,606.90625
1880,1318.75,861.90625,1422.8046875,705.5859375,603.6484375,671.1953125,1261.1640625,945.4921875,968.8828125,805.453125
1881,747.9765625,633.796875,1162.265625,487.0703125,690.453125,583.546875,903.1328125,709.7890625,1020.046875,653.546875
1882,665.6328125,632.984375,1048.859375,443.78125,530.03125,624.171875,731.4765625,578.6015625,740.84375,538
1883,645.765625,405.7578125,590.3046875,464.140625,446.0703125,561.0390625,631.6796875,759.46875,634.7265625,460.578125
1884,819.84375,457.9296875,753.796875,540.4921875,543.3359375,570.0390625,790.7265625,828.953125,742.3046875,531.2890625
1885,802.859375,594.5625,801.03125,661.2890625,607.2734375,581.75,658.078125,778.59375,811.8046875,582.1640625
1886,549.5625,205.1953125,324.53125,289.5234375,337.53125,545.0859375,445,473.5859375,312.984375,321.75
1887,981.7265625,410.2890625,348.609375,368.609375,351.28125,696.9921875,552.4140625,609.7578125,421.921875,310.3671875
1888,1317.1171875,538.796875,572.703125,599.8984375,600.7734375,1017.8671875,745.6640625,1067.3984375,825.890625,609.1953125
1889,798.1484375,363.328125,473.953125,443.4140625,457.59375,670.515625,717.2109375,828.875,737.6640625,423.078125
1890,423.3515625,211.296875,344.34375,276.5390625,423.1953125,446.546875,342.5546875,414.2109375,477.84375,309.03125
1891,1059.6328125,420.734375,672.6640625,697.9453125,730.765625,735.8046875,591.5,1060.390625,840.5703125,617.5390625
1892,783.484375,213.46875,620.1328125,453.6953125,571.546875,652.796875,426.8203125,773.7421875,583.640625,305.453125
1893,566.1953125,150.2578125,315.2578125,162.6875,340.84375,272.6796875,314.5546875,333.4921875,170.1171875,126.4296875
1894,1104.21875,457.0234375,1760,554.65625,746.703125,898.203125,803.2890625,1122.859375,597.9140625,439.7265625
1895,758.6875,354.984375,616.8671875,387.921875,419.0625,670.6328125,585.9921875,518.6015625,420.3125,402.65625
1896,583.6796875,191.4140625,504.2890625,267.8125,299.609375,395.796875,426.0390625,265.3359375,313.171875,287.265625
1897,642.90625,308.5,632.0703125,313.703125,387.640625,495.5234375,534.8828125,278.3671875,472.84375,484.9140625
1898,895.984375,436.3125,714.734375,341.8359375,594.7109375,791.1328125,569.609375,456.5078125,566.1640625,646.2890625
1899,380.328125,235.9609375,392.15625,113.65625,297.6875,528.46875,319.421875,266.2578125,351.78125,355.4453125
1900,1020.1328125,513.21875,630.140625,237.8203125,420.2578125,794.90625,711.96875,662.2578125,511.4296875,708.84375
1901,902.671875,459.6015625,794.28125,264.8125,466.8359375,945.3671875,643.84375,624.453125,511.25,731.34375
1902,1655.34375,747.0234375,1564.1796875,348.78125,827.453125,1099.5546875,811.8125,1025.046875,812.5078125,932.2734375
1903,1157.0625,611.8984375,832.3671875,258.03125,521.2421875,717.5,526.8984375,1027.765625,585.84375,513.890625
1904,897.734375,814.625,943.9765625,309,548.5234375,671.8828125,691.3125,868.796875,806.984375,663.2734375
1905,284.65625,247.1875,336.453125,175.546875,214.4453125,341.4140625,317.5390625,251.4609375,377.484375,190.4921875
1906,647.2109375,476.109375,484.65625,293.234375,409.4765625,605.9140625,534.75,537.5078125,569.34375,419.4765625
1907,1055.1484375,632.9921875,1756.890625,425.1796875,574.3359375,817.3359375,778.8671875,903.5078125,634.0390625,744.921875
1908,705.3671875,553.796875,951.0859375,264.8125,434.2421875,625.484375,619.3359375,618.484375,538.40625,470.1015625
1909,553.859375,242.2734375,280.1875,110.984375,240.90625,496.4921875,364.671875,276.921875,393.8359375,203.7109375
1910,683.859375,311.6796875,455.46875,135.6796875,372.5703125,521.7421875,396.078125,336.1484375,394.3125,335.71875
1911,1134.7421875,759.890625,477.953125,343.0234375,488.09375,628.859375,860.171875,646.890625,623.7578125,550.1015625
1912,904.375,631.2265625,866.203125,234.9609375,554.5546875,609.890625,689.109375,475.4453125,757.296875,585.3046875
1913,439.8515625,462.0390625,402.7109375,199.84375,326.640625,624.875,523.8515625,279.234375,669.7578125,336.6875
1914,1099.7421875,910.9296875,990.5078125,434.0859375,554.296875,684.59375,777.4140625,630.453125,956.1796875,601.0234375
1915,957.625,591.90625,1190.3671875,289.109375,467.6875,623.4765625,513.71875,475.140625,690.390625,337.03125
1916,1189.9609375,896.0390625,1180.890625,318.7109375,527.359375,723.78125,856.671875,686.5546875,823.1171875,701.6796875
1917,766.9453125,614.875,616.1015625,219.234375,373.109375,877.515625,633.4375,600.8203125,728.9453125,504.5
1918,1033.7421875,715.375,832.3125,334.9140625,458.046875,834.734375,761,822.4375,1065.28125,751.1796875
1919,727.5234375,418.9609375,801.7265625,200.25,371.7578125,551.3828125,461.8359375,456.84375,642.2265625,242.46875
1920,709.9609375,404.8671875,755.34375,198.984375,383.71875,377.7265625,486.859375,449.5390625,572.8828125,488
