year,MinLABIL01_,MinLABIL02_,MinLABIL04_,MinLABIL06_,MinLABIL07_,MinLABIL10_,MinLABIL11_,MinLABIL13_,MinLABIL14_,MinLABIL16_
1835,0,0,0,20.077415466308594
1836,0,0,0,20.041683197021484
1837,0,0,0,20.00956153869629
1838,0,0,0,20.074708938598633
1839,0,0,0,20.058115005493164
1840,0,0,0,20.285938262939453
1841,0,0,0,20.42426300048828,0,0,0,0,41.1176872253418
1842,0,0,0,20.09095573425293,0,0,0,0,40.319908142089844
1843,0,0,0,21.588237762451172,0,0,0,0,40.01099395751953
1844,0,20.36766242980957,40.01858901977539,20.22043228149414,0,0,0,0,40.10760498046875
1845,0,20.069067001342773,40.00196075439453,24.820262908935547,0,0,0,0,40.18804168701172
1846,0,20.318559646606445,40.094566345214844,20.30167007446289,0,0,0,0,40.09966278076172
1847,0,20.237407684326172,40.027347564697266,20.196725845336914,0,0,0,0,40.13269805908203
1848,0,20.083017349243164,40.14898681640625,20.168445587158203,0,0,0,0,40.06840515136719
1849,0,20.066329956054688,40.03485870361328,20.31941795349121,0,0,0,0,40.180912017822266
1850,0,20.00901222229004,40.035545349121094,20.172714233398438,0,0,0,0,40.03475570678711
1851,0,20.140056610107422,40.05124282836914,20.22029685974121,0,0,0,5.986003398895264,40.00277328491211
1852,0,20.05767250061035,40.1268196105957,20.073728561401367,0,0,0,6.276454448699951,40.00925827026367
1853,40.10834503173828,20.157987594604492,40.117069244384766,20.18846893310547,9.82568359375,0,0,7.6032209396362305,40.18037796020508,40.23026657104492
1854,40.165122985839844,20.262325286865234,40.00291442871094,20.074514389038086,10.436576843261719,0,0,6.25211763381958,40.0186882019043,40.21675491333008
1855,40.05369567871094,20.073381423950195,41.087547302246094,20.009357452392578,8.009891510009766,0,0,7.206933498382568,40.018821716308594,40.08967590332031
1856,40.051361083984375,20.204971313476562,40.03681564331055,20.05832862854004,8.238539695739746,0,0,6.642551422119141,40.018310546875,40.45792007446289
1857,40.00178909301758,20.498065948486328,40.034324645996094,20.067031860351562,8.23807144165039,0,0,8.184240341186523,40.01792907714844,40.001853942871094
1858,40.08359909057617,20.30251693725586,40.116329193115234,20.114887237548828,8.547794342041016,0,0,6.951979637145996,40.051414489746094,40.09921646118164
1859,40.08361053466797,20.026018142700195,43.16896057128906,20.05815315246582,8.05908203125,0,0,9.329183578491211,40.0018310546875,40.11610412597656
1860,40.00228500366211,20.9483699798584,40.13256072998047,20.033578872680664,8.33051872253418,0,9.60577392578125,8.286725044250488,40.05231475830078,40.27930450439453
1861,40.47401428222656,50.30269241333008,40.20098876953125,27.253360748291016,8.086164474487305,0,15.35568618774414,16.44429588317871,40.05168533325195,40.52328109741211
1862,40.026695251464844,12.047926902770996,40.00227737426758,21.388015747070312,8.498756408691406,0,9.5736722946167,8.441415786743164,40.04173278808594,40.1972770690918
1863,40.05324935913086,14.030951499938965,40.2713623046875,23.021562576293945,10.27323055267334,0,9.361435890197754,8.823965072631836,40.295326232910156,40.06721115112305
1864,40.00241470336914,10.007349967956543,40.12376022338867,21.01859474182129,8.465914726257324,0,9.377880096435547,8.88173770904541,40.05432891845703,40.082942962646484
1865,40.01839828491211,10.34647274017334,40.003055572509766,20.220808029174805,8.14041805267334,41.38636016845703,9.532352447509766,6.59359884262085,40.051361083984375,40.07464599609375
1866,40.14859390258789,16.15045928955078,40.06667709350586,20.23005485534668,8.001913070678711,45.70081329345703,9.28043270111084,5.815595626831055,40.01896667480469,40.083587646484375
1867,40.00264358520508,13.361172676086426,40.0023307800293,21.042953491210938,8.001714706420898,42.18947982788086,9.223532676696777,5.909746170043945,40.044376373291016,40.05147933959961
1868,40.132667541503906,10.387722969055176,40.11923599243164,21.1979923248291,8.064644813537598,45.11433410644531,9.109427452087402,7.082423210144043,40.050148010253906,40.257568359375
1869,40.01861572265625,10.82603931427002,40.11555099487305,20.132492065429688,9.00332260131836,44.32748794555664,9.036092758178711,11.315288543701172,40.08989715576172,40.094730377197266
1870,40.16558837890625,10.27350902557373,40.34488296508789,24.35886573791504,9.160659790039062,40.247196197509766,9.157557487487793,11.169160842895508,40.03505325317383,40.027015686035156
1871,40.03553771972656,10.300353050231934,40.1326789855957,22.076175689697266,9.10920238494873,40.98733901977539,9.231242179870605,11.087362289428711,40.669586181640625,40.1085205078125
1872,40.01938247680664,10.014226913452148,40.262149810791016,20.07421112060547,9.052227973937988,40.24610137939453,9.192946434020996,11.005289077758789,40.01864242553711,40.05122756958008
1873,40.002220153808594,10.435834884643555,40.45769500732422,20.042272567749023,9.030461311340332,40.21432113647461,12.308404922485352,12.096405029296875,40.36933135986328,40.001197814941406
1874,40.051109313964844,10.223990440368652,40.067359924316406,20.0093994140625,10.225078582763672,40.026973724365234,13.32607650756836,11.14687442779541,40.03696060180664,40.67013931274414
1875,40.03417205810547,10.207870483398438,40.013187408447266,20.415969848632812,9.898740768432617,40.021240234375,12.65810489654541,14.550355911254883,40.11652755737305,40.19870376586914
1876,40.189605712890625,10.078185081481934,40.1241455078125,20.0756893157959,11.120323181152344,40.01325607299805,16.606792449951172,11.363546371459961,40.19767379760742,40.054351806640625
1877,40.0863037109375,10.18490219116211,40.38640594482422,20.117366790771484,9.695320129394531,40.08613967895508,12.023088455200195,11.005971908569336,40.29644775390625,40.15082931518555
1878,40.00345993041992,10.712632179260254,40.14120101928711,20.139535903930664,10.452178955078125,40.0822868347168,12.503196716308594,12.715266227722168,40.00243377685547,40.09980010986328
