year,MinRWBIL01_,MinRWBIL02_,MinRWBIL04_,MinRWBIL06_,MinRWBIL07_,MinRWBIL10_,MinRWBIL11_,MinRWBIL13_,MinRWBIL14_,MinRWBIL16_
1835,0,0,0,-9.953125
1836,0,0,0,691.2421875
1837,0,0,0,445.7421875
1838,0,0,0,389.9765625
1839,0,0,0,709.4609375
1840,0,0,0,599.1875
1841,0,0,0,393.53125,0,0,0,0,-249.5703125
1842,0,0,0,1132.375,0,0,0,0,600.4375
1843,0,0,0,592.9140625,0,0,0,0,665.640625
1844,0,141.296875,212.8125,784.296875,0,0,0,0,631.5390625
1845,0,1263.7265625,1480.4765625,1177.046875,0,0,0,0,1079.8359375
1846,0,542.484375,379.640625,509.65625,0,0,0,0,446.8125
1847,0,339.8359375,691.6640625,474.6953125,0,0,0,0,707.03125
1848,0,444.1640625,447.734375,486.4296875,0,0,0,0,486.890625
1849,0,793.9765625,832.8046875,641.75,0,0,0,0,915.7265625
1850,0,1096.3046875,719.8671875,448.4453125,0,0,0,0,819.796875
1851,0,793.3203125,655.109375,580.2421875,0,0,0,1.4609375,749.203125
1852,0,1202.859375,702.71875,636.6796875,88.9453125,0,0,-33.28125,928.2109375
1853,439.21875,1088.6640625,779.4609375,584.375,318.5078125,0,0,-22.2890625,701.578125,376.9609375
1854,1052.984375,1441.9296875,849.3671875,701.8984375,652.234375,0,0,491.53125,772.3359375,550.9765625
1855,643.2109375,914.6484375,706.3203125,514.7734375,624.984375,0,0,428.3203125,822.0078125,387.8359375
1856,80.4765625,491.4375,538.8515625,273.0390625,251.0625,0,0,420.3046875,349.578125,128.3984375
1857,99.4765625,639.1484375,373.25,341.953125,136.59375,0,0,633.421875,530.8828125,211.546875
1858,234.2734375,957.9609375,608.03125,570.359375,286.40625,0,0,689.28125,781.328125,597.21875
1859,266.5390625,499.0234375,265.671875,308.375,265.6015625,0,-6.9609375,622.578125,306.3203125,300.484375
1860,383.71875,505.6484375,352.2734375,405.234375,193.2578125,0,331.4453125,659.8984375,362.1796875,397.8359375
1861,687.7890625,520.140625,591.265625,727.390625,411.03125,0,676.1015625,842.8984375,538.8828125,732.0390625
1862,853.5703125,358.40625,552.03125,473.6484375,341.6171875,0,442.9453125,841.59375,303.9921875,750.4375
1863,862.328125,447.390625,801.25,712.2265625,382.8203125,0,477.140625,819.484375,402.8671875,726.640625
1864,525,190.515625,382.8828125,288.109375,134.484375,0,297.953125,249.2578125,173.9765625,335.015625
1865,410.3515625,222.34375,664.5625,442.484375,252.5546875,357.4765625,342.46875,269.375,217.5390625,346.078125
1866,494.78125,313.84375,482.78125,613.125,483.1640625,373.046875,190.6015625,278.5234375,674.46875,400.0859375
1867,412.75,517.6484375,338.0859375,517.609375,654.703125,488.0234375,204.6875,408.40625,591.5078125,343.8359375
1868,384.7109375,471.3515625,310.7421875,463.265625,650.0234375,293.7421875,273.21875,360.5546875,444.6171875,486.2421875
1869,549.5546875,455.75,348.4765625,397.4140625,378.0859375,269.6484375,356.96875,382.2421875,439.8359375,255.15625
1870,971.7421875,655.4921875,580.1796875,706.7734375,512.4921875,539.7578125,421.0078125,805.171875,609.0859375,684.7734375
1871,798.3984375,309.40625,408.6796875,501.875,436,259.1796875,483.1640625,573.046875,440.3125,577.34375
1872,586.9296875,227.640625,377.359375,582.21875,460.40625,182.59375,491.78125,708.90625,318.3203125,472.1953125
