year,RABIL01_,RABIL02_,RABIL04_,RABIL06_,RABIL07_,RABIL10_,RABIL11_,RABIL13_,RABIL14_,RABIL16_
1835,0,0,0,2.890738525204526
1836,0,0,0,2.7871679052670117
1837,0,0,0,1.9328809436191818
1838,0,0,0,1.6085332541314017
1839,0,0,0,2.7947847880090535
1840,0,0,0,2.417687725069854
1841,0,0,0,1.614423275718437,0,0,0,0,1.9099853333539016
1842,0,0,0,4.184266690790395,0,0,0,0,4.761658816674512
1843,0,0,0,2.266139165917167,0,0,0,0,2.669050561735091
1844,0,0.8390602523216444,1.8284585390689188,2.879740474672303,0,0,0,0,2.520157332875627
1845,0,4.303207143714744,5.486876577068216,4.222790677123655,0,0,0,0,4.025100090308584
1846,0,1.939597663292588,1.5088614251639143,1.9134644394573854,0,0,0,0,1.7672966543246815
1847,0,1.1964317283845958,2.561580979712403,1.7923949009935285,0,0,0,0,2.6193362710120454
1848,0,1.5649103099198385,1.7541153579687858,1.807599012237418,0,0,0,0,1.8791906373498364
1849,0,2.736297379373113,3.2005939321728505,2.349012908689602,0,0,0,0,3.3426090289406005
1850,0,3.756600567420122,2.607604765846716,1.8615219069619258,0,0,0,0,3.015415197195111
1851,0,2.713929256570296,2.4670040400583275,2.1731204609433235,0,0,0,0.8221322600098375,2.856707834486471
1852,0,4.09414598205106,2.6418050060965754,2.3467842334748497,1.0712264014019297,0,0,1.947095012060828,3.446557145983604
1853,3.0407569709101665,4.061278429833109,2.8260111911167343,2.2636832904784114,2.184523463319323,0,0,1.3728718096481884,2.7114547312024087,2.030981985828703
1854,3.9951783589597056,5.512036251992868,3.207185404007035,2.6188396731880488,3.270965526422785,0,0,2.2196134858976393,3.182863377042267,2.250692860292773
1855,2.368014198719706,3.5239486083209215,2.6492729788211733,1.8842101770466115,2.4178720324755574,0,0,1.802495745544178,3.0020750985694775,1.4874503797186378
1856,0.34018731040046646,1.8739869431065586,1.974849271306681,1.0660342201600912,1.0460491762817412,0,0,1.7301597221206322,1.3671136517577906,0.5478592989791622
1857,0.44206792537626427,2.377602222813067,1.4137793854254426,1.3305813862387623,0.5772259556556776,0,0,2.3835802219119415,1.9741603769110156,0.8750837641134979
1858,0.8986718060542103,3.5503141116952435,2.288297582842702,2.11895595429624,1.1167818325552759,0,0,3.345471025402702,2.87445511336324,2.243290794572218
1859,1.025217660068023,1.8908377604392825,0.9967304628415121,1.2203672402687005,1.0476215948800984,0,1.1605697500450844,2.3772055647575456,1.2027095847057296,1.2141530410617207
1860,1.437686000160781,1.881002650854228,1.454548314186411,1.6249200518656295,0.7349141677961484,0,1.4462453041564771,2.451385043537286,1.42518413116791,1.5693800936421383
1861,2.5250558311792872,2.32838624121419,2.3449579095370723,2.7748781278973524,1.5781999231152213,0,2.5388085161451244,3.130321417625666,2.036341597464812,2.7890918480496794
1862,3.173019356045671,1.5049084734131384,2.1702479265215686,1.842491346641026,1.3620864598689195,0,1.7784508120239764,3.0874280301960795,1.2220306556484672,2.8286210481626313
1863,3.154271978010854,1.7463119079282308,2.9363226709462538,2.638695922673307,1.5040318705730726,0,1.9059319812297844,2.9963259488627187,1.5857870175906186,2.7427892323355962
1864,1.937983800398655,0.7575734427438192,1.4941708490367631,1.1467145422572287,0.6701101214561618,0,1.1523018527662572,0.9484395855300818,0.7519175669322635,1.2819677520775627
1865,1.5527331622470086,0.8985203018773689,2.479300503835219,1.6619590149649213,1.151227177131517,2.288627579124636,1.3146184226641253,1.094573672341582,1.1882555070496892,1.2762849719402283
1866,1.8538469948237264,1.2720806714802961,1.898830820161436,2.3856386746716254,2.489765029071407,1.5813946897866487,0.8585551475144939,1.2025669735741076,2.59192602731936,1.5113082015947015
1867,1.5889218237999216,1.982911791505586,1.3332760015838119,1.9762483458505784,2.843008433463311,1.9033661026724786,0.8275882569008957,1.515449813645489,2.1589294648088213,1.296887971282942
1868,1.5018852554462114,1.8547584443266203,1.1724799604986913,1.772621900708458,2.8670916056687332,1.19643682684206,1.127101394430369,1.3426146096366267,1.695226226659301,1.8631560246373766
1869,2.0268761154444377,1.816256440784855,1.3759178050207765,1.5107339923146128,1.7526151868351008,1.299442628003348,1.3715323454220538,1.4525914930926973,1.682477192939757,1.0544291428387993
1870,3.5733898523404406,2.4528946646603202,2.1238379934661253,2.709960977485821,2.579897518012487,2.206773723907446,1.5915744040438966,3.0596620546002242,2.245610523397829,2.575309104126802
1871,2.913078518206106,1.185628382052414,1.5624969821561336,1.8842873538006017,1.7518892655079128,1.1355316180695638,1.8282846036011478,2.1437355020364635,1.6589195563931582,2.3074225866156013
1872,2.3123434850736118,0.9075757485904035,1.4186756681229866,2.4021506369502674,1.7521770507697454,0.807506952304621,1.9307120482212525,2.6176769973094167,1.2539647534714788,1.8065097489694466
1873,4.024086518247628,2.7814687206920325,2.153711927653461,2.957014758539941,2.6345950909742584,1.7774563505589924,2.393196997384294,4.190688948303489,1.1081383394768096,2.643746168883851
1874,3.65747205402441,1.6566749211496443,2.745636638934414,1.407391478725529,2.0575165339089807,2.30873614118471,3.2131204519592984,3.5176524573206507,0.6381653318721732,1.7577480972573056
