year,RAOIARBIL01_,RAOIARBIL02_,RAOIARBIL04_,RAOIARBIL06_,RAOIARBIL07_,RAOIARBIL10_,RAOIARBIL11_,RAOIARBIL13_,RAOIARBIL14_,RAOIARBIL16_
1835,0,0,0,0.971892774105072
1836,0,0,0,0.9600407481193542
1837,0,0,0,0.9549919962882996
1838,0,0,0,0.9746428728103638
1839,0,0,0,0.9770050048828125
1840,0,0,0,0.9848470091819763
1841,0,0,0,0.9433850049972534,0,0,0,0,0.45315879583358765
1842,0,0,0,0.9814618229866028,0,0,0,0,0.5955455899238586
1843,0,0,0,0.9854544997215271,0,0,0,0,0.6044962406158447
1844,0,0.22409240901470184,0.6731123924255371,0.7364088892936707,0,0,0,0,0.8377728462219238
1845,0,0.6333699822425842,0.9841774106025696,0.9839050769805908,0,0,0,0,0.9709259271621704
1846,0,0.6554148197174072,0.98837810754776,0.988903284072876,0,0,0,0,0.9898229241371155
1847,0,0.6930721402168274,0.9852527379989624,0.9768226146697998,0,0,0,0,0.9900678396224976
1848,0,0.6928044557571411,0.9897925853729248,0.990170419216156,0,0,0,0,0.9902235865592957
1849,0,0.7137396335601807,0.9904571771621704,0.986884593963623,0,0,0,0,0.9902582168579102
1850,0,0.7797336578369141,0.9904755353927612,0.9779960513114929,0,0,0,0,0.9906290769577026
1851,0,0.8575239181518555,0.9906066656112671,0.9859979152679443,0,0,0,0.9634473323822021,0.9906783699989319
1852,0,0.9554257392883301,0.9830062985420227,0.987647294998169,0.9314544796943665,0,0,1185.5196533203125,0.9906494617462158
1853,0.42425504326820374,0.9167065024375916,0.985709547996521,0.9676745533943176,0.9912467002868652,0,0,0.9853484034538269,0.9432368278503418,0.6375564932823181
1854,0.9805959463119507,0.9904654026031494,0.9904906153678894,0.9866196513175964,0.991793155670166,0,0,0.9861333966255188,0.9207742214202881,0.8969166278839111
1855,0.9903087019920349,0.9568179845809937,0.8399112820625305,0.9301226735115051,0.9880348443984985,0,0,0.9841276407241821,0.8833621740341187,0.9769669771194458
1856,0.9901246428489685,0.9892936944961548,0.9182233214378357,0.9908611178398132,0.9853269457817078,0,0,0.9885223507881165,0.9885683655738831,0.9581493139266968
1857,0.9907961487770081,0.9905064105987549,0.9812585115432739,0.9906008243560791,0.9831588268280029,0,0,0.9895049929618835,0.9902299642562866,0.9898075461387634
1858,0.9902089834213257,0.9903163909912109,0.9847447276115417,0.9829564094543457,0.9697554111480713,0,0,0.988299548625946,0.9903129935264587,0.9906367063522339
1859,0.9907408952713013,0.9907917380332947,0.9715200066566467,0.9833829998970032,0.9487126469612122,0,0.9446025490760803,0.9904339909553528,0.9791695475578308,0.9905149340629578
1860,0.9906286597251892,0.9177960753440857,0.9864799976348877,0.9805436134338379,0.950147271156311,0,0.9897231459617615,0.9894809722900391,0.985672116279602,0.9909570217132568
1861,0.8523657321929932,0.9210663437843323,0.9593112468719482,0.956775963306427,0.9803909659385681,0,0.9331372976303101,0.9492213129997253,0.9291263818740845,0.9458606839179993
1862,0.9890607595443726,0.8419633507728577,0.98707515001297,0.9898741245269775,0.9613861441612244,0,0.9827806949615479,0.9899734854698181,0.976578950881958,0.9906346797943115
1863,0.9897293448448181,0.9726201295852661,0.9900733828544617,0.9850656986236572,0.980583131313324,0,0.9901139140129089,0.9901371598243713,0.9909006953239441,0.9905336499214172
1864,0.9793601632118225,0.9749940037727356,0.9773673415184021,0.9172478914260864,0.9194483160972595,0,0.9904721975326538,0.9753188490867615,0.9907433390617371,0.9700373411178589
1865,0.9902549386024475,0.882101833820343,0.9677025675773621,0.9695838093757629,0.8498936295509338,0.36608216166496277,0.9795595407485962,0.9900683760643005,0.9910762906074524,0.9904322624206543
1866,0.9903655648231506,0.6530285477638245,0.9906308650970459,0.9801943898200989,0.9520633220672607,0.7712430357933044,0.9898752570152283,0.9905300140380859,0.9796973466873169,0.9903899431228638
1867,0.9903615117073059,0.6596210598945618,0.9906113743782043,0.775765061378479,0.9407581686973572,0.857233464717865,0.9869756698608398,0.9903244972229004,0.8278591632843018,0.9904065728187561
1868,0.9909642338752747,0.8081940412521362,0.990260124206543,0.8333929181098938,0.9706491827964783,0.7952395677566528,0.9873433113098145,0.990647554397583,0.9902546405792236,0.9859414100646973
1869,0.9905745983123779,0.9121288657188416,0.991034984588623,0.8866360783576965,0.9728952050209045,0.7949714660644531,0.9899863600730896,0.9904296398162842,0.9906033873558044,0.9557400941848755
1870,0.9905747175216675,0.8334478735923767,0.9903513789176941,0.846585750579834,0.9863954186439514,0.9727506637573242,0.9879392981529236,0.9903683662414551,0.9754675030708313,0.990790605545044
1871,0.9902600049972534,0.9816752672195435,0.9902841448783875,0.8620906472206116,0.984144389629364,0.9200345277786255,0.9710801839828491,0.9903718829154968,0.9808977842330933,0.9907690286636353
1872,0.9757763743400574,0.9424477219581604,0.9284064173698425,0.981351375579834,0.9903055429458618,0.9444246888160706,0.9868285059928894,0.9905524253845215,0.9364874958992004,0.990893542766571
1873,0.9906044602394104,0.989605724811554,0.9778406620025635,0.98829185962677,0.9882794618606567,0.9342230558395386,0.9671595096588135,0.9905639886856079,0.9660820364952087,0.9908532500267029
1874,0.9904713034629822,0.9666212797164917,0.9905359148979187,0.9875973463058472,0.953815758228302,0.9206737279891968,0.9893404841423035,0.9898706674575806,0.9897618889808655,0.9900477528572083
1875,0.9903293251991272,0.9662827253341675,0.9907721281051636,0.9815598726272583,0.9903860688209534,0.9590319395065308,0.989115297794342,0.9903526306152344,0.990587055683136,0.9908241033554077
1876,0.9908537268638611,0.9515967965126038,0.9671193361282349,0.9708986282348633,0.9846217632293701,0.9645771980285645,0.9837448000907898,0.9860483407974243,0.9102150201797485,0.9652784466743469
1877,0.9904721975326538,0.9900692701339722,0.9815412759780884,0.9902223944664001,0.9723238945007324,0.979328989982605,0.9903768301010132,0.9905515909194946,0.9772270321846008,0.9906100034713745
1878,0.9903143048286438,0.9906497001647949,0.9818576574325562,0.9908282160758972,0.9906603693962097,0.97560054063797,0.9809152483940125,0.9906001091003418,0.9236028790473938,0.9903913736343384
1879,0.9907211065292358,0.9562364220619202,0.9856173396110535,0.990460216999054,0.9904341697692871,0.9332994818687439,0.9841502904891968,0.9871392250061035,0.9329939484596252,0.9906783699989319
1880,0.940822958946228,0.9001069068908691,0.9819581508636475,0.9880581498146057,0.9904429912567139,0.9618383646011353,0.9790972471237183,0.9733947515487671,0.9871066212654114,0.9804846048355103
1881,0.9099705815315247,0.9904009103775024,0.9513745903968811,0.9847771525382996,0.9629014730453491,0.883204996585846,0.9672819375991821,0.9769932627677917,0.9553857445716858,0.9872344136238098
1882,0.9244110584259033,0.9905403256416321,0.9828741550445557,0.9870116710662842,0.9803919792175293,0.9849444627761841,0.9899209141731262,0.979965090751648,0.9462079405784607,0.9906176328659058
1883,0.987055778503418,0.9723494052886963,0.9726694226264954,0.9908996820449829,0.9454085826873779,0.9904326796531677,0.9757689833641052,0.9873648285865784,0.9754047393798828,0.9904126524925232
1884,0.990510880947113,0.9905999302864075,0.9765989780426025,0.9888257384300232,0.9884570240974426,0.9779427647590637,0.9725863337516785,0.9816299676895142,0.9331858158111572,0.9904887080192566
1885,0.990520715713501,0.9778800010681152,0.9905162453651428,0.9898186326026917,0.9909573793411255,0.9906538128852844,0.9479555487632751,0.9698556065559387,0.9840680360794067,0.9907240271568298
1886,0.934345543384552,0.989551305770874,0.9352609515190125,0.9910144805908203,0.9907041192054749,0.9903174042701721,0.970220148563385,0.9355131983757019,0.9908267259597778,0.9911592602729797
1887,0.9903759956359863,0.9292607307434082,0.9909771680831909,0.9907622933387756,0.9877227544784546,0.9905629754066467,0.8994266986846924,0.9750036597251892,0.9908652305603027,0.9903261661529541
