year,RCTA*BIL01_,RCTA*BIL02_,RCTA*BIL04_,RCTA*BIL06_,RCTA*BIL07_,RCTA*BIL10_,RCTA*BIL11_,RCTA*BIL13_,RCTA*BIL14_,RCTA*BIL16_
1835,0,0,0,21.008188247680664
1836,0,0,0,31.083349227905273
1837,0,0,0,40.717994689941406
1838,0,0,0,45.48091506958008
1839,0,0,0,44.52142333984375
1840,0,0,0,49.57599639892578
1841,0,0,0,46.03877639770508,0,0,0,0,19.171222686767578
1842,0,0,0,47.963233947753906,0,0,0,0,30.188919067382812
1843,0,0,0,43.27490234375,0,0,0,0,32.62092590332031
1844,0,24.010780334472656,26.6619873046875,38.32338333129883,0,0,0,0,26.002901077270508
1845,0,40.77371597290039,44.26669692993164,46.56504440307617,0,0,0,0,36.806495666503906
1846,0,48.679931640625,50.78508758544922,42.14948654174805,0,0,0,0,44.12531280517578
1847,0,37.27558135986328,49.278602600097656,41.17709732055664,0,0,0,0,40.427284240722656
1848,0,43.92032241821289,45.3087272644043,49.119815826416016,0,0,0,0,44.70431137084961
1849,0,41.45209884643555,41.379878997802734,45.8067512512207,0,0,0,0,46.48828125
1850,0,39.107933044433594,40.5999641418457,42.265987396240234,0,0,0,0,38.76581573486328
1851,0,40.60425567626953,39.63812255859375,42.25436782836914,0,0,0,19.177459716796875,36.46148681640625
1852,0,36.09611511230469,38.49335861206055,38.75456237792969,0,0,0,24.619510650634766,38.086978912353516
1853,42.539955139160156,45.8269157409668,44.616188049316406,40.41402053833008,16.836322784423828,0,0,41.36129379272461,42.325439453125,46.51881408691406
1854,48.43653106689453,50.86054611206055,42.87596130371094,38.08154296875,22.760234832763672,0,0,39.18954086303711,34.25891876220703,42.63272476196289
1855,49.947296142578125,47.23633575439453,44.837738037109375,33.0331916809082,36.48421859741211,0,0,43.1910400390625,44.84339141845703,47.00483322143555
1856,32.74663162231445,39.50014114379883,37.9387321472168,35.761077880859375,33.38706970214844,0,0,40.016929626464844,34.138465881347656,40.83956527709961
1857,36.50569152832031,35.587711334228516,31.38909339904785,39.19455337524414,31.539487838745117,0,0,33.42289733886719,34.14337921142578,35.89075469970703
1858,42.14986801147461,46.10200500488281,43.93925094604492,41.25510025024414,38.55718231201172,0,0,41.601043701171875,43.62141799926758,46.71309280395508
1859,35.51353073120117,37.32001495361328,40.02036666870117,34.49363708496094,34.7497444152832,0,0,41.134765625,36.85676574707031,41.30229568481445
1860,43.55582809448242,46.50226974487305,46.993892669677734,42.15922164916992,38.327301025390625,0,32.497337341308594,47.33612823486328,43.23911666870117,45.90778350830078
1861,49.84067916870117,48.383602142333984,51.97650146484375,44.69845199584961,41.09074020385742,0,43.175445556640625,48.343048095703125,49.92736053466797,44.09050369262695
1862,42.982322692871094,33.324790954589844,44.277915954589844,38.148170471191406,40.58097839355469,0,43.13847351074219,45.65831756591797,41.591590881347656,44.80401611328125
1863,50.365718841552734,39.083457946777344,53.62467956542969,47.71969223022461,41.40333938598633,0,50.25209426879883,48.08857727050781,47.25100326538086,49.67559814453125
1864,49.206077575683594,40.92919921875,48.18901062011719,38.59757995605469,48.179080963134766,0,42.470794677734375,49.09918212890625,39.88349914550781,44.36775207519531
1865,46.83789825439453,37.5114860534668,49.233638763427734,41.86319351196289,26.99229621887207,19.393310546875,44.481998443603516,33.56555938720703,25.580066680908203,41.80535125732422
1866,46.626976013183594,39.72637939453125,49.33335876464844,43.898468017578125,27.4088077545166,36.35015106201172,42.07773971557617,33.63520812988281,41.50263977050781,44.31277084350586
1867,46.6986083984375,40.9194221496582,48.29981231689453,42.36354064941406,24.22582244873047,33.17677307128906,38.631065368652344,35.17913818359375,45.025657653808594,37.619022369384766
1868,44.254390716552734,36.81351852416992,48.10759735107422,44.10976791381836,33.61793518066406,32.28744125366211,42.04237365722656,40.868408203125,44.05615997314453,43.97265625
1869,46.79853820800781,33.47949981689453,49.63618469238281,42.190452575683594,34.91050720214844,34.80266189575195,45.51200866699219,40.50112533569336,46.63945388793945,33.5184211730957
1870,48.45407485961914,36.219608306884766,51.22104263305664,41.83778762817383,34.79875564575195,34.76667022705078,43.4420166015625,43.50682830810547,45.18920135498047,42.153472900390625
1871,47.37903594970703,32.93964385986328,54.11101531982422,43.7383918762207,37.54496765136719,34.99794387817383,45.543785095214844,44.522926330566406,50.095123291015625,48.151885986328125
1872,44.67387390136719,29.617328643798828,52.65913772583008,22.356075286865234,35.47665023803711,33.7419319152832,38.17934036254883,41.55952072143555,41.93162155151367,46.76652908325195
1873,44.40434265136719,33.58790969848633,50.00384521484375,32.6411247253418,44.69490051269531,32.400115966796875,42.29443359375,45.75753402709961,44.196205139160156,49.81740188598633
1874,40.71746063232422,27.99156379699707,47.36075973510742,38.70320510864258,32.80463790893555,32.844974517822266,41.49884033203125,44.27838134765625,37.75975799560547,48.25082015991211
1875,49.26182556152344,35.32051086425781,55.4694709777832,53.8661003112793,45.83069610595703,39.31185531616211,50.68177032470703,49.07633590698242,50.260292053222656,54.08213806152344
1876,51.225433349609375,32.77561950683594,49.983192443847656,45.197288513183594,42.257781982421875,37.55461120605469,43.95859909057617,48.74076461791992,39.88233184814453,45.21424865722656
1877,54.273494720458984,33.36343765258789,51.268798828125,51.81190490722656,40.27752685546875,41.048072814941406,41.7195930480957,51.25719451904297,45.516273498535156,48.863277435302734
