year,RWDBIL01_,RWDBIL02_,RWDBIL04_,RWDBIL06_,RWDBIL07_,RWDBIL10_,RWDBIL11_,RWDBIL13_,RWDBIL14_,RWDBIL16_
1835,0,0,0,0.5741178393363953
1836,0,0,0,0.5257258415222168
1837,0,0,0,0.5213931202888489
1838,0,0,0,0.513512909412384
1839,0,0,0,0.5288092494010925
1840,0,0,0,0.47641363739967346
1841,0,0,0,0.45550060272216797,0,0,0,0,0.5727737545967102
1842,0,0,0,0.490381121635437,0,0,0,0,0.6103742718696594
1843,0,0,0,0.5233792066574097,0,0,0,0,0.5460660457611084
1844,0,0.6732448935508728,0.6307031512260437,0.516026496887207,0,0,0,0,0.5436014533042908
1845,0,0.5450379848480225,0.5412324070930481,0.49486157298088074,0,0,0,0,0.5505081415176392
1846,0,0.45042264461517334,0.4546791911125183,0.4995969235897064,0,0,0,0,0.4865286350250244
1847,0,0.5721392035484314,0.4785105288028717,0.567500114440918,0,0,0,0,0.560504138469696
1848,0,0.5197359919548035,0.5295234322547913,0.48065027594566345,0,0,0,0,0.5154756307601929
1849,0,0.593560516834259,0.5954554677009583,0.516309380531311,0,0,0,0,0.5260831713676453
1850,0,0.6035947799682617,0.5550892353057861,0.5716827511787415,0,0,0,0,0.5734354257583618
1851,0,0.5956911444664001,0.6024065613746643,0.5394681692123413,0,0,0,0.684013307094574,0.6112444996833801
1852,0,0.6392013430595398,0.5971406698226929,0.6133627891540527,-999,0,0,0.7148082256317139,0.5841108560562134
1853,0.5171558260917664,0.4954473674297333,0.5338478684425354,0.5576977133750916,0.7173329591751099,0,0,0.5833471417427063,0.5154263973236084,0.4575321674346924
1854,0.49293819069862366,0.49886399507522583,0.5968745350837708,0.6237998604774475,0.7331809401512146,0,0,0.6016802191734314,0.6211426854133606,0.5218827128410339
1855,0.4398215413093567,0.5059530735015869,0.5141535997390747,0.5763373970985413,0.6449194550514221,0,0,0.5856260061264038,0.5223131775856018,0.40648290514945984
1856,0.6113084554672241,0.6202672123908997,0.5878065824508667,0.646414041519165,0.7130967378616333,0,0,0.621127724647522,0.6369869112968445,0.4792790710926056
1857,0.568231463432312,0.625795841217041,0.6148473620414734,0.5875665545463562,0.7210677862167358,0,0,0.6730576157569885,0.6291567087173462,0.5210311412811279
1858,0.5034406185150146,0.5188049077987671,0.5039108395576477,0.6072588562965393,0.6670008301734924,0,0,0.6060905456542969,0.5468546152114868,0.4710463583469391
1859,0.5765154957771301,0.5901684165000916,0.4527442157268524,0.6497480273246765,0.6948727965354919,0,-999,0.601714551448822,0.5571861267089844,0.49372538924217224
1860,0.5077986717224121,0.5012871623039246,0.504729151725769,0.5716490745544434,0.6451965570449829,0,0.5855057835578918,0.5487146377563477,0.5085427165031433,0.46624666452407837
1861,0.443705290555954,0.44363823533058167,0.4487696588039398,0.4167700707912445,0.5811027884483337,0,0.43305572867393494,0.46082958579063416,0.46945637464523315,0.44094014167785645
1862,0.5218831300735474,0.534037709236145,0.5872729420661926,0.5795878171920776,0.6060807704925537,0,0.5633949637413025,0.5733292102813721,0.5007451176643372,0.5107380747795105
1863,0.460175096988678,0.5009762644767761,0.4778948724269867,0.4484040141105652,0.5691196918487549,0,0.4565334916114807,0.49784278869628906,0.5184779167175293,0.4669272303581238
1864,0.4388842284679413,0.4969235360622406,0.47139599919319153,0.5291845798492432,0.46244189143180847,0,0.5295491814613342,0.47414690256118774,0.4777996242046356,0.472774475812912
1865,0.5067912340164185,0.5547793507575989,0.4914742112159729,0.5223574042320251,0.6689819693565369,0.6078559160232544,0.533942699432373,0.6976484060287476,0.6608667969703674,0.4811066687107086
1866,0.5340260863304138,0.5214745998382568,0.5100346207618713,0.523201584815979,0.7124277353286743,0.5066881775856018,0.5631442070007324,0.7208212018013,0.5857574343681335,0.5440034866333008
1867,0.4704846441745758,0.517352819442749,0.47878411412239075,0.5133885145187378,0.7284963130950928,0.5094174146652222,0.5914108157157898,0.6932762861251831,0.5043745636940002,0.5158442258834839
1868,0.5181146860122681,0.5143733024597168,0.46401888132095337,0.44106602668762207,0.6163466572761536,0.480818510055542,0.5930928587913513,0.6390808820724487,0.49292275309562683,0.5059008598327637
1869,0.49348995089530945,0.5829185843467712,0.47213056683540344,0.4418843984603882,0.6414356231689453,0.47532808780670166,0.5418298244476318,0.6431349515914917,0.4799988567829132,0.5094853639602661
1870,0.48018354177474976,0.5408868193626404,0.4526222348213196,0.45445042848587036,0.5995849370956421,0.5156094431877136,0.5508536696434021,0.6005111932754517,0.49262523651123047,0.4955936372280121
1871,0.4638955891132355,0.5925857424736023,0.4436686933040619,0.43033042550086975,0.5850024819374084,0.46521374583244324,0.5252194404602051,0.5924201607704163,0.45352408289909363,0.47418516874313354
1872,0.5182014107704163,0.6879226565361023,0.46221116185188293,0.5444535613059998,0.6851898431777954,0.5074660778045654,0.5969931483268738,0.6414843797683716,0.5404742956161499,0.4808543026447296
1873,0.5188512206077576,0.6446107029914856,0.46287810802459717,0.5356247425079346,0.60796058177948,0.5363589525222778,0.567164421081543,0.5770645141601562,0.49701642990112305,0.4833800196647644
1874,0.5803123116493225,0.718266487121582,0.5661425590515137,0.6028193831443787,0.7157662510871887,0.6366875171661377,0.5860425233840942,0.6086300611495972,0.5425608158111572,0.5035810470581055
1875,0.4630214273929596,0.6137245893478394,0.4500330984592438,0.4656010866165161,0.5857089161872864,0.5686521530151367,0.47279757261276245,0.5319007039070129,0.49180519580841064,0.42069509625434875
1876,0.4806625545024872,0.6252813339233398,0.48056647181510925,0.5637373328208923,0.6194628477096558,0.5633623003959656,0.51980060338974,0.5425185561180115,0.5055434107780457,0.4900590479373932
1877,0.43115776777267456,0.5912570357322693,0.46898186206817627,0.4687649607658386,0.6324161887168884,0.5211679935455322,0.5338292717933655,0.5179516673088074,0.46320807933807373,0.4458802044391632
1878,0.4734092950820923,0.6609453558921814,0.4743154048919678,0.5289821028709412,0.5958493947982788,0.5180636048316956,0.5619534850120544,0.49347516894340515,0.4504767060279846,0.47261402010917664
1879,0.5302115082740784,0.7066139578819275,0.5689762234687805,0.49889811873435974,0.663297712802887,0.5651004314422607,0.6153630018234253,0.5220176577568054,0.46574336290359497,0.5393599271774292
1880,0.4816300570964813,0.6653203368186951,0.5050854682922363,0.5477001070976257,0.6453671455383301,0.5702852010726929,0.5783948302268982,0.5225914716720581,0.5250740647315979,0.5144074559211731
1881,0.6355665922164917,0.6174876093864441,0.46440696716308594,0.49259883165359497,0.6430129408836365,0.48557430505752563,0.5071893334388733,0.4776138961315155,0.4181849956512451,0.44954830408096313
1882,0.5378780364990234,0.6983739137649536,0.5299973487854004,0.6292753219604492,0.7741556763648987,0.5714716911315918,0.6187632083892822,0.577634871006012,0.5371896624565125,0.5715931057929993
1883,0.5360037088394165,0.5887041687965393,0.5503236651420593,0.5019428133964539,0.6116962432861328,0.5365661382675171,0.5212969183921814,0.596642792224884,0.5432567000389099,0.505312442779541
1884,0.4633139967918396,0.597893476486206,0.4657231271266937,0.5342236161231995,0.6183813214302063,0.5448634624481201,0.4835872948169708,0.5986575484275818,0.4322102963924408,0.4834466576576233
1885,0.4720315933227539,0.4985707402229309,0.45342522859573364,0.4857129752635956,0.5782875418663025,0.5508747100830078,0.5644721388816833,0.5791563391685486,0.46340227127075195,0.49243104457855225
1886,0.4234178364276886,0.4479038119316101,0.4386079013347626,0.4694736897945404,0.5557803511619568,0.4849294126033783,0.5000358819961548,0.5647109150886536,0.3987782299518585,0.4215225875377655
1887,0.5504516363143921,0.6084909439086914,0.4688635468482971,0.5224430561065674,0.5888340473175049,0.6020135283470154,0.6547240018844604,0.6571921110153198,0.4290645122528076,0.47288966178894043
1888,0.4422300457954407,0.68583083152771,0.46040406823158264,0.5731160044670105,0.6644331216812134,0.510819673538208,0.584438145160675,0.6318961381912231,0.40290507674217224,0.4653434753417969
1889,0.6428862810134888,0.5399020910263062,0.44532471895217896,0.5221148133277893,0.6747385859489441,0.518754780292511,0.5882443189620972,0.5918963551521301,0.4474785029888153,0.4638601243495941
1890,0.47908222675323486,0.5546463131904602,0.47326207160949707,0.5290372371673584,0.6089320778846741,0.5418797135353088,0.5903879404067993,0.5989511609077454,0.41010764241218567,0.49176791310310364
1891,0.443589448928833,0.5801612138748169,0.45073941349983215,0.5721099376678467,0.6430020928382874,0.5328811407089233,0.5391993522644043,0.5631322860717773,0.446557879447937,0.5040756464004517
1892,0.4461077153682709,0.5424641370773315,0.44759148359298706,0.5472485423088074,0.6059832572937012,0.4939737915992737,0.5380131602287292,0.564473569393158,0.3804662525653839,0.45493972301483154
1893,0.4695989489555359,0.5524177551269531,0.4956141412258148,0.5543414354324341,0.5951476097106934,0.5736137628555298,0.5965445637702942,0.690728485584259,0.5356688499450684,0.4899989366531372
1894,0.45830202102661133,0.6420984268188477,0.5254932045936584,0.6178757548332214,0.6221602559089661,0.575324296951294,0.6110256910324097,0.6630192399024963,0.7521601319313049,0.4431653320789337
1895,0.537116527557373,0.6395641565322876,0.48836371302604675,0.6148975491523743,0.6958234906196594,0.5049900412559509,0.6518478989601135,0.6860052347183228,0.4312947988510132,0.5183911323547363
1896,0.49419456720352173,0.5433717966079712,0.4757542610168457,0.518887996673584,0.5646973848342896,0.5433434844017029,0.5925511121749878,0.6291444301605225,0.5141770243644714,0.48226526379585266
