year,rTSRBIL01_,rTSRBIL02_,rTSRBIL04_,rTSRBIL06_,rTSRBIL07_,rTSRBIL10_,rTSRBIL11_,rTSRBIL13_,rTSRBIL14_,rTSRBIL16_
1835,0,0,0,0.8964493870735168
1836,0,0,0,0.736362636089325
1837,0,0,0,0.7340317368507385
1838,0,0,0,0.6739228963851929
1839,0,0,0,0.7027109265327454
1840,0,0,0,0.5706532597541809
1841,0,0,0,0.6316912770271301,0,0,0,0,0.9246863126754761
1842,0,0,0,0.5748490691184998,0,0,0,0,0.9637373685836792
1843,0,0,0,0.6432461142539978,0,0,0,0,0.7736221551895142
1844,0,1.3745794296264648,1.424225926399231,0.8112477660179138,0,0,0,0,1.0496019124984741
1845,0,0.7918295860290527,0.7707479596138,0.6183791160583496,0,0,0,0,0.7473044395446777
1846,0,0.633723795413971,0.6083077192306519,0.6152215600013733,0,0,0,0,0.6511754393577576
1847,0,1.0346083641052246,0.6436830163002014,0.8391121625900269,0,0,0,0,0.8095641732215881
1848,0,0.8271656632423401,0.7827408909797668,0.5587292909622192,0,0,0,0,0.6781629920005798
1849,0,0.9937374591827393,0.9627411365509033,0.7342596054077148,0,0,0,0,0.69962477684021
1850,0,0.9916378259658813,0.9804330468177795,1.1178107261657715,0,0,0,0,0.8719022870063782
1851,0,1.0391656160354614,1.0383102893829346,0.7810072302818298,0,0,0,1.4701218605041504,0.9016112089157104
1852,0,1.3846628665924072,1.1303266286849976,1.2011576890945435,-999,0,0,1.7658720016479492,0.9576217532157898
1853,0.840100884437561,0.6543334722518921,0.7643284201622009,0.8110862374305725,1.4644982814788818,0,0,1.0311168432235718,0.6395202279090881,0.6169289350509644
1854,0.6830841898918152,0.648025631904602,1.0045067071914673,1.1597316265106201,1.6305487155914307,0,0,1.0198568105697632,1.0842045545578003,0.7892910242080688
1855,0.6219373345375061,0.8392969965934753,0.7411248087882996,1.2802157402038574,1.779337763786316,0,0,1.1191397905349731,0.717475414276123,0.46201372146606445
1856,1.1726973056793213,1.0366946458816528,1.1710375547409058,1.5961706638336182,2.192689895629883,0,0,1.1165741682052612,1.2343366146087646,0.8266481757164001
1857,1.1565717458724976,1.1698284149169922,1.4107052087783813,1.2396739721298218,2.188659906387329,0,0,1.2648751735687256,1.4188196659088135,1.0809558629989624
1858,0.8118975758552551,0.7665752172470093,0.7433326244354248,1.2129164934158325,1.8061848878860474,0,0,0.9871819019317627,0.896477460861206,0.6457414627075195
1859,1.1619595289230347,1.0424879789352417,0.6368513703346252,1.3740285634994507,1.8991893529891968,0,-999,0.9231088757514954,1.229486346244812,0.7786452770233154
1860,0.8723689317703247,0.7848386764526367,0.7895933985710144,1.1119606494903564,1.6408687829971313,0,1.1930735111236572,0.8356808423995972,0.8984639048576355,0.7692175507545471
1861,0.4697831869125366,0.397945761680603,0.5578242540359497,0.5031483173370361,1.1536976099014282,0,0.4816218614578247,0.5461796522140503,0.5259180665016174,0.589370846748352
1862,0.7925494313240051,0.872181236743927,0.9273990392684937,0.9814420938491821,1.5402517318725586,0,1.144729733467102,0.8765300512313843,1.041551947593689,0.7367267608642578
1863,0.5510660409927368,0.6658618450164795,0.5856872200965881,0.4871879518032074,0.9537681937217712,0,0.6007106304168701,0.5707384347915649,0.7199684977531433,0.5174456834793091
1864,0.7914809584617615,0.8412595987319946,0.8077303767204285,1.1296519041061401,0.7972654700279236,0,1.249351143836975,0.6211177110671997,0.8844754099845886,0.7089712619781494
1865,0.8352435827255249,1.0184942483901978,0.7592905163764954,0.8693940043449402,1.6616475582122803,0.7790854573249817,1.0338395833969116,1.5169154405593872,1.5095044374465942,0.7166824340820312
1866,1.0201857089996338,0.6733000874519348,0.8717547655105591,0.7754419445991516,1.5993173122406006,0.5534499883651733,1.1952565908432007,1.776538372039795,1.1455708742141724,0.8725952506065369
1867,0.8742523789405823,0.7669796347618103,0.9071075320243835,0.8162872195243835,2.206848382949829,0.5367245674133301,1.5114420652389526,1.7283620834350586,0.7639949321746826,0.9947983622550964
1868,1.0720316171646118,0.7149269580841064,0.8370059728622437,0.5128080248832703,1.4015394449234009,0.5112041234970093,1.3664015531539917,1.3979932069778442,0.803015947341919,0.8116850852966309
1869,0.8515408635139465,1.0122969150543213,0.7352849245071411,0.5826983451843262,1.7303779125213623,0.5612662434577942,1.0467534065246582,1.2814868688583374,0.8709899187088013,0.8123578429222107
1870,0.7160568833351135,0.7582481503486633,0.7757776379585266,0.5515735149383545,1.5890988111495972,0.7414706945419312,1.245619297027588,1.2013790607452393,0.8024330735206604,0.7161017656326294
1871,0.7126085162162781,1.2092856168746948,0.8324050903320312,0.48080193996429443,1.4669179916381836,0.7703176140785217,1.0746711492538452,1.1592044830322266,0.6643906235694885,0.6936755180358887
1872,0.883478045463562,1.7618036270141602,0.8496909141540527,1.2219895124435425,1.720929741859436,0.9761030673980713,1.353969693183899,1.3366889953613281,1.0101877450942993,0.8317705392837524
1873,0.8771198391914368,1.3044252395629883,0.8147478699684143,1.067942500114441,1.3704761266708374,1.0389045476913452,1.1094681024551392,1.010640263557434,0.9171541333198547,0.7269165515899658
1874,1.0278719663619995,1.500914216041565,0.9704853892326355,1.3999749422073364,1.6302794218063354,1.3554190397262573,0.9522974491119385,1.0772182941436768,1.2028831243515015,0.7256231904029846
1875,0.6536877155303955,1.070817232131958,0.6528437733650208,0.6928858757019043,1.0404716730117798,0.961771547794342,0.7386975288391113,0.7322052121162415,0.7159559726715088,0.5619968771934509
1876,0.8582323789596558,1.388372778892517,0.8190638422966003,1.1109256744384766,1.3571815490722656,1.1566489934921265,0.8425349593162537,1.019479513168335,0.9986053705215454,0.9031627774238586
1877,0.6817775368690491,1.306566834449768,0.7881471514701843,0.8388973474502563,1.4957706928253174,0.970575213432312,0.9402424693107605,0.8848822116851807,0.8140823245048523,0.67637699842453
1878,0.8694322109222412,1.5660325288772583,0.8395010828971863,0.9851983785629272,1.2220672369003296,1.0318454504013062,1.024764060974121,0.8370072245597839,0.7359091639518738,0.755415678024292
1879,1.1158043146133423,1.5228593349456787,0.9068091511726379,0.8895335793495178,1.5749316215515137,1.0170927047729492,1.0847084522247314,0.8444948792457581,0.8226074576377869,0.9739258885383606
1880,0.8129118084907532,1.8182655572891235,1.1014622449874878,1.206449031829834,1.7607852220535278,1.1532567739486694,1.0456125736236572,0.9061900973320007,1.3031407594680786,1.0437694787979126
1881,1.1018447875976562,1.9380823373794556,0.8226585984230042,1.052848219871521,1.961836814880371,0.7508592009544373,1.055208683013916,1.0045586824417114,0.6382884979248047,0.6264186501502991
1882,0.9802253246307373,1.756436824798584,1.1370291709899902,1.6426900625228882,2.3530712127685547,1.3905658721923828,1.5057443380355835,1.4265507459640503,1.3290445804595947,1.237455129623413
1883,0.8773145079612732,1.0169944763183594,0.8480169773101807,0.7034681439399719,1.408205270767212,1.1180959939956665,0.8972774744033813,1.0853923559188843,1.006005883216858,0.7166882753372192
1884,0.7223066687583923,1.342512845993042,0.7176707983016968,0.9013653993606567,1.3585025072097778,1.0949451923370361,0.9637308120727539,0.9875403046607971,0.6624161005020142,0.8069924116134644
1885,0.7506045699119568,0.6495721340179443,0.5671416521072388,0.6252926588058472,1.0171602964401245,1.0418992042541504,0.8503710627555847,0.9332250356674194,0.6173203587532043,0.6878781318664551
1886,0.6023940443992615,0.6855787038803101,0.6531000733375549,0.6048441529273987,0.941405713558197,0.7349444627761841,0.687447726726532,0.8670196533203125,0.677680253982544,0.5826728940010071
1887,0.9421105980873108,1.3173795938491821,0.8798660039901733,0.8012604117393494,1.324666976928711,1.0976611375808716,1.2530784606933594,1.312776803970337,0.9862613677978516,0.7516798377037048
1888,0.5607760548591614,2.1772327423095703,0.8058093190193176,1.4724737405776978,2.2544219493865967,0.787376344203949,1.1856107711791992,1.6320234537124634,0.8119110465049744,0.7488254904747009
1889,1.2921547889709473,1.7179601192474365,0.7896295785903931,1.162474513053894,2.075601816177368,0.9019620418548584,1.044291615486145,1.053942084312439,0.8589567542076111,0.762471616268158
1890,0.8522728085517883,1.1932235956192017,0.7981667518615723,0.9948146343231201,1.2619048357009888,0.8863188624382019,1.0364396572113037,0.9954627752304077,0.4896848499774933,0.8060100078582764
1891,0.6170468926429749,1.5952976942062378,0.7443434596061707,1.2527027130126953,1.5189193487167358,0.9053396582603455,0.8189216256141663,0.8452343940734863,0.6859491467475891,0.7726340293884277
1892,0.7000631093978882,1.319875955581665,0.6231551766395569,0.9912279844284058,1.1474647521972656,0.7943585515022278,0.8545331358909607,0.7347385883331299,0.47652554512023926,0.6358470916748047
1893,0.7678915858268738,1.1687122583389282,0.8372942209243774,1.0355206727981567,1.0817958116531372,1.1556487083435059,1.0184670686721802,1.3922420740127563,0.980423629283905,0.7523348927497864
1894,0.7847616672515869,1.7012115716934204,0.8106058835983276,1.5358898639678955,1.4688198566436768,1.171370506286621,1.175902009010315,1.4475258588790894,1.9239051342010498,0.6595821380615234
1895,1.1422183513641357,2.1906914710998535,0.9717063903808594,1.6338274478912354,2.1008849143981934,0.9473042488098145,1.3900432586669922,1.713945746421814,0.9345834851264954,0.8867517709732056
1896,0.8401880264282227,0.8426533937454224,0.773868203163147,0.8461754322052002,1.0626755952835083,0.9105520248413086,1.060624599456787,1.106624960899353,0.8189706206321716,0.6673026084899902
1897,1.0320998430252075,1.9452935457229614,0.7558444142341614,1.3232221603393555,1.9091594219207764,1.3397482633590698,1.12351655960083,1.744825005531311,1.0252301692962646,0.7272804379463196
1898,0.869410514831543,1.875611662864685,0.7952096462249756,1.0144158601760864,2.300875663757324,1.0217156410217285,1.0995982885360718,1.5981420278549194,0.6330593824386597,0.682709813117981
1899,0.8974275588989258,1.7183582782745361,0.9128637909889221,1.5874149799346924,1.5864921808242798,1.295208215713501,1.453992486000061,1.2813533544540405,0.8542436957359314,0.696993887424469
1900,0.9412407279014587,1.257451057434082,0.8334609866142273,1.409645676612854,2.3693535327911377,1.2352453470230103,1.4591530561447144,1.6761435270309448,1.0421149730682373,0.6778441667556763
1901,0.77784663438797,1.0881764888763428,0.7673326730728149,1.2292377948760986,1.26806640625,0.957948625087738,1.2416794300079346,1.1210142374038696,1.0925145149230957,0.691274881362915
1902,0.8964070081710815,1.2116248607635498,0.8151359558105469,1.307894229888916,1.9045673608779907,1.1519302129745483,0.8566154837608337,1.3564971685409546,1.1329635381698608,0.718203067779541
1903,1.037760853767395,1.0451135635375977,1.337842583656311,1.2653772830963135,1.6731642484664917,1.1997994184494019,1.0580896139144897,1.1825191974639893,1.3754992485046387,1.0270328521728516
