year;CTACHO01_;CTACHO03_;CTACHO04_;CTACHO05_;CTACHO07_;CTACHO14_;CTACHO15_;CTACHO16_;CTACHO17_;CTACHO19_;aver
1439;0;0;0;0.033189867;;;;;;;0.008297467
1440;0;0;0;0.059688333;;;;;;;0.014922083
1441;0;0;0;0.152557448;;;;;;;0.038139362
1442;0;0;0;0.249643877;;;;;;;0.062410969
1443;0;0;0;0.312039793;;;;;;;0.078009948
1444;0;0;0;0.853196919;;;;;;;0.21329923
1445;0;0;0;1.125726461;;;;;;;0.281431615
1446;0;0;0;0.328148514;;;;;;;0.082037129
1447;0;0;0;0.293263972;;;;;;;0.073315993
1448;0;0;0;0.589230061;;;;;;;0.147307515
1449;0;0;0;0.617684424;;;;;;;0.154421106
1450;0;0;0;0.524535418;;;;;;;0.131133854
1451;0;0;0;0.615517616;;;;;;;0.153879404
1452;0;0;0;0.485820115;;;;;;;0.121455029
1453;0;0;0;0.343252659;;;;;;;0.085813165
1454;0;0;0;0.793133616;;;;;;;0.198283404
1455;0;0;0;0.312000662;;;;;;;0.078000166
1456;0;0;0;0.642819524;;;;;;;0.160704881
1457;0;0;0;0.592726111;;;;;;;0.148181528
1458;0;0;0;0.624542832;;;;;;;0.156135708
1459;0;0;0;0.30513671;;;;;;;0.076284178
1460;0;0;0;0.171697557;;;;;;;0.042924389
1461;0;0;0;0.587298334;;;;;;;0.146824583
1462;0;0;0;0.470552325;;;;;;;0.117638081
1463;0;0;0;0.351456732;;;;;;;0.087864183
1464;0;0;0;0.250649154;;;;;;;0.062662289
1465;0;0;0;0.226935774;;;;;;;0.056733944
1466;0;0;0;0.22044374;;;;;;;0.055110935
1467;0;0;0;0.274533451;;;;;;;0.068633363
1468;0;0;0;0.184900969;;;;;;;0.046225242
1469;0;0;0;0.155375287;;;;;;;0.038843822
1470;0;0;0;0.266926348;;;;;;;0.066731587
1471;0;0;0;0.280963957;;;;;;;0.070240989
1472;0;0;0;0.220550537;;;;;;;0.055137634
1473;0;0;0;0.279311866;;;;;;;0.069827966
1474;0;0;0;0.315820605;;;;;;;0.078955151
1475;0;0;0;0.231152847;;;;;;;0.057788212
1476;0;0;0;0.204315498;;;;;;;0.051078875
1477;0;0;0;0.173344448;;;;;;;0.043336112
1478;0;0;0;0.154372886;;;;;;;0.038593221
1479;0;0;0;0.089648567;;;;;;;0.022412142
1480;0;0;0;0.163613498;;;;;;;0.040903375
1481;0;0;0;0.114263117;;;;;;;0.028565779
1482;0;0;0;0.074126944;;;;;;;0.018531736
1483;0;0;0;0.335421741;;;;;;;0.083855435
1484;0;0;0;0.275774121;;;;;;;0.06894353
1485;0;0;0;0.136233643;;;;;;;0.034058411
1486;0;0;0;0.178006962;;;;;;;0.04450174
1487;0;0;0;0.106395967;;;;;;;0.026598992
1488;0;0;0;0.211249828;;;;;;;0.052812457
1489;0;0;0;0.265942335;;;;;;;0.066485584
1490;0;0;0;0.302391559;;;;;;;0.07559789
1491;0;0;0;0.159398973;;;;;;;0.039849743
1492;0;0;0;0.227428734;;;;;;;0.056857184
1493;0;0;0;0.102420926;;;;;;;0.025605232
1494;0;0;0;0.070386283;;;;;;;0.017596571
1495;0;0;0;0.113042779;;;;;;;0.028260695
1496;0;0;0;0.240050152;;;;;;;0.060012538
1497;0;0;0;0.218723878;;;;;;;0.05468097
1498;0;0;0;0.114791006;;;;;;;0.028697751
1499;0;0;0;0.21311067;;;;;;;0.053277668
1500;0;0;0;0.044132169;;;;;;;0.011033042
1501;0;0;0;0.097248152;;;;;;;0.024312038
1502;0;0;0;0.2121782;;;;;;;0.05304455
1503;0;0;0;0.219725713;;;;;;;0.054931428
1504;0;0;0;0.16595383;;;;;;;0.041488457
1505;0;0;0;0.124672033;;;;;;;0.031168008
1506;0;0;0;0.181466997;;;;;;;0.045366749
1507;0;0;0;0.279563844;;;;;;;0.069890961
1508;0;0;0;0.112138815;;;;;;;0.028034704
1509;0;0;0;0.284746647;;;;;;;0.071186662
1510;0;0;0;0.313285202;;;;;;;0.0783213
1511;0;0;0;0.287048429;;;;;;;0.071762107
1512;0;0;0;0.397643894;;;;;;;0.099410973
1513;0;0;0;0.362044603;;;;;;;0.090511151
1514;0;0;0;0.246094435;;;;;;;0.061523609
1515;0;0;0;0.32349813;;;;;;;0.080874532
1516;0;0;0;0.115593992;;;;;;;0.028898498
1517;0;0;0;0.396363556;;;;;;;0.099090889
1518;0;0;0;0.323137522;;;;;;;0.08078438
1519;0;0.031891666;0.050190754;0.260287851;;;;;;;0.085592568
1520;0;0.128333732;0.202360928;0.24612084;;;;;;;0.144203875
1521;0;0.16539368;0;0.293046862;;;;;;;0.114610136
1522;0;0.239801362;0;0.136706486;;;;;;;0.094126962
1523;0;0.210609928;0.070862904;0.26637876;;;;;;;0.136962898
1524;0;0.223599911;0.15095681;0.235902593;;;;;;;0.152614828
1525;0;0.24343124;0.173615485;0.245999396;;;;;;;0.16576153
1526;0;0.209585816;0.204315066;0.212659359;;;;;;;0.15664006
1527;0;0.298415959;0.400493354;0.245130926;0;0;0.100540467;;;;0.149225815
1528;0;0.154588282;0.345111728;0.114237085;0;0;0.162317827;;;;0.11089356
1529;0;0.214834973;0.274334252;0.000400706;0;0;0.40206781;;;;0.12737682
1530;0;0.251173794;0.121708453;0.12439879;0;0;0.7291224;;;;0.175200491
1531;0;0.355497837;0.208241791;0.121115334;0;0;1.694638252;;;;0.339927602
1532;0;0.593698502;0.294732749;0.15662396;0;0;1.566447854;;;;0.373071866
1533;0;0.472189575;0.239977181;0.261422336;0;0;1.253449321;;;;0.318148345
1534;0;0.354431331;0.149806783;0.22612524;0;0;1.803981781;;;;0.362049305
1535;0;0.516339242;0.173163325;0.158113137;0;0;1.607869625;;;;0.350783618
1536;0;0.810788989;0.21517688;0.148969308;0;0;1.002719879;;;;0.311093579
1537;0;0.655959606;0.176567256;0.148844391;0;0;0.683136821;;;;0.237786868
1538;0;0.526874959;0.202380896;0.115810417;0;0;0.575769842;;;;0.202976588
1539;0;0.659858882;0.164401308;0.141467929;0;0;0.851545751;;;;0.259610553
1540;0;0.447684407;0.215282694;0.134402186;0;0;0.758247375;;;;0.222230952
1541;0;0.109774224;0.088832058;0.099833347;0;0;0.742677271;;;;0.148730986
1542;0;0.105754942;0.002751457;0.026315542;0;0;0.929346204;;;;0.152024021
1543;0;0.115253225;0.093635984;0.090055175;0;0;0.979061127;;;;0.182572216
1544;0;0.331295222;0.140598312;0.144079328;0;0;1.294993043;;;;0.272995129
1545;0;0.261408269;0.124332704;0.096403584;0;0;1.160002112;;;;0.234592381
1546;0;0.19433032;0.120811023;0.064415604;0;0;1.271033168;;;;0.235798588
1547;0;0.350676924;0.191745386;0.208255902;0;0;0.514875948;;;;0.180793451
1548;0;0.432480276;0.183394894;0.136983022;0;0;0.411880404;;;;0.166391228
1549;0;0.543264508;0.196926877;0.132809877;0;0;0.33008337;;;;0.171869233
1550;0;0.602921605;0.167318806;0.142114356;0;0;0.521394372;;;;0.204821306
1551;0;0.473673701;0.151388273;0.083080515;0;0;0.671109498;;;;0.197035998
1552;0;0.71616137;0.283860445;0.164766848;0;0;0.48454538;;;;0.235619149
1553;0;0.362613678;0.240245953;0.107684255;0;0;0.632816195;;;;0.191908583
1554;0;0.295598179;0.226112992;0.121963225;0;0;0.323991239;;;;0.138237948
1555;0;0.436944664;0.318831027;0.200338811;0;0;0.186551824;;;;0.163238046
1556;0;0.368749887;0.257962108;0.141393021;0;0;0.227708369;;;;0.142259055
1557;0;0.070340917;0.050013233;0.001231956;0;0;0.30319193;;;;0.060682577
1558;0;0.387002438;0.330973238;0.229758263;0;0;0.483159423;;;;0.204413337
1559;0;0.348840058;0.244417921;0.095320992;0;0;0.445186853;;;;0.161966546
