year;MLACHO01_;MLACHO03_;MLACHO04_;MLACHO05_;MLACHO07_;MLACHO14_;MLACHO15_;MLACHO16_;MLACHO17_;MLACHO19_;aver
1439;0;0;0;140.635025;;;;;;;35.15875626
1440;0;0;0;207.2511597;;;;;;;51.81278992
1441;0;0;0;231.4983978;;;;;;;57.87459946
1442;0;0;0;230.0865173;;;;;;;57.52162933
1443;0;0;0;255.9801483;;;;;;;63.99503708
1444;0;0;0;260.0417175;;;;;;;65.01042938
1445;0;0;0;299.077179;;;;;;;74.76929474
1446;0;0;0;240.5780945;;;;;;;60.14452362
1447;0;0;0;266.8461914;;;;;;;66.71154785
1448;0;0;0;273.6786194;;;;;;;68.41965485
1449;0;0;0;271.1520691;;;;;;;67.78801727
1450;0;0;0;256.2459412;;;;;;;64.06148529
1451;0;0;0;285.8883362;;;;;;;71.47208405
1452;0;0;0;276.1910706;;;;;;;69.04776764
1453;0;0;0;217.9382019;;;;;;;54.48455048
1454;0;0;0;288.307373;;;;;;;72.07684326
1455;0;0;0;228.7394867;;;;;;;57.18487167
1456;0;0;0;271.2318726;;;;;;;67.80796814
1457;0;0;0;306.6353455;;;;;;;76.65883636
1458;0;0;0;330.0966492;;;;;;;82.52416229
1459;0;0;0;329.877533;;;;;;;82.46938324
1460;0;0;0;257.8041382;;;;;;;64.45103455
1461;0;0;0;289.7377014;;;;;;;72.43442535
1462;0;0;0;297.2535095;;;;;;;74.31337738
1463;0;0;0;310.4741516;;;;;;;77.6185379
1464;0;0;0;268.6486206;;;;;;;67.16215515
1465;0;0;0;281.5580444;;;;;;;70.38951111
1466;0;0;0;318.5603333;;;;;;;79.64008331
1467;0;0;0;334.3890991;;;;;;;83.59727478
1468;0;0;0;345.6092834;;;;;;;86.40232086
1469;0;0;0;272.1108398;;;;;;;68.02770996
1470;0;0;0;263.500824;;;;;;;65.87520599
1471;0;0;0;281.2452087;;;;;;;70.31130219
1472;0;0;0;264.7665405;;;;;;;66.19163513
1473;0;0;0;336.9262695;;;;;;;84.23156738
1474;0;0;0;310.5414124;;;;;;;77.63535309
1475;0;0;0;310.2722778;;;;;;;77.56806946
1476;0;0;0;280.6531677;;;;;;;70.16329193
1477;0;0;0;303.5804749;;;;;;;75.89511871
1478;0;0;0;282.2173462;;;;;;;70.55433655
1479;0;0;0;303.8934631;;;;;;;75.97336578
1480;0;0;0;260.5310364;;;;;;;65.13275909
1481;0;0;0;254.483551;;;;;;;63.62088776
1482;0;0;0;311.4577332;;;;;;;77.86443329
1483;0;0;0;269.4150391;;;;;;;67.35375977
1484;0;0;0;252.3093567;;;;;;;63.07733917
1485;0;0;0;221.5181122;;;;;;;55.37952805
1486;0;0;0;263.3239136;;;;;;;65.83097839
1487;0;0;0;206.5941162;;;;;;;51.64852905
1488;0;0;0;306.6035156;;;;;;;76.65087891
1489;0;0;0;312.5056763;;;;;;;78.12641907
1490;0;0;0;271.4466553;;;;;;;67.86166382
1491;0;0;0;345.7678223;;;;;;;86.44195557
1492;0;0;0;318.0821533;;;;;;;79.52053833
1493;0;0;0;256.6940613;;;;;;;64.17351532
1494;0;0;0;255.0227661;;;;;;;63.75569153
1495;0;0;0;286.910614;;;;;;;71.7276535
1496;0;0;0;309.3429871;;;;;;;77.33574677
1497;0;0;0;300.0327454;;;;;;;75.00818634
1498;0;0;0;292.0890808;;;;;;;73.0222702
1499;0;0;0;334.5536499;;;;;;;83.63841248
1500;0;0;0;216.3341675;;;;;;;54.08354187
1501;0;0;0;290.2929993;;;;;;;72.57324982
1502;0;0;0;353.6303406;;;;;;;88.40758514
1503;0;0;0;322.6515503;;;;;;;80.66288757
1504;0;0;0;284.167511;;;;;;;71.04187775
1505;0;0;0;296.8381653;;;;;;;74.20954132
1506;0;0;0;316.1445923;;;;;;;79.03614807
1507;0;0;0;380.8771667;;;;;;;95.21929169
