year,CNoKHA_03_,CNoKHA_06_,CNoKHA_09_,CNoKHA_12_,CNoKHA_14_,CNoKHA_15_,CNoKHA_16_,CNoKHA_17_,CNoKHA_19_,CNoKHA_20_
1680,0,402
1681,0,639
1682,0,570
1683,0,1122
1684,0,859
1685,0,610
1686,0,1423
1687,0,1239,250
1688,0,642,480
1689,0,1276,791
1690,0,1147,675
1691,0,813,1363
1692,0,1659,1437
1693,0,2754,1520
1694,0,1571,2214
1695,0,2963,2079
1696,0,461,831
1697,0,732,997
1698,0,545,483
1699,0,250,290
1700,0,1171,986
1701,0,930,862
1702,0,269,561
1703,0,854,724
1704,0,1002,1303
1705,0,1462,2285
1706,0,1184,1576
1707,0,1884,1358
1708,0,2043,747
1709,0,2832,1666,0,777
1710,0,3302,1008,0,928
1711,0,2861,638,0,1487
1712,0,2470,1211,0,2467
1713,0,3077,1162,0,2852,3763
1714,0,1683,478,0,829,1161
1715,0,3935,1325,0,1649,3246
1716,0,3291,611,0,1155,3971
1717,0,2344,810,0,1672,3090
1718,0,598,107,0,628,512
1719,0,2006,749,0,1432,2247,0,0,0,4
1720,0,2630,491,0,1059,3046,0,0,0,449
1721,0,1655,755,0,1613,2541,0,0,0,1390
1722,0,1654,1143,0,1483,1979,0,0,0,1276
1723,0,1305,883,0,1619,1652,0,0,0,1356
1724,0,1454,1083,0,910,1562,0,0,0,1664
1725,0,1720,1335,0,1875,1679,0,0,0,1713
1726,0,1474,996,0,1368,1226,0,0,0,985
1727,0,3019,2551,0,2270,3898,0,0,0,1542
1728,0,1577,803,0,857,2215,0,0,0,942
1729,0,2338,2081,0,1826,3420,0,0,0,1959
1730,0,1886,2179,0,2476,2425,0,0,0,1792
1731,0,1069,1756,0,2005,1473,0,0,0,1385
1732,0,1006,1257,0,1269,1212,0,0,0,841
1733,0,1586,1480,0,1035,1279,0,0,0,1109
1734,0,1876,1751,0,1344,1641,0,0,0,1341
1735,0,986,1040,0,980,755,0,0,0,792
1736,0,1140,1099,0,1129,1099,0,0,0,884
1737,0,1814,1046,0,896,2082,0,0,0,1003
1738,0,773,662,0,922,564,0,0,0,614
1739,0,1672,740,0,1092,1401,0,0,0,701
1740,0,1783,628,0,830,1519,0,0,0,969
1741,0,1804,495,0,926,877,0,0,0,1097
1742,0,960,313,0,192,656,0,0,0,436
1743,0,1623,759,0,683,2311,0,0,0,1228
1744,0,2279,723,0,1156,3876,1,0,0,2096
1745,0,1085,294,0,827,2521,0,0,0,939
1746,131,2138,610,0,1431,2501,2,0,0,1471
1747,650,2763,617,0,1481,2611,2020,0,0,1389
1748,1864,2237,832,0,1785,1655,1119,0,0,1433
1749,1599,2472,813,0,1838,1664,1349,0,0,1384
1750,1248,1744,550,0,946,1083,1524,0,0,1125
1751,1463,1649,566,0,1147,865,1146,0,0,1102
1752,2284,2584,601,0,1304,1418,1341,0,0,1752
