year,CWAKHA_03_,CWAKHA_06_,CWAKHA_09_,CWAKHA_12_,CWAKHA_14_,CWAKHA_15_,CWAKHA_16_,CWAKHA_17_,CWAKHA_19_,CWAKHA_20_
1680,0,147.43592834472656
1681,0,147.93267822265625
1682,0,139.2959442138672
1683,0,147.83460998535156
1684,0,131.47537231445312
1685,0,127.11690521240234
1686,0,147.8318328857422
1687,0,142.62083435058594,302.47955322265625
1688,0,131.0905303955078,258.9225769042969
1689,0,137.68942260742188,283.2076416015625
1690,0,145.8428955078125,260.8875732421875
1691,0,132.8435821533203,258.97406005859375
1692,0,158.35716247558594,308.767822265625
1693,0,171.91098022460938,282.2444152832031
1694,0,165.1058349609375,302.9525451660156
1695,0,163.8439483642578,279.6719970703125
1696,0,136.70248413085938,215.75291442871094
1697,0,138.84228515625,273.9330749511719
1698,0,136.01083374023438,237.94317626953125
1699,0,104.6647720336914,235.2667694091797
1700,0,138.4039306640625,268.9398498535156
1701,0,150.2096405029297,284.84747314453125
1702,0,121.54515838623047,248.2921142578125
1703,0,148.15576171875,270.738037109375
1704,0,156.07778930664062,296.973876953125
1705,0,168.94424438476562,331.3015441894531
1706,0,167.04122924804688,342.93084716796875
1707,0,185.71470642089844,355.5486755371094
1708,0,193.18240356445312,371.9485778808594
1709,0,198.40313720703125,343.6868896484375,0,241.12265014648438
1710,0,208.8212890625,334.0328674316406,0,184.51974487304688
1711,0,223.22093200683594,352.7103576660156,0,198.67196655273438
1712,0,194.13601684570312,321.4908142089844,0,224.9619140625
1713,0,201.69619750976562,313.4302673339844,0,232.04483032226562,332.54766845703125
1714,0,195.78733825683594,344.8423156738281,0,193.85252380371094,235.9829559326172
1715,0,233.97549438476562,348.30072021484375,0,235.0782470703125,360.4785461425781
1716,0,226.85525512695312,454.0550842285156,0,221.4921875,322.12615966796875
1717,0,224.49728393554688,506.11798095703125,0,250.6922607421875,297.37432861328125
1718,0,152.35501098632812,-999,0,223.63381958007812,191.85107421875
1719,0,236.60025024414062,484.76605224609375,0,259.6825256347656,323.2978820800781,0,0,0,-999
1720,0,250.31968688964844,535.0059814453125,0,296.255126953125,308.3913269042969,0,0,0,319.83306884765625
1721,0,204.58087158203125,293.8140869140625,0,259.0225524902344,274.4729919433594,0,0,0,260.12164306640625
1722,0,209.53140258789062,355.0881042480469,0,249.38714599609375,297.9261779785156,0,0,0,292.72882080078125
1723,0,211.8119354248047,299.7957458496094,0,237.9373321533203,313.03533935546875,0,0,0,343.9720458984375
1724,0,264.4444885253906,361.0313415527344,0,204.10693359375,313.6947021484375,0,0,0,296.8086853027344
1725,0,241.22509765625,347.4994812011719,0,284.49578857421875,315.6195983886719,0,0,0,269.9022521972656
1726,0,228.27333068847656,363.54168701171875,0,300.718017578125,266.55615234375,0,0,0,273.89776611328125
1727,0,263.72943115234375,425.51507568359375,0,290.72332763671875,321.8639831542969,0,0,0,300.28106689453125
1728,0,254.7901153564453,405.2330627441406,0,279.7001953125,382.9051818847656,0,0,0,280.4986267089844
1729,0,246.0571746826172,367.9292907714844,0,298.87994384765625,356.7019348144531,0,0,0,295.9999694824219
1730,0,243.9708251953125,391.693359375,0,259.1584167480469,384.0406494140625,0,0,0,300.1962585449219
1731,0,162.62188720703125,250.64187622070312,0,215.10372924804688,216.9417724609375,0,0,0,248.82839965820312
1732,0,203.6798095703125,299.61016845703125,0,208.5343017578125,258.91998291015625,0,0,0,250.8717803955078
1733,0,248.76821899414062,336.1362609863281,0,240.84243774414062,320.6778259277344,0,0,0,285.4066162109375
1734,0,300.12005615234375,412.81610107421875,0,272.6795959472656,406.9600830078125,0,0,0,307.59539794921875
1735,0,274.9175720214844,391.5020751953125,0,262.6775817871094,286.2743225097656,0,0,0,268.3587646484375
1736,0,238.9931640625,338.72674560546875,0,276.3108215332031,364.0113220214844,0,0,0,312.4886474609375
1737,0,265.5460205078125,364.8556823730469,0,247.3028564453125,400.57476806640625,0,0,0,262.6603088378906
1738,0,222.37535095214844,262.4992980957031,0,221.18783569335938,183.06394958496094,0,0,0,203.9561767578125
1739,0,270.69647216796875,339.1756286621094,0,242.03977966308594,350.9599914550781,0,0,0,293.7750549316406
1740,-999,316.44329833984375,386.0331726074219,0,257.7838439941406,351.8555908203125,0,0,0,289.259765625
