year,CWTradKHA_03_,CWTradKHA_06_,CWTradKHA_09_,CWTradKHA_12_,CWTradKHA_14_,CWTradKHA_15_,CWTradKHA_16_,CWTradKHA_17_,CWTradKHA_19_,CWTradKHA_20_
1680,0,3.288771152496338
1681,0,2.9151649475097656
1682,0,2.7017788887023926
1683,0,2.5577433109283447
1684,0,2.2589004039764404
1685,0,2.249000310897827
1686,0,2.249868631362915
1687,0,2.3843369483947754,3.460789680480957
1688,0,2.5129287242889404,3.3803870677948
1689,0,2.6045327186584473,3.796403169631958
1690,0,2.7015280723571777,3.5835764408111572
1691,0,2.4889025688171387,4.332889556884766
1692,0,2.3799493312835693,3.867622137069702
1693,0,2.977368116378784,3.6777420043945312
1694,0,2.930565595626831,4.455321311950684
1695,0,2.494136333465576,3.938887596130371
1696,0,2.361697196960449,3.6114118099212646
1697,0,2.320291519165039,3.558454751968384
1698,0,2.283851146697998,3.0983221530914307
1699,0,2.364912509918213,3.3224844932556152
1700,0,2.4783318042755127,4.081045627593994
1701,0,2.8550503253936768,3.889639377593994
1702,0,2.2240190505981445,3.5135395526885986
1703,0,2.942599296569824,3.739884376525879
1704,0,2.9665205478668213,3.7779204845428467
1705,0,2.677183151245117,4.339353084564209
1706,0,2.7178046703338623,4.088222026824951
1707,0,3.3473687171936035,4.684994697570801
1708,0,3.566819906234741,5.116147994995117
1709,0,3.012892723083496,4.236146450042725,0,3.4728434085845947
1710,0,3.461379289627075,4.162252902984619,0,2.756103754043579
1711,0,3.6539089679718018,4.836021900177002,0,3.076533079147339
1712,0,2.6217663288116455,3.8090665340423584,0,2.932340383529663
1713,0,3.1736252307891846,4.611499786376953,0,3.257347345352173,4.0805792808532715
1714,0,3.385788679122925,4.477350234985352,0,2.703071117401123,3.2877044677734375
1715,0,3.3387632369995117,4.8632588386535645,0,2.9980409145355225,3.9333837032318115
1716,0,3.5028650760650635,5.931412220001221,0,2.7429399490356445,3.9104645252227783
1717,0,3.204493999481201,6.687234401702881,0,3.0673141479492188,3.3997366428375244
1718,0,2.7433407306671143,5.837880611419678,0,3.1187236309051514,2.7218315601348877
1719,0,3.600865125656128,5.54308557510376,0,3.2107040882110596,3.8951807022094727,0,0,0,3.418031692504883
1720,0,4.107030868530273,6.5114593505859375,0,3.3686835765838623,3.876957416534424,0,0,0,3.8348021507263184
1721,0,3.1946170330047607,4.655369758605957,0,3.717355251312256,3.322045087814331,0,0,0,3.8192062377929688
1722,0,3.2430033683776855,4.510765552520752,0,3.0996007919311523,3.692845344543457,0,0,0,3.8864221572875977
1723,0,3.3338253498077393,3.8664724826812744,0,3.078476905822754,3.5222580432891846,0,0,0,4.183874607086182
1724,0,4.184454441070557,4.111502170562744,0,3.0570695400238037,3.6690163612365723,0,0,0,4.2501983642578125
1725,0,3.6531143188476562,4.612331390380859,0,3.7482779026031494,3.874499559402466,0,0,0,4.0135297775268555
1726,0,3.866386651992798,4.722796440124512,0,3.6431894302368164,3.6619725227355957,0,0,0,3.9926681518554688
1727,0,3.949298620223999,5.672003746032715,0,3.3531606197357178,3.790956735610962,0,0,0,4.081270694732666
1728,0,4.149639129638672,5.310198783874512,0,3.4201924800872803,4.783607482910156,0,0,0,4.092928409576416
1729,0,3.4243783950805664,4.468955993652344,0,3.4626753330230713,3.7128968238830566,0,0,0,3.964658737182617
1730,0,3.680558681488037,4.629408836364746,0,3.411498785018921,4.316227912902832,0,0,0,4.25331974029541
1731,0,2.493847608566284,3.0537736415863037,0,2.500532627105713,2.5016896724700928,0,0,0,3.3288092613220215
1732,0,3.2393393516540527,3.574441909790039,0,2.765286445617676,3.072908401489258,0,0,0,3.6997106075286865
1733,0,3.908085823059082,3.7017130851745605,0,2.878586530685425,3.9046332836151123,0,0,0,3.898768424987793
1734,0,4.408468723297119,4.5580735206604,0,3.505713939666748,4.990374565124512,0,0,0,4.826409339904785
1735,0,4.368663787841797,4.943837642669678,0,3.423759698867798,3.826262950897217,0,0,0,4.330756187438965
1736,0,3.6979644298553467,3.79394268989563,0,3.3097119331359863,4.3210248947143555,0,0,0,4.270063400268555
1737,0,3.795419931411743,4.083974361419678,0,3.146254062652588,4.8469085693359375,0,0,0,3.881716251373291
1738,0,3.1922731399536133,3.3974273204803467,0,2.970028877258301,2.6221961975097656,0,0,0,3.4804277420043945
1739,0,3.6432294845581055,3.8941667079925537,0,2.80505108833313,4.192033767700195,0,0,0,4.2030792236328125
1740,-999,4.552118301391602,4.346991062164307,0,3.2858567237854004,4.26782751083374,0,0,0,4.434917449951172
1741,-999,3.209798574447632,3.7143256664276123,0,3.045952558517456,2.742011070251465,0,0,0,4.460575103759766
1742,-999,3.5697648525238037,3.9007961750030518,0,4.001894474029541,3.199570417404175,0,0,0,3.184113025665283
1743,-999,4.051909446716309,4.601873874664307,0,3.0689990520477295,5.0244951248168945,0,0,0,4.723688125610352
1744,-999,5.585268974304199,5.505992412567139,0,3.0762438774108887,4.965766906738281,-999,0,0,5.300375461578369
1745,-999,4.914515018463135,4.964148044586182,0,3.237823486328125,4.334158420562744,-999,0,0,4.033318996429443
1746,4.268304824829102,3.32669734954834,4.070584297180176,0,3.1147284507751465,3.5807044506073,2.945126533508301,0,0,4.547019958496094
1747,3.137942314147949,5.3062424659729,4.630864143371582,0,2.8039331436157227,5.123203277587891,3.45011305809021,0,0,5.004188060760498
1748,3.6878929138183594,3.8873074054718018,4.963769435882568,0,3.164403200149536,3.752936840057373,4.022485256195068,0,0,4.046158790588379
1749,4.057861328125,3.6192901134490967,4.979482173919678,0,3.331367254257202,3.637645721435547,3.8141162395477295,0,0,4.302858352661133
1750,3.8037056922912598,4.743686199188232,6.273544788360596,0,2.9125168323516846,4.34031343460083,4.442767143249512,0,0,4.835251808166504
