year,KhKHA_03_,KhKHA_06_,KhKHA_09_,KhKHA_12_,KhKHA_14_,KhKHA_15_,KhKHA_16_,KhKHA_17_,KhKHA_19_,KhKHA_20_
1680,0,1.4788459409990428e-10
1681,0,3.4538511975433595e-10
1682,0,2.2489048156410592e-10
1683,0,1.0411155801235222e-9
1684,0,8.701074984631765e-10
1685,0,5.845038644969335e-10
1686,0,1.9479844326124765e-9
1687,0,1.7771170340914406e-9,5.586051215670864e-10
1688,0,4.727865104768421e-10,9.530216764080426e-10
1689,0,9.961285041832293e-10,1.871012195853225e-9
1690,0,1.0320041047102533e-9,1.5874628185663642e-9
1691,0,7.294264546702236e-10,1.8230018437780682e-9
1692,0,2.7721744670349237e-9,4.15174860730783e-9
1693,0,3.2385339860990652e-9,3.961088404319463e-9
1694,0,1.5159624163038942e-9,3.0002763077035007e-9
1695,0,4.973655824304232e-9,4.577155167018527e-9
1696,0,3.6913112553530196e-10,9.709286108604232e-10
1697,0,8.967180745476592e-10,2.8197676008388047e-9
1698,0,6.108396587999051e-10,1.0329507582163967e-9
1699,0,5.371363044915616e-11,3.011827249488864e-10
1700,0,1.1924429440507557e-9,2.0858211287535877e-9
1701,0,9.835646539085826e-10,1.7484961079432414e-9
1702,0,1.4823798600475317e-10,1.0780390180604514e-9
1703,0,6.524032906498203e-10,1.6917599270004858e-9
1704,0,9.848332068524128e-10,3.809736841325732e-9
1705,0,2.659539782394412e-9,5.324971397350025e-9
1706,0,1.9016439529530564e-9,4.664674434460221e-9
1707,0,2.4674677683066626e-9,2.770768379350468e-9
1708,0,1.7150627359494922e-9,1.773136033167237e-9
1709,0,5.194588243328273e-9,4.719664026076795e-9,0,2.0425269513288853e-9
1710,0,5.463484025100892e-9,2.7479121682489495e-9,0,2.368177961251522e-9
1711,0,4.355063751440283e-9,1.6947219821775979e-9,0,3.5396611028126503e-9
1712,0,7.075645770745269e-9,5.101746070729593e-9,0,7.812774209896564e-9
1713,0,6.6170165787980135e-9,2.9249797844218977e-9,0,7.231016016559755e-9,1.827588906920323e-8
1714,0,2.054674959313272e-9,1.2196248532352937e-9,0,1.9015767280901538e-9,3.524082266528669e-9
1715,0,9.767931095025708e-9,2.936079881117589e-9,0,4.242146688590179e-9,1.9872532797934224e-8
1716,0,8.13871694616651e-9,1.303460089883361e-9,0,2.982659061306311e-9,2.3442007559009113e-8
1717,0,7.757968388100715e-9,1.1126931058226765e-9,0,5.5510175583672795e-9,1.6941950350179072e-8
1718,0,7.696033886480938e-10,1.8489761903041363e-10,0,1.6925791454608808e-9,8.71650818668334e-10
1719,0,5.535720185030485e-9,2.772329927297543e-9,0,4.56227179894785e-9,1.1114644157921282e-8,0,0,0,1.4514238745514202e-12
1720,0,5.601524627015123e-9,9.675791380819756e-10,0,3.419107244379271e-9,1.2582383605390282e-8,0,0,0,1.556585224904515e-9
1721,0,3.065622181105382e-9,8.613825684973167e-10,0,3.114861974956243e-9,8.874748578525175e-9,0,0,0,3.9413347984438685e-9
1722,0,3.621562345203996e-9,3.559992376832236e-9,0,4.2364193677055425e-9,5.783194800248007e-9,0,0,0,4.500208638388158e-9
1723,0,2.6212231135875698e-9,3.396002395298298e-9,0,5.013734162147496e-9,7.446548832621656e-9,0,0,0,6.542402063214842e-9
1724,0,1.8907332200144943e-9,4.90397485105555e-9,0,1.968829670978894e-9,5.089534435792603e-9,0,0,0,5.070402303778307e-9
1725,0,3.240476198159266e-9,4.9698796254266805e-9,0,5.8498196101014914e-9,4.620337217011259e-9,0,0,0,4.991436012887186e-9
1726,0,2.2202388267471918e-9,4.137102931998468e-9,0,5.154633199565049e-9,3.692482557326538e-9,0,0,0,3.454589095879846e-9
