year,MLAKHA_03_,MLAKHA_06_,MLAKHA_09_,MLAKHA_12_,MLAKHA_14_,MLAKHA_15_,MLAKHA_16_,MLAKHA_17_,MLAKHA_19_,MLAKHA_20_
1680,0,76.74900817871094
1681,0,97.17998504638672
1682,0,89.76559448242188
1683,0,135.23167419433594
1684,0,141.0535888671875
1685,0,134.322021484375
1686,0,171.44764709472656
1687,0,160.75515747070312,243.55441284179688
1688,0,112.68402099609375,220.19691467285156
1689,0,117.69378662109375,227.85743713378906
1690,0,122.23152160644531,237.24661254882812
1691,0,124.77813720703125,155.90196228027344
1692,0,185.4291534423828,250.9396209716797
1693,0,147.7115478515625,241.2244415283203
1694,0,132.25827026367188,163.82534790039062
1695,0,186.1815185546875,211.26556396484375
1696,0,124.93888092041016,150.40899658203125
1697,0,156.9040985107422,242.7978973388672
1698,0,145.7903289794922,208.93563842773438
1699,0,74.80319213867188,144.99732971191406
1700,0,132.35299682617188,191.6626434326172
1701,0,128.9503936767578,204.10546875
1702,0,107.82516479492188,196.7450408935547
1703,0,108.87862396240234,215.22865295410156
1704,0,122.62403869628906,250.068115234375
1705,0,185.22457885742188,220.38259887695312
1706,0,170.4272918701172,251.97296142578125
1707,0,146.06317138671875,214.7445831298828
1708,0,111.98485565185547,217.45545959472656
1709,0,185.89602661132812,248.8403778076172,0,225.44906616210938
1710,0,164.23110961914062,244.05189514160156,0,226.8844757080078
1711,0,158.3135986328125,218.71644592285156,0,217.62994384765625
1712,0,246.7084197998047,289.94512939453125,0,271.50006103515625
1713,0,194.58621215820312,212.62179565429688,0,232.31874084472656,287.4153747558594
1714,0,142.39564514160156,225.03526306152344,0,228.61244201660156,220.90115356445312
1715,0,220.7534942626953,215.66741943359375,0,239.02969360351562,350.8945617675781
1716,0,211.6000518798828,222.7668914794922,0,251.69898986816406,324.09185791015625
1717,0,250.42111206054688,172.7387237548828,0,273.1231689453125,333.3998718261719
1718,0,146.62977600097656,206.8856658935547,0,226.16346740722656,185.95359802246094
1719,0,223.23382568359375,281.43975830078125,0,266.5436096191406,314.4353942871094,0,0,0,97.6839370727539
1720,0,179.48484802246094,217.1790313720703,0,269.0198669433594,273.78533935546875,0,0,0,269.5599365234375
1721,0,184.08255004882812,148.29443359375,0,192.6741180419922,270.5428771972656,0,0,0,222.6943817138672
1722,0,193.08221435546875,237.48947143554688,0,254.49093627929688,245.4082794189453,0,0,0,268.9755859375
1723,0,186.77967834472656,278.8156433105469,0,260.40850830078125,308.2452697753906,0,0,0,313.0179138183594
1724,0,143.19012451171875,298.0537414550781,0,204.49615478515625,255.09767150878906,0,0,0,232.99249267578125
1725,0,181.1562957763672,264.81793212890625,0,243.19708251953125,236.54420471191406,0,0,0,233.50926208496094
1726,0,152.3518829345703,276.7476806640625,0,279.1390686035156,222.10491943359375,0,0,0,255.97305297851562
1727,0,190.23245239257812,240.2262725830078,0,296.0848083496094,274.906982421875,0,0,0,255.6616973876953
1728,0,154.74342346191406,231.86758422851562,0,260.00164794921875,204.9658966064453,0,0,0,224.0457000732422
1729,0,248.56549072265625,326.7460021972656,0,306.90496826171875,357.9400329589844,0,0,0,241.37124633789062
1730,0,214.86935424804688,340.6973876953125,0,252.3478240966797,323.03607177734375,0,0,0,225.6398162841797
1731,0,261.9833679199219,419.6905822753906,0,328.5427551269531,406.3262939453125,0,0,0,272.611083984375
