year,MRadDistKHA_03_,MRadDistKHA_06_,MRadDistKHA_09_,MRadDistKHA_12_,MRadDistKHA_14_,MRadDistKHA_15_,MRadDistKHA_16_,MRadDistKHA_17_,MRadDistKHA_19_,MRadDistKHA_20_
1680,0,259.0859375
1681,0,425.8515625
1682,0,546.6640625
1683,0,728.1953125
1684,0,844.1875
1685,0,919.9375
1686,0,1116.6484375
1687,0,1276.7265625,329.3046875
1688,0,1342.125,577.9375
1689,0,1466.6328125,898.8984375
1690,0,1574.4765625,1130.2109375
1691,0,1653.515625,1494.2890625
1692,0,1846.5625,1842.9609375
1693,0,2121.546875,2294.34375
1694,0,2269.9921875,2644.6953125
1695,0,2593.203125,3042.859375
1696,0,2631.3359375,3150.34375
1697,0,2700.90625,3334.40625
1698,0,2746.1875,3402.9609375
1699,0,2762.796875,3445.65625
1700,0,2861.1953125,3616.1484375
1701,0,2943.8125,3790.2421875
1702,0,2962.21875,3880.03125
1703,0,3032.9921875,4023.2734375
1704,0,3121.1640625,4362
1705,0,3281.8359375,4973.3125
1706,0,3411.359375,5425.359375
1707,0,3609.734375,6010.3515625
1708,0,3806.34375,638.5234375
1709,0,4141.421875,6842.015625,0,885.0859375
1710,0,4535.1640625,7165.59375,0,1194.1953125
1711,0,4873.640625,1558.2890625,0,1578.6015625
1712,0,5253.2578125,1871.4140625,0,2085.421875
1713,0,5669.6875,2194.0078125,0,2628.2734375,1026.9765625
1714,0,5861.03125,2360.8984375,0,2778.90625,1203.4765625
1715,0,6454.4296875,8707.125,0,3100.59375,1982
1716,0,6987.1875,3303.6171875,0,3351.140625,2919.65625
1717,0,7418.6953125,3776.9609375,0,3694.6796875,3668.640625
1718,0,278.140625,3860.0703125,0,3798.90625,3739.671875
1719,0,7845.3984375,4322.3046875,0,4089.4609375,4367.578125,0,0,0,797.8984375
1720,0,8273.2421875,4829.71875,0,4398.328125,5193.453125,0,0,0,1076.6796875
1721,0,1263.234375,5124.015625,0,4660.1640625,5764.734375,0,0,0,1334.234375
1722,0,1509.171875,5432.890625,0,4972.09375,6234.234375,0,0,0,1689.53125
1723,0,1691.6171875,5664.78125,0,5260.046875,6714.1875,0,0,0,2110.40625
1724,0,1881.3515625,5985.6875,0,5428.2578125,7130.15625,0,0,0,2520.0859375
1725,0,2150.21875,6378.3125,0,5772.8046875,7538.890625,0,0,0,2929.0546875
1726,0,2341.78125,6736.0390625,0,6117.7890625,7772.3203125,0,0,0,3195.8046875
1727,0,2910.5546875,7613.046875,0,6696.15625,8824.8359375,0,0,0,3642.8046875
1728,0,3150.96875,7846.6484375,0,6918.96875,9311.53125,0,0,0,3851.4140625
1729,0,3711.21875,8582.1640625,0,7461.6875,10406.9921875,0,0,0,4324.234375
1730,0,4166.9609375,9265.7265625,0,671.84375,11219.84375,0,0,0,4762.96875
1731,0,4495.8125,9842.1484375,0,1088.609375,743.9375,0,0,0,5095.625
1732,0,4720.84375,10121.953125,0,1287.421875,993.0234375,0,0,0,5303.03125
1733,0,5074.3984375,10545.7890625,0,1511.109375,1443.546875,0,0,0,5578.5
1734,0,5464.875,11080.0390625,0,1800.296875,1931.296875,0,0,0,5863.2890625
1735,0,5652.8984375,11354.7734375,0,1993.59375,2083.6640625,0,0,0,6044.90625
1736,0,5929.5234375,11743.59375,0,2231.5,2402.7109375,0,0,0,6273.875
1737,0,6376.34375,12120.5078125,0,2409.8125,3096.4765625,0,0,0,455.890625
1738,0,6564.4296875,12271.28125,0,2566.2421875,3239.78125,0,0,0,593.3046875
1739,0,7043.328125,12582.1484375,0,2806.9375,3725.6875,0,0,0,6842.125
1740,483.4765625,7472.171875,12850.4453125,0,2982.0859375,4150.3046875,0,0,0,1002.8515625
1741,821.859375,705.1953125,13143.3046875,0,3156.7109375,4383.9375,0,0,0,7333.796875
1742,1153.7109375,832.4140625,13306.28125,0,3178.28125,4478.125,0,0,0,7404.59375
1743,1340.71875,8379.6015625,13791.84375,0,3326.0703125,5254.6796875,0,0,0,7686.9140625
1744,1779.21875,1744.46875,5038.046875,0,3620.5703125,6197.1015625,523.71875,0,0,8137.40625
1745,2089.4375,2023.8203125,5373.390625,0,3800.453125,6895.765625,831.8671875,0,0,2117.96875
1746,2604.046875,2567.1484375,6022.453125,0,4116.46875,7598.6171875,1319.9453125,0,0,2447.875
