year,MinRWKHA_03_,MinRWKHA_06_,MinRWKHA_09_,MinRWKHA_12_,MinRWKHA_14_,MinRWKHA_15_,MinRWKHA_16_,MinRWKHA_17_,MinRWKHA_19_,MinRWKHA_20_
1680,0,-185.0390625
1681,0,77.4140625
1682,0,67.890625
1683,0,78.015625
1684,0,71.6015625
1685,0,21.2109375
1686,0,70.890625
1687,0,107.421875,154.765625
1688,0,36.40625,228.9609375
1689,0,101.6484375,207.1484375
1690,0,46.2578125,119.5546875
1691,0,59.7265625,250.203125
1692,0,123.28125,312.140625
1693,0,252.859375,427.2734375
1694,0,124.1796875,329.0234375
1695,0,309.3828125,379.015625
1696,0,20.4453125,86.4140625
1697,0,54.8359375,163.4921875
1698,0,31.8203125,43.3828125
1699,0,6.140625,28.140625
1700,0,85.328125,147.3671875
1701,0,67.1328125,146.4921875
1702,0,5.7265625,66.203125
1703,0,53.4375,126.5078125
1704,0,72.015625,313.328125
1705,0,140.125,584.0234375
1706,0,110.4375,415.4375
1707,0,176.8046875,513.484375
1708,0,174.546875,295
1709,0,300.1875,446.4140625,0,609.6015625
1710,0,371.34375,290.6875,0,248.4375
1711,0,306.7734375,169.4609375,0,307.015625
1712,0,347.9375,260.3359375,0,320.1171875
1713,0,384.1171875,304.90625,0,497.296875,819.5859375
1714,0,169.65625,146.078125,0,112.734375,154.5625
1715,0,567.5,485.0390625,0,255.0390625,695.53125
1716,0,492.4140625,467.2109375,0,205.078125,877.2109375
1717,0,385.0390625,413.953125,0,281.8203125,692.828125
1718,0,36.96875,56.3984375,0,80.4453125,32.6484375
1719,0,342.546875,408.75,0,259.484375,564.4140625,0,0,0,25.2890625
1720,0,387.6484375,454.5078125,0,250.671875,762.5078125,0,0,0,-41.9921875
1721,0,217.9296875,252.2578125,0,195.34375,531.3359375,0,0,0,175.7890625
1722,0,118.828125,266.6328125,0,248.109375,433.7734375,0,0,0,218.375
1723,0,148.0625,208.015625,0,258.546875,446.9375,0,0,0,382.0390625
1724,0,167.171875,282.421875,0,130.0234375,364.296875,0,0,0,371.96875
1725,0,249.6640625,364.6953125,0,324.0234375,368.4765625,0,0,0,366.90625
1726,0,170.90625,324.5234375,0,307.1875,178.9375,0,0,0,236.9140625
1727,0,525.5625,839.84375,0,545.015625,952.3203125,0,0,0,384.1875
1728,0,204.7734375,206.5703125,0,171.1171875,457.7578125,0,0,0,174.234375
1729,0,533.5625,698.59375,0,504.3671875,939.46875,0,0,0,434.5625
1730,0,422.234375,651,0,420.3828125,635.0078125,0,0,0,349.5859375
1731,0,291.0625,537.9296875,0,378.671875,523.1640625,0,0,0,290.7421875
1732,0,203.671875,233.1015625,0,149.6328125,228,0,0,0,189.9375
1733,0,320.796875,367.2890625,0,190.8828125,410.296875,0,0,0,236.984375
