	TRWi
1945	0.937
1946	0.754
1947	1.044
1948	1.018
1949	1.009
1950	1.068
1951	0.807
1952	0.884
1953	1.24
1954	1.123
1955	0.845
1956	1.006
1957	1.228
1958	0.954
1959	1.18
1960	1.336
1961	0.693
1962	0.874
1963	0.81
1964	1.252
1965	0.731
1966	0.806
1967	1.017
1968	0.844
1969	0.872
1970	1.124
1971	0.914
1972	1.058
1973	1.014
1974	0.697
1975	1.049
1976	1.169
1977	0.851
1978	0.918
1979	1.19
1980	0.842
1981	0.777
1982	1.115
1983	1.051
1984	0.87
1985	1.088
1986	0.849
1987	0.826
1988	1.014
1989	0.93
1990	0.955
1991	0.887
1992	1.024
1993	0.879
1994	0.866
1995	0.941
1996	0.968
1997	1.116
1998	0.957
1999	1.052
2000	0.943
2001	1.052
2002	1.128
2003	1.275
2004	1.037
2005	0.9
2006	1.182
2007	0.972
2008	1.022
2009	0.888
2010	0.937
2011	1.045
2012	1.016
2013	0.967
2014	1.086
2015	1.006
