	TRWi
1945	0.939
1946	0.92
1947	1.116
1948	1.162
1949	1.026
1950	1.032
1951	0.852
1952	1.018
1953	0.975
1954	1.353
1955	0.881
1956	0.87
1957	1.278
1958	0.804
1959	0.957
1960	1.143
1961	0.633
1962	0.871
1963	0.827
1964	1.485
1965	0.763
1966	1.034
1967	0.894
1968	0.863
1969	0.862
1970	1.2
1971	0.861
1972	1.058
1973	1.146
1974	0.843
1975	0.993
1976	0.971
1977	0.924
1978	0.86
1979	1.313
1980	0.859
1981	0.997
1982	0.912
1983	1.114
1984	0.881
1985	0.943
1986	0.592
1987	0.892
1988	0.938
1989	1.097
1990	0.931
1991	0.801
1992	0.757
1993	0.932
1994	0.943
1995	0.979
1996	0.891
1997	1.118
1998	1.015
1999	1.022
2000	1.108
2001	0.989
2002	0.818
2003	1.098
2004	1.207
2005	0.928
2006	1.119
2007	0.992
2008	1.257
2009	0.961
2010	1.223
2011	1.045
2012	0.803
2013	0.976
2014	1.068
2015	0.941
2016	1.164
2017	1.156
2018	0.847
2019	0.765
2020	1.151
2021	1.102
