	TRWi
1945	0.957
1946	0.597
1947	1.564
1948	1.404
1949	0.644
1950	0.398
1951	1.165
1952	1.242
1953	0.97
1954	0.489
1955	0.928
1956	1.47
1957	0.863
1958	1.668
1959	0.694
1960	1.482
1961	0.242
1962	0.886
1963	1.027
1964	1.599
1965	0.744
1966	0.82
1967	0.885
1968	1.352
1969	1.313
1970	1.069
1971	0.894
1972	0.632
1973	1.105
1974	1.092
1975	0.746
1976	1.182
1977	0.974
1978	0.64
1979	1.188
1980	1.154
1981	0.792
1982	0.526
1983	1.045
1984	0.877
1985	1.461
1986	0.848
1987	0.484
1988	1.105
1989	0.878
1990	0.616
1991	1.152
1992	0.279
1993	0.73
1994	1.009
1995	0.897
1996	0.576
1997	1.464
1998	0.695
1999	1.177
2000	0.878
2001	0.817
2002	0.986
2003	0.781
2004	1.319
2005	1.328
2006	0.786
2007	1.143
2008	0.843
2009	0.741
2010	1.405
2011	0.941
2012	1.073
2013	0.51
2014	0.727
2015	1.281
2016	1.002
2017	1.438
2018	1.185
2019	0.994
2020	0.937
2021	1.054
